REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
11/2023,373058,9807000255006,21/11/2023,249489.75,0.03,0.03,
11/2023,373058,9807000275007,21/11/2023,485418.65,0.05,0.05,
11/2023,120260,9701343265003,13/11/2023,86702.21,0.03,0.03,
11/2023,373055,5403005145004,22/11/2023,321143.26,0.03,0.03,
11/2023,373055,4375000125000,20/11/2023,462041.84,0.06,0.06,
11/2023,373055,0574000045000,20/11/2023,88064.26,0.01,0.01,
11/2023,373053,3041000135007,21/11/2023,130955.69,0.01,0.01,
11/2023,373053,3041000155008,21/11/2023,61629.97,0.01,0.01,
11/2023,373053,3377000835009,20/11/2023,100504.94,0.01,0.01,
11/2023,373053,3041000175009,21/11/2023,804552.43,0.09,0.09,
11/2023,373053,3041000195000,21/11/2023,83235.52,0.01,0.01,
11/2023,373053,3901000315003,21/11/2023,203138.81,0.02,0.02,
11/2023,373053,3377000855000,21/11/2023,1403247.66,0.15,0.15,
11/2023,373053,3549000205002,21/11/2023,406685.73,0.04,0.04,
11/2023,373053,3481000105005,22/11/2023,622788.46,0.05,0.05,
11/2023,373053,3829000565003,21/11/2023,262536.30,0.03,0.03,
11/2023,070027,9311000185004,01/12/2016,600000.00,219.64,9408.00,
11/2023,070027,9463000085009,01/12/2016,357500.00,130.87,5605.60,
11/2023,373030,0467000025000,25/10/2023,289756.00,0.49,0.50,
11/2023,373073,8983000125001,30/10/2023,21976.00,0.03,0.03,
11/2023,373058,9739000115001,21/11/2023,151513.68,0.02,0.02,
11/2023,373058,9157000425000,22/11/2023,926714.75,0.08,0.08,
11/2023,373058,9107000705007,21/11/2023,1451707.51,0.16,0.16,
11/2023,373055,5163000045006,21/11/2023,825539.56,0.09,0.09,
11/2023,373055,4221000265001,20/11/2023,705909.22,0.09,0.09,
11/2023,373055,5101000025005,21/11/2023,169895.76,0.02,0.02,
11/2023,373055,4253000085001,20/11/2023,231107.68,0.03,0.03,
11/2023,373055,5417000085003,22/11/2023,337246.25,0.03,0.03,
11/2023,373053,3785000065005,22/11/2023,189356.83,0.02,0.02,
11/2023,373053,3353000365005,24/11/2023,310650.75,0.01,0.01,
11/2023,373085,9667000145007,22/11/2023,101531.56,0.01,0.01,
11/2023,373053,3005000135000,22/11/2023,224223.95,0.02,0.02,
11/2023,373085,9239000065002,20/11/2023,539622.28,0.07,0.07,
11/2023,373053,3717000115008,22/11/2023,241787.00,0.02,0.02,
11/2023,373053,3937000125000,23/11/2023,87482.85,0.01,0.01,
11/2023,373053,3949000345004,20/11/2023,131194.70,0.02,0.02,
11/2023,373053,3799000045004,22/11/2023,69339.07,0.01,0.01,
11/2023,373053,3341000305009,20/11/2023,468387.52,0.06,0.06,
11/2023,373053,3803000905005,22/11/2023,367597.53,0.03,0.03,
11/2023,373058,9157000605009,22/11/2023,2137707.16,0.18,0.18,
11/2023,373080,9669000215001,27/11/2023,430637.07,0.01,0.01,
11/2023,373080,9633002115003,27/11/2023,759147.21,0.01,0.01,
11/2023,373058,9039000045009,20/11/2023,496233.35,0.07,0.07,
11/2023,373058,9039000065000,20/11/2023,92542.50,0.01,0.01,
11/2023,373058,9115000315005,21/11/2023,1077121.24,0.12,0.12,
11/2023,373058,9143000375003,22/11/2023,539981.90,0.05,0.05,
11/2023,373053,3587000025007,23/11/2023,341841.42,0.02,0.02,
11/2023,373053,3987000115001,21/11/2023,100334.78,0.01,0.01,
11/2023,373072,8525000225003,31/10/2023,4267.74,0.01,0.01,
11/2023,373080,9797000225009,28/11/2023,1486081.60,0.01,0.01,
11/2023,373055,4221000445000,20/11/2023,101652.50,0.01,0.01,
11/2023,373072,8845001555000,20/11/2023,211359.08,0.03,0.03,
11/2023,373067,5501000105004,21/11/2023,304368.38,0.03,0.03,
11/2023,373053,3775000205004,22/11/2023,63676.43,0.01,0.01,
11/2023,373072,8845001575001,20/11/2023,73013.77,0.01,0.01,
11/2023,373072,8845001595002,20/11/2023,104149.82,0.01,0.01,
11/2023,373085,0175000025001,21/11/2023,87409.54,0.01,0.01,
