REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
03/2024,373052,3167000205005,24/10/2023,9187.00,0.11,0.31,
03/2024,080002,0241000275000,04/09/2020,554305.38,106.36,2263.96,
03/2024,786810,9063000145006,16/09/2020,2036.45,0.22,4.55,
03/2024,120259,8371000125000,09/05/2022,2151932.07,120.73,1378.46,
03/2024,160065,9701028585005,28/12/2000,71393.82,90.14,12372.27,
03/2024,785810,8849000135000,23/11/2013,436454.10,136.30,8346.54,
03/2024,255017,2529000025004,27/05/2022,316870.44,17.31,192.56,
03/2024,160065,9701006705008,28/12/2000,68100.96,85.99,11801.63,
03/2024,160392,8841004715006,11/05/2017,4690081.86,776.22,31694.47,
03/2024,789300,7563007375008,22/11/2013,101627.73,57.00,3491.56,
03/2024,373048,2531003205005,11/10/2001,117183.53,142.95,18958.31,
03/2024,160065,9701022855000,28/12/2000,76245.82,96.27,13213.10,
03/2024,443033,2537000045006,09/10/2001,751919.37,510.96,67780.76,
03/2024,170021,9701052425004,09/03/2015,155207.55,76.15,4084.45,
03/2024,193100,0271000025005,03/03/2015,1076.45,0.24,12.64,
03/2024,170021,9701040125000,31/03/2020,1152531.19,248.10,5909.05,
03/2024,170062,2507000015008,09/07/2015,1232153.24,582.14,30079.16,
03/2024,120259,8589000435004,09/05/2022,431607.43,43.48,496.44,
03/2024,170021,9701030535001,04/08/2017,406988.10,146.40,5777.18,
03/2024,193004,1719000025004,03/03/2023,1812848.87,102.19,675.96,
03/2024,255004,0291000035005,18/05/2017,8942.67,3.32,135.22,
03/2024,170021,9701051575002,27/10/2020,1145276.36,210.72,4305.16,
03/2024,783602,2357000045008,05/11/2020,250000.00,25.43,515.87,
03/2024,110404,9701049875002,08/08/2023,453495.65,14.89,60.67,
03/2024,200119,8815000755004,30/01/2013,235147.04,79.23,5231.05,
03/2024,170036,1123000025004,02/05/2016,746542.46,319.57,14976.64,
03/2024,158416,5705001965002,29/11/2022,10218964.94,400.45,3255.37,
03/2024,373031,0639000505009,09/08/2001,10312.68,12.68,1694.13,
03/2024,255022,0035000065008,30/11/2015,68885.43,31.07,1533.14,
