REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
06/2023,158461,8083001565008,20/06/2023,390500.00,0.05,0.05,,01/06/2023
06/2023,158461,8083001555002,20/06/2023,126000.00,0.02,0.02,,01/06/2023
06/2023,158461,8083001545007,20/06/2023,126000.00,0.02,0.02,,01/06/2023
06/2023,158461,8083001535001,20/06/2023,126000.00,0.02,0.02,,01/06/2023
06/2023,080002,0241000275000,04/09/2020,554305.38,81.01,1409.76,,01/06/2023
06/2023,786810,9063000145006,16/09/2020,2036.45,0.17,2.82,,01/06/2023
06/2023,120259,8371000125000,09/05/2022,2151932.07,69.43,500.56,,01/06/2023
06/2023,160065,9701028585005,28/12/2000,71393.82,84.41,11584.11,,01/06/2023
06/2023,785810,8849000135000,23/11/2013,436454.10,122.29,7176.57,,01/06/2023
06/2023,255017,2529000025004,27/05/2022,316870.44,9.76,67.48,,01/06/2023
06/2023,160065,9701006705008,28/12/2000,68100.96,80.52,11049.83,,01/06/2023
06/2023,160392,8841004715006,11/05/2017,4690081.86,668.72,25144.67,,01/06/2023
06/2023,789300,7563007375008,22/11/2013,101627.73,51.15,3002.26,,01/06/2023
06/2023,373048,2531003205005,11/10/2001,117183.53,133.70,17709.09,,01/06/2023
06/2023,160065,9701022855000,28/12/2000,76245.82,90.14,12371.38,,01/06/2023
06/2023,443033,2537000045006,09/10/2001,751919.37,477.91,63315.54,,01/06/2023
06/2023,170021,9701052425004,09/03/2015,155207.55,67.55,3433.95,,01/06/2023
06/2023,193100,0271000025005,03/03/2015,1076.45,0.21,10.63,,01/06/2023
06/2023,170021,9701040125000,31/03/2020,1152531.19,194.50,3893.91,,01/06/2023
06/2023,170062,2507000015008,09/07/2015,1232153.24,514.62,25113.66,,01/06/2023
06/2023,120259,8589000435004,09/05/2022,431607.43,25.00,180.27,,01/06/2023
06/2023,170021,9701030535001,04/08/2017,406988.10,125.57,4544.05,,01/06/2023
06/2023,193004,1719000025004,03/03/2023,1812848.87,27.17,61.66,,01/06/2023
06/2023,255004,0291000035005,18/05/2017,8942.67,2.86,107.20,,01/06/2023
06/2023,170021,9701051575002,27/10/2020,1145276.36,158.62,2620.44,,01/06/2023
06/2023,783602,2357000045008,05/11/2020,250000.00,19.10,312.71,,01/06/2023
06/2023,110404,9701049875002,15/03/2019,453495.65,101.50,2678.12,,01/06/2023
06/2023,200119,8815000755004,30/01/2013,235147.04,71.49,4549.32,,01/06/2023
06/2023,170036,1123000025004,02/05/2016,746542.46,279.74,12262.03,,01/06/2023
06/2023,158416,5705001965002,29/11/2022,10218964.94,162.39,620.18,,01/06/2023
06/2023,373031,0639000505009,09/08/2001,10312.68,11.86,1583.33,,01/06/2023
06/2023,255022,0035000065008,30/11/2015,68885.43,27.34,1268.64,,01/06/2023
06/2023,160176,2559000025006,16/04/2013,3115474.33,928.19,57889.21,,01/06/2023
06/2023,170098,5371000085001,05/10/2020,439885.38,62.32,1052.36,,01/06/2023
06/2023,762300,5801001145009,17/01/2023,63985.52,1.37,4.13,,01/06/2023
06/2023,110404,9701064595007,28/12/2007,251724.95,204.90,19390.26,,01/06/2023
06/2023,789000,7107002905002,09/02/2021,140000.00,17.27,255.11,,01/06/2023
06/2023,753000,5927000015004,13/04/2021,1948235.32,222.65,3055.12,,01/06/2023
06/2023,752000,6001000295001,02/08/2017,1095965.06,338.48,12259.25,,01/06/2023
06/2023,110404,9701063135002,28/12/2007,179519.71,146.12,13828.32,,01/06/2023
06/2023,113801,2401003205007,03/03/2023,527214.41,7.90,17.93,,01/06/2023
06/2023,110404,9701063955000,28/12/2007,77053.25,62.72,5935.38,,01/06/2023
06/2023,154046,4921000165001,28/11/2022,192842.34,3.08,11.81,,01/06/2023
06/2023,255013,2897000015002,08/05/2019,10229.31,1.24,31.37,,01/06/2023
06/2023,170199,9221000145003,03/10/2022,1352950.15,27.69,131.94,,01/06/2023
