REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
04/2020,080002,0241000275000,25/10/2017,459524.59,59.80,930.16,,01/04/2020
04/2020,786810,9063000145006,11/12/2019,2036.45,0.02,0.05,,01/04/2020
04/2020,120259,8371000125000,30/08/2018,338050.68,167.71,167.71,,01/04/2020
04/2020,160065,9701028585005,28/12/2000,71393.82,72.52,8554.67,,01/04/2020
04/2020,785810,8849000135000,23/11/2013,436454.10,81.79,3224.25,,01/04/2020
04/2020,255017,2529000025004,03/04/2014,203000.00,35.91,1337.10,,01/04/2020
04/2020,160065,9701006705008,28/12/2000,68100.96,69.17,8160.11,,01/04/2020
04/2020,160392,8841004715006,11/05/2017,4690081.86,321.44,5894.16,,01/04/2020
04/2020,789300,7563007375008,22/11/2013,101627.73,34.22,1349.22,,01/04/2020
04/2020,373048,2531003205005,11/10/2001,117183.53,114.18,12923.42,,01/04/2020
04/2020,160065,9701022855000,28/12/2000,76245.82,77.45,9136.06,,01/04/2020
04/2020,443033,2537000045006,09/10/2001,751919.37,408.14,46209.26,,01/04/2020
04/2020,170021,9701052425004,09/03/2015,155207.55,41.70,1316.23,,01/04/2020
04/2020,193100,0271000025005,03/03/2015,1076.45,0.13,4.08,,01/04/2020
04/2020,170021,9701040125000,01/12/2014,470549.40,133.05,4417.56,,01/04/2020
04/2020,170062,2507000015008,09/07/2015,1232153.24,309.34,9136.35,,01/04/2020
04/2020,120259,8589000435004,18/07/2019,98295.56,3.86,19.45,,01/04/2020
04/2020,170021,9701030535001,04/08/2017,406988.10,57.78,977.57,,01/04/2020
04/2020,193004,1719000025004,02/05/2019,631911.68,31.79,201.11,,01/04/2020
04/2020,193124,8847000025004,10/07/2019,124589.68,5.02,26.04,,01/04/2020
04/2020,255004,0291000035005,18/05/2017,8942.67,1.37,24.96,,01/04/2020
04/2020,170021,9701051575002,03/02/2015,331990.81,90.82,2918.24,,01/04/2020
04/2020,783602,2357000045008,30/10/2018,25537.52,1.09,10.26,,01/04/2020
04/2020,110404,9701049875002,15/03/2019,453495.65,25.95,184.90,,01/04/2020
04/2020,200119,8815000755004,30/01/2013,235147.04,49.67,2203.95,,01/04/2020
04/2020,170036,1123000025004,02/05/2016,746542.46,155.36,3817.06,,01/04/2020
04/2020,158416,5705001965002,10/12/2018,10360494.24,409.12,3562.47,,01/04/2020
04/2020,373031,0639000505009,09/08/2001,10312.68,10.15,1158.57,,01/04/2020
04/2020,255022,0035000065008,30/11/2015,68885.43,15.87,430.49,,01/04/2020
04/2020,160176,2559000025006,16/04/2013,3115474.33,639.13,27547.55,,01/04/2020
04/2020,170098,5371000085001,02/08/2018,439885.38,39.43,428.73,,01/04/2020
04/2020,762300,5801001145009,31/10/2019,63985.52,1.54,5.09,,01/04/2020
04/2020,110404,9701064595007,28/12/2007,251724.95,162.96,12281.90,,01/04/2020
04/2020,789000,7107002905002,11/07/2005,140000.00,108.80,9831.17,,01/04/2020
04/2020,753000,5927000015004,06/08/2018,1778356.04,158.38,1711.55,,01/04/2020
04/2020,752000,6001000295001,02/08/2017,1095965.06,155.89,2642.99,,01/04/2020
04/2020,110404,9701063135002,28/12/2007,179519.71,116.22,8758.94,,01/04/2020
04/2020,113801,2401003205007,01/07/2019,195172.42,8.12,43.32,,01/04/2020
04/2020,110404,9701063955000,28/12/2007,77053.25,49.88,3759.50,,01/04/2020
04/2020,154046,4921000165001,17/06/2016,141118.65,15.84,376.90,,01/04/2020
04/2020,255013,2897000015002,08/05/2019,10229.31,0.28,1.75,,01/04/2020
04/2020,193003,1441000675006,30/05/2018,2134646.59,211.04,2519.57,,01/04/2020
04/2020,160488,6861000065000,16/11/2004,1837489.28,830.16,78298.51,,01/04/2020
04/2020,120260,9701076415009,30/03/2016,332980.30,70.88,1780.41,,01/04/2020
04/2020,153052,9373007035008,30/10/2018,12055500.00,515.73,4842.85,,01/04/2020
04/2020,153052,9373007025002,30/10/2018,2434168.00,104.14,977.84,,01/04/2020
04/2020,153052,9373001305003,31/10/2018,9588744.00,409.43,3837.88,,01/04/2020
04/2020,153052,9373007015007,31/10/2018,1921744.00,82.05,769.17,,01/04/2020
04/2020,080009,5865000435000,23/12/2015,555927.28,126.19,3375.80,,01/04/2020
04/2020,785340,8161000455000,29/11/2015,79873.99,18.41,499.78,,01/04/2020
04/2020,785340,8161000405002,29/11/2015,100203.85,23.09,626.98,,01/04/2020
04/2020,193114,0505000145001,07/07/2017,75418.13,11.01,191.44,,01/04/2020
04/2020,110120,0255001855000,08/04/2019,765249.08,41.13,276.71,,01/04/2020
04/2020,160219,8267000015005,25/06/2019,7214.07,0.31,1.67,,01/04/2020
04/2020,400081,8105001645006,04/04/2019,2385507.41,129.61,880.48,,01/04/2020
04/2020,170053,2211000015007,05/09/2012,52650.00,21.08,987.22,,01/04/2020
04/2020,170199,9249000045009,27/12/2012,144424.25,55.49,2493.43,,01/04/2020
04/2020,200356,6001016235003,07/03/2017,91055.05,8.29,161.08,,01/04/2020
04/2020,443033,1559000085003,20/08/2001,146879.02,80.32,9160.13,,01/04/2020
04/2020,170164,7731000035001,31/08/2017,5879198.48,360.75,5941.90,,01/04/2020
04/2020,060001,9701049335008,04/12/2014,388376.05,109.64,3635.05,,01/04/2020
04/2020,160065,9701048085008,01/12/2014,337105.08,95.31,3164.77,,01/04/2020
04/2020,170021,9701041605006,01/12/2014,352026.95,99.53,3304.86,,01/04/2020
04/2020,170021,9701042105007,01/12/2014,280440.04,79.30,2632.80,,01/04/2020
04/2020,170021,9701037275005,01/12/2014,352026.95,99.53,3304.86,,01/04/2020
04/2020,110404,9701036765009,04/08/2017,685372.45,97.29,1646.23,,01/04/2020
