REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
01/2022,789000,7107006955004,10/02/2021,7000.00,0.20,1.18,,01/01/2022
01/2022,789000,7107007015005,10/02/2021,7000.00,0.20,1.18,,01/01/2022
01/2022,789000,7107007035006,10/02/2021,7000.00,0.20,1.18,,01/01/2022
01/2022,080002,0241000275000,04/09/2020,554305.38,41.15,351.75,,01/01/2022
01/2022,786810,9063000145006,16/09/2020,2036.45,0.09,0.69,,01/01/2022
01/2022,120259,8371000125000,30/08/2018,338050.68,34.61,706.57,,01/01/2022
01/2022,160065,9701028585005,28/12/2000,71393.82,81.74,10177.88,,01/01/2022
01/2022,785810,8849000135000,23/11/2013,436454.10,107.70,5223.07,,01/01/2022
01/2022,255017,2529000025004,03/04/2014,203000.00,47.89,2221.17,,01/01/2022
01/2022,160065,9701006705008,28/12/2000,68100.96,77.97,9708.45,,01/01/2022
01/2022,160392,8841004715006,11/05/2017,4690081.86,530.97,14915.70,,01/01/2022
01/2022,789300,7563007375008,22/11/2013,101627.73,45.05,2185.24,,01/01/2022
01/2022,373048,2531003205005,11/10/2001,117183.53,129.17,15484.15,,01/01/2022
01/2022,160065,9701022855000,28/12/2000,76245.82,87.30,10869.58,,01/01/2022
01/2022,443033,2537000045006,09/10/2001,751919.37,461.69,55362.62,,01/01/2022
01/2022,170021,9701052425004,09/03/2015,155207.55,57.89,2367.44,,01/01/2022
01/2022,193100,0271000025005,03/03/2015,1076.45,0.18,7.33,,01/01/2022
01/2022,170021,9701040125000,31/03/2020,1152531.19,112.50,1246.41,,01/01/2022
01/2022,170062,2507000015008,09/07/2015,1232153.24,437.17,17018.74,,01/01/2022
01/2022,120259,8589000435004,18/07/2019,98295.56,13.36,203.33,,01/01/2022
01/2022,170021,9701030535001,04/08/2017,406988.10,98.52,2632.47,,01/01/2022
01/2022,193004,1719000025004,02/05/2019,631911.68,93.12,1533.04,,01/01/2022
01/2022,193124,8847000025004,11/11/2021,134208.93,1.31,2.12,,01/01/2022
01/2022,255004,0291000035005,18/05/2017,8942.67,2.27,63.47,,01/01/2022
01/2022,170021,9701051575002,27/10/2020,1145276.36,75.98,584.62,,01/01/2022
01/2022,783602,2357000045008,05/11/2020,250000.00,9.05,68.32,,01/01/2022
01/2022,110404,9701049875002,15/03/2019,453495.65,70.07,1207.80,,01/01/2022
01/2022,200119,8815000755004,30/01/2013,235147.04,63.82,3400.62,,01/01/2022
01/2022,170036,1123000025004,02/05/2016,746542.46,231.75,7907.83,,01/01/2022
01/2022,158416,5705001965002,10/12/2018,10360494.24,973.11,18264.96,,01/01/2022
01/2022,373031,0639000505009,09/08/2001,10312.68,11.46,1385.92,,01/01/2022
01/2022,255022,0035000065008,30/11/2015,68885.43,22.96,840.62,,01/01/2022
01/2022,160176,2559000025006,16/04/2013,3115474.33,825.94,42996.18,,01/01/2022
01/2022,170098,5371000085001,05/10/2020,439885.38,30.63,246.49,,01/01/2022
01/2022,762300,5801001145009,31/10/2019,63985.52,7.70,104.10,,01/01/2022
01/2022,110404,9701064595007,28/12/2007,251724.95,192.41,16023.88,,01/01/2022
01/2022,789000,7107002905002,09/02/2021,140000.00,7.10,42.62,,01/01/2022
01/2022,753000,5927000015004,13/04/2021,1948235.32,80.52,401.74,,01/01/2022
01/2022,752000,6001000295001,02/08/2017,1095965.06,265.63,7106.18,,01/01/2022
01/2022,110404,9701063135002,28/12/2007,179519.71,137.21,11427.56,,01/01/2022
01/2022,113801,2401003205007,01/07/2019,195172.42,27.02,418.65,,01/01/2022
01/2022,110404,9701063955000,28/12/2007,77053.25,58.89,4904.92,,01/01/2022
01/2022,154046,4921000165001,17/06/2016,141118.65,23.86,796.42,,01/01/2022
01/2022,255013,2897000015002,08/05/2019,10229.31,0.84,13.66,,01/01/2022
01/2022,193003,1441000675006,30/05/2018,2134646.59,421.68,9234.11,,01/01/2022
01/2022,160488,6861000065000,16/11/2004,1837489.28,955.44,97093.47,,01/01/2022
01/2022,120260,9701076415009,30/03/2016,332980.30,105.00,3638.85,,01/01/2022
01/2022,153052,9373001305003,22/06/2021,27607737.35,475.12,1836.52,,01/01/2022
01/2022,080009,5865000435000,23/12/2015,555927.28,183.42,6646.32,,01/01/2022
01/2022,785340,8161000455000,29/11/2015,79873.99,26.64,975.58,,01/01/2022
01/2022,785340,8161000405002,29/11/2015,100203.85,33.42,1223.89,,01/01/2022
01/2022,193114,0505000145001,23/10/2019,75418.13,9.16,125.10,,01/01/2022
01/2022,110120,0255001855000,30/03/2021,836045.79,36.30,189.27,,01/01/2022
01/2022,160219,8267000015005,22/06/2021,7851.80,0.24,0.94,,01/01/2022
01/2022,400081,8105001645006,04/04/2019,2385507.41,361.47,6114.28,,01/01/2022
01/2022,170053,2211000015007,05/09/2012,52650.00,26.81,1492.16,,01/01/2022
01/2022,170199,9249000045009,27/12/2012,144424.25,71.12,3828.28,,01/01/2022
01/2022,200356,6001016235003,01/09/2021,12000.00,0.13,0.37,,01/01/2022
01/2022,443033,1559000085003,20/08/2001,146879.02,90.80,10960.73,,01/01/2022
01/2022,170164,7731000035001,31/07/2020,8744019.94,308.76,2813.44,,01/01/2022
01/2022,060001,9701049335008,04/12/2014,388376.05,150.35,6379.11,,01/01/2022
01/2022,160065,9701048085008,01/12/2014,337105.08,130.65,5549.69,,01/01/2022
01/2022,170021,9701041605006,23/10/2020,1247307.57,83.49,647.80,,01/01/2022
01/2022,170021,9701042105007,01/12/2014,280440.04,108.69,4616.83,,01/01/2022
01/2022,170021,9701037275005,25/05/2020,1183130.20,105.81,1078.35,,01/01/2022
01/2022,110404,9701036765009,04/08/2017,685372.45,165.90,4433.10,,01/01/2022
01/2022,110001,9701031875000,02/10/2019,408405.57,50.88,712.09,,01/01/2022
01/2022,170021,9701030245003,02/10/2019,244948.20,30.52,427.09,,01/01/2022
01/2022,170193,9047001995001,04/05/2015,245803.98,49.92,1996.30,,01/01/2022
01/2022,160140,9047000305001,09/12/2020,670125.00,22.37,156.63,,01/01/2022
01/2022,170192,9047001865000,10/11/2020,891032.45,31.89,238.16,,01/01/2022
01/2022,170067,2845000055001,10/06/2015,62938.55,22.60,890.47,,01/01/2022
01/2022,158381,2785000515005,14/05/2018,15202007.03,1692.64,37502.06,,01/01/2022
01/2022,153103,1761000105009,19/10/2015,37620988.80,7115.56,265294.73,,01/01/2022
01/2022,120260,9701005405000,24/02/2016,4363071.69,778.90,27432.51,,01/01/2022
01/2022,751500,5851000145001,30/11/2015,6321.89,1.17,42.96,,01/01/2022
01/2022,090006,1389000015004,20/08/2001,2590582.84,2875.52,347125.62,,01/01/2022
01/2022,255006,1537000405007,27/11/2017,79191.26,9.92,246.68,,01/01/2022
01/2022,170127,6001013775007,27/01/2015,2234410.13,471.72,19603.64,,01/01/2022
