REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
05/2020,160482,0301004725007,20/05/2020,2052000.00,0.60,0.60,,01/05/2020
05/2020,080026,9131000395000,20/02/2020,530000.00,6.75,12.99,,01/05/2020
05/2020,170098,5413000285000,19/05/2020,1013177.09,0.20,0.20,,01/05/2020
05/2020,170098,4267001545006,24/03/2020,8023.33,0.06,0.09,,01/05/2020
05/2020,158517,8081000705004,26/05/2020,5018509.99,0.17,0.17,,01/05/2020
05/2020,158517,8081000695009,26/05/2020,5018509.99,0.17,0.17,,01/05/2020
05/2020,080002,0241000275000,25/10/2017,459524.59,63.88,994.04,,01/05/2020
05/2020,786810,9063000145006,11/12/2019,2036.45,0.03,0.08,,01/05/2020
05/2020,120259,8371000125000,30/08/2018,338050.68,17.51,185.22,,01/05/2020
05/2020,160065,9701028585005,28/12/2000,71393.82,75.26,8629.93,,01/05/2020
05/2020,785810,8849000135000,23/11/2013,436454.10,85.63,3309.88,,01/05/2020
05/2020,255017,2529000025004,03/04/2014,203000.00,37.62,1374.72,,01/05/2020
05/2020,160065,9701006705008,28/12/2000,68100.96,71.79,8231.90,,01/05/2020
05/2020,160392,8841004715006,11/05/2017,4690081.86,341.62,6235.78,,01/05/2020
05/2020,789300,7563007375008,22/11/2013,101627.73,35.81,1385.03,,01/05/2020
05/2020,373048,2531003205005,11/10/2001,117183.53,118.52,13041.94,,01/05/2020
05/2020,160065,9701022855000,28/12/2000,76245.82,80.37,9216.43,,01/05/2020
05/2020,443033,2537000045006,09/10/2001,751919.37,423.66,46632.92,,01/05/2020
05/2020,170021,9701052425004,09/03/2015,155207.55,43.79,1360.02,,01/05/2020
05/2020,193100,0271000025005,03/03/2015,1076.45,0.14,4.22,,01/05/2020
05/2020,170021,9701040125000,31/03/2020,1152531.19,10.30,10.30,,01/05/2020
05/2020,170062,2507000015008,09/07/2015,1232153.24,325.24,9461.59,,01/05/2020
05/2020,120259,8589000435004,18/07/2019,98295.56,4.43,23.88,,01/05/2020
05/2020,170021,9701030535001,04/08/2017,406988.10,61.54,1039.11,,01/05/2020
05/2020,193004,1719000025004,02/05/2019,631911.68,35.71,236.82,,01/05/2020
05/2020,193124,8847000025004,10/07/2019,124589.68,5.76,31.80,,01/05/2020
05/2020,255004,0291000035005,18/05/2017,8942.67,1.46,26.42,,01/05/2020
05/2020,170021,9701051575002,03/02/2015,331990.81,95.34,3013.58,,01/05/2020
05/2020,783602,2357000045008,30/10/2018,25537.52,1.19,11.45,,01/05/2020
05/2020,110404,9701049875002,15/03/2019,453495.65,28.87,213.77,,01/05/2020
05/2020,200119,8815000755004,30/01/2013,235147.04,51.93,2255.88,,01/05/2020
05/2020,170036,1123000025004,02/05/2016,746542.46,163.93,3980.99,,01/05/2020
05/2020,158416,5705001965002,10/12/2018,10360494.24,448.97,4011.44,,01/05/2020
05/2020,373031,0639000505009,09/08/2001,10312.68,10.52,1169.09,,01/05/2020
05/2020,255022,0035000065008,30/11/2015,68885.43,16.70,447.19,,01/05/2020
05/2020,160176,2559000025006,16/04/2013,3115474.33,668.32,28215.87,,01/05/2020
05/2020,170098,5371000085001,02/08/2018,439885.38,42.74,471.47,,01/05/2020
05/2020,762300,5801001145009,31/10/2019,63985.52,1.88,6.97,,01/05/2020
05/2020,110404,9701064595007,28/12/2007,251724.95,169.54,12451.44,,01/05/2020
05/2020,789000,7107002905002,11/07/2005,140000.00,113.05,9944.22,,01/05/2020
05/2020,753000,5927000015004,06/08/2018,1778356.04,171.75,1883.30,,01/05/2020
05/2020,752000,6001000295001,02/08/2017,1095965.06,166.07,2809.06,,01/05/2020
05/2020,110404,9701063135002,28/12/2007,179519.71,120.91,8879.85,,01/05/2020
05/2020,113801,2401003205007,01/07/2019,195172.42,9.29,52.61,,01/05/2020
05/2020,110404,9701063955000,28/12/2007,77053.25,51.90,3811.40,,01/05/2020
05/2020,154046,4921000165001,17/06/2016,141118.65,16.72,393.62,,01/05/2020
05/2020,255013,2897000015002,08/05/2019,10229.31,0.32,2.07,,01/05/2020
05/2020,193003,1441000675006,30/05/2018,2134646.59,227.77,2747.34,,01/05/2020
05/2020,160488,6861000065000,16/11/2004,1837489.28,862.47,79160.98,,01/05/2020
05/2020,120260,9701076415009,30/03/2016,332980.30,74.76,1855.17,,01/05/2020
05/2020,153052,9373007015007,31/10/2018,1921744.00,89.66,858.83,,01/05/2020
05/2020,153052,9373001305003,31/10/2018,9588744.00,447.33,4285.21,,01/05/2020
05/2020,153052,9373007035008,30/10/2018,12055500.00,563.41,5406.26,,01/05/2020
05/2020,153052,9373007025002,30/10/2018,2434168.00,113.76,1091.60,,01/05/2020
05/2020,080009,5865000435000,23/12/2015,555927.28,132.92,3508.72,,01/05/2020
05/2020,785340,8161000455000,29/11/2015,79873.99,19.38,519.16,,01/05/2020
05/2020,785340,8161000405002,29/11/2015,100203.85,24.32,651.30,,01/05/2020
05/2020,193114,0505000145001,07/07/2017,75418.13,11.72,203.16,,01/05/2020
05/2020,110120,0255001855000,08/04/2019,765249.08,45.99,322.70,,01/05/2020
05/2020,160219,8267000015005,25/06/2019,7214.07,0.34,2.01,,01/05/2020
05/2020,400081,8105001645006,04/04/2019,2385507.41,144.76,1025.24,,01/05/2020
05/2020,170053,2211000015007,05/09/2012,52650.00,22.03,1009.25,,01/05/2020
05/2020,170199,9249000045009,27/12/2012,144424.25,58.00,2551.43,,01/05/2020
05/2020,200356,6001016235003,07/03/2017,91055.05,8.81,169.89,,01/05/2020
05/2020,443033,1559000085003,20/08/2001,146879.02,83.36,9243.49,,01/05/2020
05/2020,170164,7731000035001,31/08/2017,5879198.48,384.66,6326.56,,01/05/2020
05/2020,060001,9701049335008,04/12/2014,388376.05,115.07,3750.12,,01/05/2020
05/2020,160065,9701048085008,01/12/2014,337105.08,100.03,3264.80,,01/05/2020
05/2020,170021,9701041605006,01/12/2014,352026.95,104.46,3409.32,,01/05/2020
05/2020,170021,9701042105007,01/12/2014,280440.04,83.21,2716.01,,01/05/2020
05/2020,170021,9701037275005,01/12/2014,352026.95,104.46,3409.32,,01/05/2020
05/2020,110404,9701036765009,04/08/2017,685372.45,103.65,1749.88,,01/05/2020
05/2020,110001,9701031875000,02/10/2019,408405.57,13.78,57.45,,01/05/2020
05/2020,110001,9701030245003,02/10/2019,244948.20,8.27,34.46,,01/05/2020
05/2020,130077,9047001995001,04/05/2015,245803.98,37.48,1130.22,,01/05/2020
05/2020,170192,9047001865000,24/04/2018,1866885.25,116.51,1472.97,,01/05/2020
05/2020,160140,9047000305001,17/03/2009,670125.00,226.62,15017.37,,01/05/2020
05/2020,170067,2845000055001,10/06/2015,62938.55,16.88,499.10,,01/05/2020
05/2020,158381,2785000515005,14/05/2018,15202007.03,923.53,11377.81,,01/05/2020
05/2020,153103,1761000105009,19/10/2015,37620988.80,5212.19,143053.99,,01/05/2020
05/2020,120260,9701005405000,24/02/2016,4363071.69,558.16,14167.13,,01/05/2020
05/2020,751500,5851000145001,30/11/2015,6321.89,0.86,22.86,,01/05/2020
05/2020,090006,1389000015004,20/08/2001,2590582.84,2640.18,292740.86,,01/05/2020
05/2020,255006,1537000405007,27/11/2017,79191.26,5.91,88.88,,01/05/2020
05/2020,170127,6001013775007,27/01/2015,2234410.13,358.67,11377.11,,01/05/2020
05/2020,784320,0921002715007,19/05/2005,35000.00,28.54,2534.75,,01/05/2020
