REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
10/2022,170127,5879001475005,15/08/2018,5660.00,1.28,32.16,,01/10/2022
10/2022,170127,5879000185003,15/08/2018,4990.00,1.13,28.35,,01/10/2022
10/2022,200114,3807000695003,11/10/2022,436109.00,0.23,0.23,,01/10/2022
10/2022,080002,0241000275000,04/09/2020,554305.38,63.69,824.64,,01/10/2022
10/2022,786810,9063000145006,16/09/2020,2036.45,0.13,1.64,,01/10/2022
10/2022,120259,8371000125000,09/05/2022,2151932.07,28.47,88.16,,01/10/2022
10/2022,160065,9701028585005,28/12/2000,71393.82,84.64,10911.99,,01/10/2022
10/2022,785810,8849000135000,23/11/2013,436454.10,117.59,6220.05,,01/10/2022
10/2022,255017,2529000025004,27/05/2022,316870.44,3.72,10.45,,01/10/2022
10/2022,160065,9701006705008,28/12/2000,68100.96,80.75,10408.71,,01/10/2022
10/2022,160392,8841004715006,11/05/2017,4690081.86,615.72,20007.26,,01/10/2022
10/2022,789300,7563007375008,22/11/2013,101627.73,49.18,2602.21,,01/10/2022
10/2022,373048,2531003205005,11/10/2001,117183.53,133.93,16644.99,,01/10/2022
10/2022,160065,9701022855000,28/12/2000,76245.82,90.40,11653.58,,01/10/2022
10/2022,443033,2537000045006,09/10/2001,751919.37,478.72,59511.99,,01/10/2022
10/2022,170021,9701052425004,09/03/2015,155207.55,64.19,2908.16,,01/10/2022
10/2022,193100,0271000025005,03/03/2015,1076.45,0.20,9.00,,01/10/2022
10/2022,170021,9701040125000,31/03/2020,1152531.19,159.36,2466.95,,01/10/2022
10/2022,170062,2507000015008,09/07/2015,1232153.24,487.26,21114.30,,01/10/2022
10/2022,120259,8589000435004,09/05/2022,431607.43,10.25,31.75,,01/10/2022
10/2022,170021,9701030535001,04/08/2017,406988.10,115.07,3581.21,,01/10/2022
10/2022,193004,1719000025004,02/05/2019,631911.68,118.80,2479.03,,01/10/2022
10/2022,255004,0291000035005,18/05/2017,8942.67,2.63,85.23,,01/10/2022
10/2022,170021,9701051575002,27/10/2020,1145276.36,122.54,1482.06,,01/10/2022
10/2022,783602,2357000045008,05/11/2020,250000.00,14.71,175.78,,01/10/2022
10/2022,110404,9701049875002,15/03/2019,453495.65,88.51,1915.25,,01/10/2022
10/2022,200119,8815000755004,30/01/2013,235147.04,69.14,3988.76,,01/10/2022
10/2022,170036,1123000025004,02/05/2016,746542.46,262.10,10097.51,,01/10/2022
10/2022,158416,5705001965002,10/12/2018,10360494.24,1207.70,27984.87,,01/10/2022
10/2022,373031,0639000505009,09/08/2001,10312.68,11.88,1488.93,,01/10/2022
10/2022,255022,0035000065008,30/11/2015,68885.43,25.76,1056.58,,01/10/2022
10/2022,160176,2559000025006,16/04/2013,3115474.33,896.47,50615.60,,01/10/2022
10/2022,170098,5371000085001,05/10/2020,439885.38,48.51,603.88,,01/10/2022
10/2022,762300,5801001145009,31/10/2019,63985.52,10.30,184.62,,01/10/2022
10/2022,110404,9701064595007,28/12/2007,251724.95,202.64,17768.44,,01/10/2022
10/2022,789000,7107002905002,09/02/2021,140000.00,12.79,133.04,,01/10/2022
10/2022,753000,5927000015004,13/04/2021,1948235.32,159.72,1499.13,,01/10/2022
