REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
12/2022,080002,0241000275000,04/09/2020,554305.38,68.73,957.43,,01/12/2022
12/2022,786810,9063000145006,16/09/2020,2036.45,0.13,1.90,,01/12/2022
12/2022,120259,8371000125000,09/05/2022,2151932.07,39.36,160.33,,01/12/2022
12/2022,160065,9701028585005,28/12/2000,71393.82,85.30,11079.52,,01/12/2022
12/2022,785810,8849000135000,23/11/2013,436454.10,119.80,6454.71,,01/12/2022
12/2022,255017,2529000025004,27/05/2022,316870.44,5.32,20.14,,01/12/2022
12/2022,160065,9701006705008,28/12/2000,68100.96,81.36,10568.50,,01/12/2022
12/2022,160392,8841004715006,11/05/2017,4690081.86,634.66,21246.95,,01/12/2022
12/2022,789300,7563007375008,22/11/2013,101627.73,50.11,2700.36,,01/12/2022
12/2022,373048,2531003205005,11/10/2001,117183.53,134.99,16910.10,,01/12/2022
12/2022,160065,9701022855000,28/12/2000,76245.82,91.09,11832.49,,01/12/2022
12/2022,443033,2537000045006,09/10/2001,751919.37,482.52,60459.63,,01/12/2022
12/2022,170021,9701052425004,09/03/2015,155207.55,65.61,3036.58,,01/12/2022
12/2022,193100,0271000025005,03/03/2015,1076.45,0.20,9.40,,01/12/2022
12/2022,170021,9701040125000,31/03/2020,1152531.19,169.84,2796.08,,01/12/2022
12/2022,170062,2507000015008,09/07/2015,1232153.24,498.46,22089.73,,01/12/2022
12/2022,120259,8589000435004,09/05/2022,431607.43,14.17,57.74,,01/12/2022
12/2022,170021,9701030535001,04/08/2017,406988.10,118.77,3813.12,,01/12/2022
12/2022,193004,1719000025004,02/05/2019,631911.68,124.54,2721.33,,01/12/2022
12/2022,255004,0291000035005,18/05/2017,8942.67,2.71,90.53,,01/12/2022
12/2022,170021,9701051575002,27/10/2020,1145276.36,132.95,1738.64,,01/12/2022
12/2022,783602,2357000045008,05/11/2020,250000.00,15.97,206.60,,01/12/2022
12/2022,110404,9701049875002,15/03/2019,453495.65,92.62,2095.51,,01/12/2022
12/2022,200119,8815000755004,30/01/2013,235147.04,70.34,4126.59,,01/12/2022
12/2022,170036,1123000025004,02/05/2016,746542.46,268.88,10623.31,,01/12/2022
12/2022,158416,5705001965002,29/11/2022,20209377.93,27.65,27.68,,01/12/2022
12/2022,373031,0639000505009,09/08/2001,10312.68,11.97,1512.45,,01/12/2022
12/2022,255022,0035000065008,30/11/2015,68885.43,26.40,1108.21,,01/12/2022
12/2022,160176,2559000025006,16/04/2013,3115474.33,912.23,52403.01,,01/12/2022
12/2022,170098,5371000085001,05/10/2020,439885.38,52.51,705.26,,01/12/2022
12/2022,762300,5801001145009,31/10/2019,63985.52,10.88,205.74,,01/12/2022
12/2022,110404,9701064595007,28/12/2007,251724.95,204.92,18170.57,,01/12/2022
12/2022,789000,7107002905002,09/02/2021,140000.00,14.06,160.10,,01/12/2022
12/2022,753000,5927000015004,13/04/2021,1948235.32,177.41,1839.67,,01/12/2022
12/2022,752000,6001000295001,02/08/2017,1095965.06,320.14,10289.03,,01/12/2022
12/2022,110404,9701063135002,28/12/2007,179519.71,146.14,12958.49,,01/12/2022
12/2022,113801,2401003205007,01/07/2019,195172.42,36.72,766.87,,01/12/2022
12/2022,110404,9701063955000,28/12/2007,77053.25,62.73,5562.03,,01/12/2022
12/2022,154046,4921000165001,17/06/2016,141118.65,27.76,1076.48,,01/12/2022
12/2022,255013,2897000015002,08/05/2019,10229.31,1.11,24.31,,01/12/2022
12/2022,170199,9221000145003,03/10/2022,1352950.15,8.25,14.34,,01/12/2022
12/2022,193003,1441000675006,30/05/2018,2134636.54,527.87,14402.45,,01/12/2022
12/2022,160488,6861000065000,16/11/2004,1837489.28,1006.35,107687.24,,01/12/2022
12/2022,120260,9701076415009,30/03/2016,332980.30,121.56,4867.67,,01/12/2022
12/2022,153052,9373001305003,22/06/2021,27607737.35,1239.86,11457.65,,01/12/2022
12/2022,080009,5865000435000,23/12/2015,555927.28,211.07,8785.31,,01/12/2022
12/2022,785340,8161000455000,29/11/2015,79873.99,30.61,1285.98,,01/12/2022
12/2022,785340,8161000405002,29/11/2015,100203.85,38.40,1613.29,,01/12/2022
12/2022,193114,0505000145001,23/10/2019,75418.13,12.91,245.86,,01/12/2022
12/2022,170211,0255001855000,30/03/2021,836045.79,77.88,825.11,,01/12/2022
12/2022,160219,8267000015005,08/06/2022,7851.80,0.22,0.80,,01/12/2022
12/2022,400081,8105001645006,04/04/2019,2385507.41,480.12,10707.35,,01/12/2022
12/2022,170053,2211000015007,05/09/2012,52650.00,29.43,1796.45,,01/12/2022
12/2022,170199,9249000045009,27/12/2012,144424.25,78.30,4636.78,,01/12/2022
12/2022,200356,6001016235003,07/12/2022,12000.00,0.01,0.01,,01/12/2022
12/2022,443033,1559000085003,20/08/2001,146879.02,94.86,11962.93,,01/12/2022
12/2022,170164,7731000035001,31/07/2020,8744019.94,502.06,7278.04,,01/12/2022
12/2022,060001,9701049335008,04/12/2014,388376.05,169.67,8112.72,,01/12/2022
12/2022,160065,9701048085008,01/12/2014,337105.08,147.42,7056.06,,01/12/2022
12/2022,170021,9701041605006,23/10/2020,1247307.57,145.53,1912.63,,01/12/2022
12/2022,170021,9701042105007,01/12/2014,280440.04,122.63,5869.98,,01/12/2022
12/2022,170021,9701037275005,25/05/2020,1183130.20,164.65,2564.74,,01/12/2022
12/2022,110404,9701036765009,04/08/2017,685372.45,200.00,6421.33,,01/12/2022
12/2022,110001,9701031875000,02/10/2019,408405.57,71.19,1379.83,,01/12/2022
12/2022,170021,9701030245003,17/06/2022,244948.20,6.62,22.83,,01/12/2022
12/2022,170193,9047001995001,04/05/2015,245803.98,56.72,2574.18,,01/12/2022
12/2022,160140,9047000305001,09/12/2020,670125.00,40.94,506.93,,01/12/2022
12/2022,170192,9047001865000,10/11/2020,891032.45,56.57,727.03,,01/12/2022
12/2022,170067,2845000055001,10/06/2015,62938.55,25.74,1152.43,,01/12/2022
12/2022,158381,2785000515005,14/05/2018,14876038.28,865.39,56969.52,,01/12/2022
12/2022,153103,1761000105009,19/10/2015,37620988.80,8157.60,348093.81,,01/12/2022
12/2022,120260,9701005405000,22/06/2022,3921189.12,57.40,193.36,,01/12/2022
12/2022,751500,5851000145001,30/11/2015,6321.89,1.35,56.64,,01/12/2022
12/2022,090006,1389000015004,20/08/2001,2590582.84,3004.34,378865.40,,01/12/2022
12/2022,255006,1537000405007,27/11/2017,79191.26,12.12,366.49,,01/12/2022
12/2022,170127,6001013775007,27/01/2015,2234410.13,533.61,25050.40,,01/12/2022
12/2022,784320,0921002715007,19/05/2005,35000.00,33.46,3481.20,,01/12/2022
12/2022,153045,1389008975007,31/12/2014,564420.46,136.06,6446.41,,01/12/2022
12/2022,153045,1389011945008,31/12/2014,6242761.40,43685.52,71300.37,,01/12/2022
12/2022,153045,1389008425007,31/12/2014,120455.75,29.04,1375.76,,01/12/2022
12/2022,153045,1389008395000,31/12/2014,807968.48,194.76,9228.04,,01/12/2022
12/2022,153045,1389008435002,31/12/2014,186312.03,44.91,2127.92,,01/12/2022
12/2022,153045,1389008415001,31/12/2014,129929.97,31.32,1483.97,,01/12/2022
12/2022,153045,1389008405006,31/12/2014,101781.39,24.53,1162.47,,01/12/2022
12/2022,153045,1389008385005,31/12/2014,1186854.38,286.09,13555.40,,01/12/2022
12/2022,153045,1389008375000,31/12/2014,847057.48,204.19,9674.49,,01/12/2022
12/2022,153045,1389008365004,31/12/2014,333021.57,80.27,3803.53,,01/12/2022
12/2022,153045,1389008355009,31/12/2014,88930.00,21.44,1015.70,,01/12/2022
12/2022,153045,1389008345003,31/12/2014,2765912.33,666.74,31590.28,,01/12/2022
