REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
01/2021,170098,4123001175006,14/01/2021,125432.22,0.05,0.05,,01/01/2021
01/2021,170098,4123001185001,14/01/2021,215216.43,0.08,0.08,,01/01/2021
01/2021,200246,8915000165009,31/03/2017,20000.00,4.13,94.43,,01/01/2021
01/2021,120260,9701004945001,22/07/2016,8854277.94,1203.23,32402.52,,01/01/2021
01/2021,200032,3849002745003,21/11/2001,16050366.00,16720.80,1894999.57,,01/01/2021
01/2021,060020,8841001465009,19/09/2017,2582915.51,467.16,9386.09,,01/01/2021
01/2021,170151,7107001245009,21/11/2001,398937.00,415.60,47100.82,,01/01/2021
01/2021,120255,0703000615004,26/03/2015,92141785.44,16219.89,563412.71,,01/01/2021
01/2021,173030,6001017285004,31/12/2000,15000.00,9.10,1079.85,,01/01/2021
01/2021,173030,6001018305009,30/11/2004,292447.04,142.87,13645.48,,01/01/2021
01/2021,173030,6001017295000,31/12/2000,15000.00,9.10,1079.85,,01/01/2021
01/2021,193183,9241000465002,07/08/2014,75345.14,26.40,1015.66,,01/01/2021
01/2021,173030,6001017305005,31/12/2000,15000.00,9.10,1079.85,,01/01/2021
01/2021,170151,7107000145000,03/02/2020,170359.11,8.82,53.92,,01/01/2021
01/2021,010001,9701154615007,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154625002,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154635008,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154645003,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154655009,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,170053,2079000065000,30/06/2016,587099.52,80.86,2206.05,,01/01/2021
01/2021,170053,2095000045001,02/08/2012,102121.81,26.15,1316.18,,01/01/2021
01/2021,170053,2117000055001,30/06/2016,406775.60,56.02,1528.47,,01/01/2021
01/2021,170053,2185000015004,30/06/2016,202017.02,27.83,759.09,,01/01/2021
01/2021,010001,9701154665004,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154675000,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154685005,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154695000,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154705006,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154715001,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154725007,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154735002,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154745008,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154755003,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,390082,8791000245005,31/07/2003,14953028.89,7910.27,817766.05,,01/01/2021
01/2021,080005,1987000075009,12/06/2014,370726.74,133.03,5236.51,,01/01/2021
01/2021,173030,6001017585008,31/12/2000,15000.00,9.10,1079.85,,01/01/2021
01/2021,010001,9701154775004,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154795005,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,170127,5847000175000,27/12/2018,135919.06,15.19,191.56,,01/01/2021
01/2021,130081,9377000025000,24/07/2014,13214.58,2.59,100.38,,01/01/2021
01/2021,010001,9701154815006,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,200116,5833010785005,18/06/2018,2033774.78,158.98,2496.83,,01/01/2021
01/2021,010001,9701154825001,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154835007,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154845002,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154855008,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154865003,21/10/2019,974047.56,65.64,512.43,,01/01/2021
01/2021,010001,9701154875009,21/10/2019,974047.56,65.64,512.43,,01/01/2021
