REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
12/2021,373044,1007000425004,31/05/2021,2413.44,0.04,0.15,,01/12/2021
12/2021,080013,8339000135001,22/12/2021,1883677.87,0.37,0.37,,01/12/2021
12/2021,789000,7107006855000,10/02/2021,7000.00,0.18,0.98,,01/12/2021
12/2021,789000,7107006955004,10/02/2021,7000.00,0.18,0.98,,01/12/2021
12/2021,789000,7107007015005,10/02/2021,7000.00,0.18,0.98,,01/12/2021
12/2021,789000,7107007035006,10/02/2021,7000.00,0.18,0.98,,01/12/2021
12/2021,080013,8057000015005,21/12/2021,1263889.42,0.30,0.30,,01/12/2021
12/2021,170127,5909000085004,31/08/2015,350264.36,119.89,4504.92,,01/12/2021
12/2021,787000,9701310565008,16/04/2019,318401.35,46.21,749.57,,01/12/2021
12/2021,080013,8147000065001,22/12/2021,1419245.00,0.28,0.28,,01/12/2021
12/2021,787000,9701310465003,16/04/2019,318401.35,46.21,749.57,,01/12/2021
12/2021,787000,9701310485004,16/04/2019,318401.35,46.21,749.57,,01/12/2021
12/2021,787000,9701310505005,16/04/2019,318401.35,46.21,749.57,,01/12/2021
12/2021,787000,9701310525006,16/04/2019,318401.35,46.21,749.57,,01/12/2021
12/2021,400063,3117000315009,09/07/2019,325430.44,43.16,641.62,,01/12/2021
12/2021,787000,9701310785008,20/03/2019,578072.82,86.21,1436.11,,01/12/2021
12/2021,154050,3171000065007,27/12/2021,3961136.74,0.08,0.08,,01/12/2021
12/2021,170112,9073002075002,20/10/2015,78782.14,26.38,969.94,,01/12/2021
12/2021,787000,9701310825000,11/03/2019,581763.13,87.54,1470.97,,01/12/2021
12/2021,787000,9701310845000,20/03/2019,581763.13,86.77,1445.28,,01/12/2021
12/2021,787000,9701310865001,20/03/2019,578072.82,86.21,1436.11,,01/12/2021
12/2021,787000,9701310885002,20/03/2019,578072.82,86.21,1436.11,,01/12/2021
12/2021,255022,0003006825006,10/12/2015,2622674.83,478.00,17181.54,,01/12/2021
12/2021,255022,0033000095008,30/08/2021,3529513.88,31.47,71.43,,01/12/2021
12/2021,170083,3533000175000,11/03/2013,802975.32,382.84,19960.37,,01/12/2021
12/2021,787000,9701310985007,20/03/2019,581763.13,86.77,1445.28,,01/12/2021
12/2021,170151,6793000075008,29/03/2012,152746.98,80.72,4660.28,,01/12/2021
12/2021,787000,9701310945005,20/03/2019,581763.13,86.77,1445.28,,01/12/2021
12/2021,070019,7495000485004,19/11/2021,555933.90,2.20,2.36,,01/12/2021
12/2021,787000,9701311005006,20/03/2019,578072.82,86.21,1436.11,,01/12/2021
12/2021,787000,9701311085000,20/03/2019,581763.13,86.77,1445.28,,01/12/2021
12/2021,787000,9701311105000,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311125001,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311185004,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311205005,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311325000,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311345001,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311365002,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311385003,08/10/2019,578072.82,68.83,922.28,,01/12/2021
12/2021,787000,9701311405004,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,170128,0427009265004,10/11/2017,5306137.64,1182.53,29137.10,,01/12/2021
12/2021,170128,0427009245003,10/11/2017,1743524.35,388.56,9574.05,,01/12/2021
12/2021,170128,0427009215007,10/11/2017,938167.19,209.08,5151.67,,01/12/2021
12/2021,787000,9701311045008,20/03/2019,578072.82,86.21,1436.11,,01/12/2021
12/2021,787000,9701311265008,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,170173,8373000075009,15/07/2020,1251777.77,53.83,477.49,,01/12/2021
12/2021,787000,9701311425005,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311465007,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311485008,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311525000,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311585002,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,787000,9701311625004,25/03/2019,581763.13,86.34,1431.11,,01/12/2021
12/2021,787000,9701311645005,29/04/2019,585443.13,83.82,1342.26,,01/12/2021
12/2021,787000,9701311665006,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,787000,9701311725009,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701311745000,17/03/2017,581763.13,150.28,4279.44,,01/12/2021
12/2021,170112,9165001315005,24/08/2020,25461827.73,1010.46,8311.86,,01/12/2021
12/2021,787000,9701311165003,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311225006,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311285009,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311305000,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311505009,22/03/2019,581763.13,86.59,1439.60,,01/12/2021
12/2021,787000,9701311545000,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311685007,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,152139,9701312035006,20/01/2015,24778387.55,5181.81,213338.21,,01/12/2021
12/2021,170151,6133000035004,24/05/2012,57828.63,30.08,1709.33,,01/12/2021
12/2021,787000,9701311145002,02/05/2019,578100.22,82.52,1317.30,,01/12/2021
12/2021,787000,9701311245007,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701312295008,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312535009,28/03/2019,581763.13,86.07,1422.63,,01/12/2021
12/2021,787000,9701312595001,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312615002,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312635003,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312655004,28/03/2019,581763.13,86.07,1422.63,,01/12/2021
12/2021,787000,9701311445006,22/03/2019,578072.82,86.04,1430.47,,01/12/2021
12/2021,787000,9701311565001,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,787000,9701311605003,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,787000,9701311705008,25/03/2019,578072.82,85.79,1422.03,,01/12/2021
12/2021,787000,9701312315009,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312495007,28/03/2019,578072.82,85.53,1413.61,,01/12/2021
12/2021,787000,9701312515008,17/03/2017,578072.82,149.32,4252.29,,01/12/2021
12/2021,787000,9701312695006,01/04/2019,581763.13,85.73,1411.38,,01/12/2021
12/2021,787000,9701312715007,01/04/2019,578072.82,85.18,1402.42,,01/12/2021
12/2021,787000,9701312755009,01/04/2019,578072.82,85.18,1402.42,,01/12/2021
12/2021,787000,9701312815001,01/04/2019,581763.13,85.73,1411.38,,01/12/2021
12/2021,787000,9701313175006,01/04/2019,578072.82,85.18,1402.42,,01/12/2021
12/2021,787000,9701313325008,01/04/2019,578072.82,85.18,1402.42,,01/12/2021
12/2021,787000,9701313525007,01/04/2019,578072.82,85.18,1402.42,,01/12/2021
12/2021,170151,6163000365006,29/01/2013,10813.99,5.22,275.71,,01/12/2021
12/2021,170151,6163000425009,28/01/2013,6613.43,3.20,168.72,,01/12/2021
12/2021,170151,6163000445000,28/01/2013,6613.43,3.20,168.72,,01/12/2021
12/2021,170151,6163000465000,28/01/2013,6613.43,3.20,168.72,,01/12/2021
12/2021,090029,7107012805000,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,090029,7107012825001,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,090029,7107012785000,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,170188,8485000025001,29/08/2014,61038.01,24.23,1053.80,,01/12/2021
12/2021,090029,7107012845002,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,090029,7107012885004,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,090029,7107012865003,27/08/2014,52778.00,11.68,508.22,,01/12/2021
12/2021,090029,7107012905005,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,090029,7107012925006,26/09/2016,52778.00,8.34,260.80,,01/12/2021
12/2021,158667,9399000125005,29/09/2020,6032340.69,221.39,1692.67,,01/12/2021
12/2021,154868,2027000315004,01/04/2019,11538956.17,946.96,15590.26,,01/12/2021
12/2021,373044,1221000575004,20/04/2021,19987.88,0.40,1.74,,01/12/2021
12/2021,090029,7107012945007,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107012985009,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107013005008,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107012965008,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107013025009,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107013065000,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,090029,7107013085001,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,253003,6001047135000,09/05/2013,2234.91,0.59,29.82,,01/12/2021
12/2021,090029,7107013045000,26/09/2016,63840.00,10.10,315.47,,01/12/2021
12/2021,200372,8845001315000,02/12/2021,247432.79,0.50,0.50,,01/12/2021
