REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
09/2022,020001,9701156425000,22/09/2022,2344781.46,0.36,0.36,,01/09/2022
09/2022,020001,9701156435006,22/09/2022,2344781.46,0.36,0.36,,01/09/2022
09/2022,020001,9701156445001,22/09/2022,2344781.46,0.36,0.36,,01/09/2022
09/2022,020001,9701156455007,22/09/2022,2344781.46,0.36,0.36,,01/09/2022
09/2022,020001,9701156465002,22/09/2022,2344781.46,0.36,0.36,,01/09/2022
09/2022,020001,9701156755000,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,020001,9701156765006,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,020001,9701156775001,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,020001,9701156785007,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,020001,9701156795002,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,020001,9701156805008,22/09/2022,2363307.70,0.36,0.36,,01/09/2022
09/2022,253006,7563010625001,21/09/2022,867562.36,0.09,0.09,,01/09/2022
09/2022,253006,7563010615006,21/09/2022,867562.36,0.09,0.09,,01/09/2022
09/2022,158462,9967001925005,14/09/2022,786185.81,0.27,0.27,,01/09/2022
09/2022,158462,9967001915000,14/09/2022,447644.80,0.15,0.15,,01/09/2022
09/2022,158462,9967001905004,14/09/2022,259822.34,0.09,0.09,,01/09/2022
09/2022,158462,9967001895009,14/09/2022,72230.06,0.02,0.02,,01/09/2022
09/2022,158462,9967001875008,14/09/2022,666162.01,0.18,0.18,,01/09/2022
09/2022,158462,9967001865002,14/09/2022,258684.68,0.07,0.07,,01/09/2022
09/2022,158462,9967001855007,14/09/2022,382880.11,0.13,0.13,,01/09/2022
09/2022,170021,9701355105006,16/09/2022,305237.00,0.14,0.14,,01/09/2022
09/2022,080002,0241000275000,04/09/2020,554305.38,59.19,760.95,,01/09/2022
09/2022,786810,9063000145006,16/09/2020,2036.45,0.12,1.51,,01/09/2022
09/2022,120259,8371000125000,09/05/2022,2151932.07,22.28,59.69,,01/09/2022
09/2022,160065,9701028585005,28/12/2000,71393.82,81.61,10827.35,,01/09/2022
09/2022,785810,8849000135000,23/11/2013,436454.10,112.73,6102.46,,01/09/2022
09/2022,255017,2529000025004,27/05/2022,316870.44,2.82,6.73,,01/09/2022
09/2022,160065,9701006705008,28/12/2000,68100.96,77.84,10327.96,,01/09/2022
09/2022,160392,8841004715006,11/05/2017,4690081.86,586.70,19391.54,,01/09/2022
09/2022,789300,7563007375008,22/11/2013,101627.73,47.14,2553.03,,01/09/2022
09/2022,373048,2531003205005,11/10/2001,117183.53,129.09,16511.06,,01/09/2022
09/2022,160065,9701022855000,28/12/2000,76245.82,87.14,11563.18,,01/09/2022
09/2022,443033,2537000045006,09/10/2001,751919.37,461.44,59033.27,,01/09/2022
09/2022,170021,9701052425004,09/03/2015,155207.55,61.45,2843.97,,01/09/2022
09/2022,193100,0271000025005,03/03/2015,1076.45,0.19,8.80,,01/09/2022
09/2022,170021,9701040125000,31/03/2020,1152531.19,149.16,2307.59,,01/09/2022
09/2022,170062,2507000015008,09/07/2015,1232153.24,466.14,20627.04,,01/09/2022
09/2022,120259,8589000435004,09/05/2022,431607.43,8.03,21.50,,01/09/2022
09/2022,170021,9701030535001,04/08/2017,406988.10,109.56,3466.14,,01/09/2022
09/2022,193004,1719000025004,02/05/2019,631911.68,112.20,2360.23,,01/09/2022
09/2022,255004,0291000035005,18/05/2017,8942.67,2.51,82.60,,01/09/2022
09/2022,170021,9701051575002,27/10/2020,1145276.36,113.56,1359.52,,01/09/2022
09/2022,783602,2357000045008,05/11/2020,250000.00,13.62,161.07,,01/09/2022
09/2022,110404,9701049875002,15/03/2019,453495.65,83.66,1826.74,,01/09/2022
09/2022,200119,8815000755004,30/01/2013,235147.04,66.34,3919.62,,01/09/2022
09/2022,170036,1123000025004,02/05/2016,746542.46,250.36,9835.41,,01/09/2022
09/2022,158416,5705001965002,10/12/2018,10360494.24,1143.38,26777.17,,01/09/2022
09/2022,373031,0639000505009,09/08/2001,10312.68,11.45,1477.05,,01/09/2022
09/2022,255022,0035000065008,30/11/2015,68885.43,24.64,1030.82,,01/09/2022
09/2022,160176,2559000025006,16/04/2013,3115474.33,859.93,49719.13,,01/09/2022
09/2022,170098,5371000085001,05/10/2020,439885.38,45.01,555.37,,01/09/2022
09/2022,762300,5801001145009,31/10/2019,63985.52,9.68,174.32,,01/09/2022
09/2022,110404,9701064595007,28/12/2007,251724.95,194.99,17565.80,,01/09/2022
09/2022,789000,7107002905002,09/02/2021,140000.00,11.76,120.25,,01/09/2022
09/2022,753000,5927000015004,13/04/2021,1948235.32,146.00,1339.41,,01/09/2022
09/2022,752000,6001000295001,02/08/2017,1095965.06,295.37,9353.71,,01/09/2022
09/2022,110404,9701063135002,28/12/2007,179519.71,139.06,12527.20,,01/09/2022
09/2022,113801,2401003205007,01/07/2019,195172.42,32.97,660.52,,01/09/2022
09/2022,110404,9701063955000,28/12/2007,77053.25,59.69,5376.91,,01/09/2022
09/2022,154046,4921000165001,17/06/2016,141118.65,25.84,995.14,,01/09/2022
09/2022,255013,2897000015002,08/05/2019,10229.31,1.00,21.07,,01/09/2022
09/2022,170199,9221000145003,03/08/2021,1352950.15,44.30,323.83,,01/09/2022
09/2022,193003,1441000675006,30/05/2018,2134636.54,482.69,12864.67,,01/09/2022
09/2022,160488,6861000065000,16/11/2004,1837489.28,960.39,104714.47,,01/09/2022
09/2022,120260,9701076415009,30/03/2016,332980.30,113.26,4511.39,,01/09/2022
09/2022,153052,9373001305003,22/06/2021,27607737.35,997.13,7985.31,,01/09/2022
09/2022,080009,5865000435000,23/12/2015,555927.28,196.93,8166.40,,01/09/2022
09/2022,785340,8161000455000,29/11/2015,79873.99,28.57,1196.21,,01/09/2022
09/2022,785340,8161000405002,29/11/2015,100203.85,35.84,1500.67,,01/09/2022
09/2022,193114,0505000145001,23/10/2019,75418.13,11.50,208.56,,01/09/2022
09/2022,170211,0255001855000,30/03/2021,836045.79,64.34,605.26,,01/09/2022
09/2022,160219,8267000015005,08/06/2022,7851.80,0.12,0.25,,01/09/2022
09/2022,400081,8105001645006,04/04/2019,2385507.41,433.18,9314.63,,01/09/2022
09/2022,170053,2211000015007,05/09/2012,52650.00,27.79,1709.82,,01/09/2022
09/2022,170199,9249000045009,27/12/2012,144424.25,73.87,4406.36,,01/09/2022
09/2022,200356,6001016235003,01/06/2022,12000.00,0.11,0.24,,01/09/2022
09/2022,443033,1559000085003,20/08/2001,146879.02,90.72,11682.50,,01/09/2022
09/2022,170164,7731000035001,31/07/2020,8744019.94,434.61,5840.44,,01/09/2022
09/2022,060001,9701049335008,04/12/2014,388376.05,159.08,7614.43,,01/09/2022
09/2022,160065,9701048085008,01/12/2014,337105.08,138.21,6623.10,,01/09/2022
09/2022,170021,9701041605006,23/10/2020,1247307.57,124.39,1497.53,,01/09/2022
09/2022,170021,9701042105007,01/12/2014,280440.04,114.99,5509.81,,01/09/2022
09/2022,170021,9701037275005,25/05/2020,1183130.20,143.74,2092.05,,01/09/2022
09/2022,110404,9701036765009,04/08/2017,685372.45,184.51,5837.02,,01/09/2022
09/2022,110001,9701031875000,02/10/2019,408405.57,63.51,1174.06,,01/09/2022
09/2022,170021,9701030245003,17/06/2022,244948.20,3.18,6.49,,01/09/2022
09/2022,170193,9047001995001,04/05/2015,245803.98,53.09,2407.68,,01/09/2022
09/2022,160140,9047000305001,09/12/2020,670125.00,34.69,390.48,,01/09/2022
