REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
10/2021,080002,0241000275000,04/09/2020,554305.38,33.55,237.10,,01/10/2021
10/2021,786810,9063000145006,16/09/2020,2036.45,0.07,0.46,,01/10/2021
10/2021,120259,8371000125000,30/08/2018,338050.68,32.03,606.39,,01/10/2021
10/2021,160065,9701028585005,28/12/2000,71393.82,80.77,9936.25,,01/10/2021
10/2021,785810,8849000135000,23/11/2013,436454.10,104.38,4906.70,,01/10/2021
10/2021,255017,2529000025004,03/04/2014,203000.00,46.34,2080.57,,01/10/2021
10/2021,160065,9701006705008,28/12/2000,68100.96,77.04,9477.96,,01/10/2021
10/2021,160392,8841004715006,11/05/2017,4690081.86,502.41,13367.99,,01/10/2021
10/2021,789300,7563007375008,22/11/2013,101627.73,43.65,2052.92,,01/10/2021
10/2021,373048,2531003205005,11/10/2001,117183.53,127.55,15102.40,,01/10/2021
10/2021,160065,9701022855000,28/12/2000,76245.82,86.26,10611.53,,01/10/2021
10/2021,443033,2537000045006,09/10/2001,751919.37,455.96,53998.08,,01/10/2021
10/2021,170021,9701052425004,09/03/2015,155207.55,55.76,2197.73,,01/10/2021
10/2021,193100,0271000025005,03/03/2015,1076.45,0.17,6.81,,01/10/2021
10/2021,170021,9701040125000,31/03/2020,1152531.19,96.72,928.06,,01/10/2021
10/2021,170062,2507000015008,09/07/2015,1232153.24,420.29,15737.93,,01/10/2021
10/2021,120259,8589000435004,18/07/2019,98295.56,12.01,165.01,,01/10/2021
10/2021,170021,9701030535001,04/08/2017,406988.10,92.94,2345.57,,01/10/2021
10/2021,193004,1719000025004,02/05/2019,631911.68,84.46,1265.21,,01/10/2021
10/2021,193124,8847000025004,10/07/2019,124589.68,15.37,213.17,,01/10/2021
10/2021,255004,0291000035005,18/05/2017,8942.67,2.15,56.86,,01/10/2021
10/2021,170021,9701051575002,27/10/2020,1145276.36,60.30,374.57,,01/10/2021
10/2021,783602,2357000045008,05/11/2020,250000.00,7.14,43.34,,01/10/2021
10/2021,110404,9701049875002,15/03/2019,453495.65,63.86,1005.97,,01/10/2021
10/2021,200119,8815000755004,30/01/2013,235147.04,62.03,3212.98,,01/10/2021
10/2021,170036,1123000025004,02/05/2016,746542.46,221.52,7230.13,,01/10/2021
10/2021,158416,5705001965002,10/12/2018,10360494.24,894.07,15454.79,,01/10/2021
10/2021,373031,0639000505009,09/08/2001,10312.68,11.32,1352.04,,01/10/2021
10/2021,255022,0035000065008,30/11/2015,68885.43,22.02,773.40,,01/10/2021
10/2021,160176,2559000025006,16/04/2013,3115474.33,802.16,40568.41,,01/10/2021
10/2021,170098,5371000085001,05/10/2020,439885.38,24.60,161.53,,01/10/2021
10/2021,762300,5801001145009,31/10/2019,63985.52,6.82,82.13,,01/10/2021
10/2021,110404,9701064595007,28/12/2007,251724.95,188.96,15456.27,,01/10/2021
10/2021,789000,7107002905002,09/02/2021,140000.00,5.18,23.44,,01/10/2021
10/2021,753000,5927000015004,13/04/2021,1948235.32,53.82,189.06,,01/10/2021
10/2021,752000,6001000295001,02/08/2017,1095965.06,250.61,6332.64,,01/10/2021
10/2021,110404,9701063135002,28/12/2007,179519.71,134.75,11022.76,,01/10/2021
10/2021,113801,2401003205007,01/07/2019,195172.42,24.34,341.10,,01/10/2021
10/2021,110404,9701063955000,28/12/2007,77053.25,57.84,4731.18,,01/10/2021
10/2021,154046,4921000165001,17/06/2016,141118.65,22.78,726.67,,01/10/2021
10/2021,255013,2897000015002,08/05/2019,10229.31,0.76,11.26,,01/10/2021
10/2021,193003,1441000675006,30/05/2018,2134646.59,392.45,8011.44,,01/10/2021
10/2021,160488,6861000065000,16/11/2004,1837489.28,941.42,94271.76,,01/10/2021
10/2021,120260,9701076415009,30/03/2016,332980.30,100.44,3331.72,,01/10/2021
10/2021,153052,9373001305003,22/06/2021,27607737.35,264.46,633.77,,01/10/2021
10/2021,080009,5865000435000,23/12/2015,555927.28,175.80,6109.47,,01/10/2021
10/2021,785340,8161000455000,29/11/2015,79873.99,25.54,897.60,,01/10/2021
10/2021,785340,8161000405002,29/11/2015,100203.85,32.05,1126.06,,01/10/2021
10/2021,193114,0505000145001,23/10/2019,75418.13,8.13,98.93,,01/10/2021
10/2021,110120,0255001855000,30/03/2021,836045.79,24.84,92.83,,01/10/2021
10/2021,160219,8267000015005,22/06/2021,7851.80,0.13,0.32,,01/10/2021
10/2021,400081,8105001645006,04/04/2019,2385507.41,328.78,5073.69,,01/10/2021
