REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
11/2021,789000,7107007035006,10/02/2021,7000.00,0.15,0.80,,01/11/2021
11/2021,170188,8801000115005,02/06/2021,600000.00,7.99,26.29,,01/11/2021
11/2021,193113,9873000025009,26/08/2021,70000.00,0.45,0.86,,01/11/2021
11/2021,788310,0269000395005,12/12/2012,40000.00,18.80,1030.50,,01/11/2021
11/2021,183023,2051000575009,19/11/2021,1354303.31,0.39,0.39,,01/11/2021
11/2021,080002,0241000275000,04/09/2020,554305.38,34.91,272.01,,01/11/2021
11/2021,786810,9063000145006,16/09/2020,2036.45,0.07,0.53,,01/11/2021
11/2021,120259,8371000125000,30/08/2018,338050.68,31.83,638.22,,01/11/2021
11/2021,160065,9701028585005,28/12/2000,71393.82,78.47,10014.72,,01/11/2021
11/2021,785810,8849000135000,23/11/2013,436454.10,102.08,5008.78,,01/11/2021
11/2021,255017,2529000025004,03/04/2014,203000.00,45.35,2125.92,,01/11/2021
11/2021,160065,9701006705008,28/12/2000,68100.96,74.86,9552.82,,01/11/2021
11/2021,160392,8841004715006,11/05/2017,4690081.86,495.38,13863.37,,01/11/2021
11/2021,789300,7563007375008,22/11/2013,101627.73,42.70,2095.62,,01/11/2021
11/2021,373048,2531003205005,11/10/2001,117183.53,123.96,15226.36,,01/11/2021
11/2021,160065,9701022855000,28/12/2000,76245.82,83.80,10695.33,,01/11/2021
11/2021,443033,2537000045006,09/10/2001,751919.37,443.09,54441.17,,01/11/2021
11/2021,170021,9701052425004,09/03/2015,155207.55,54.65,2252.38,,01/11/2021
11/2021,193100,0271000025005,03/03/2015,1076.45,0.17,6.98,,01/11/2021
11/2021,170021,9701040125000,31/03/2020,1152531.19,98.66,1026.72,,01/11/2021
11/2021,170062,2507000015008,09/07/2015,1232153.24,412.15,16150.08,,01/11/2021
11/2021,120259,8589000435004,18/07/2019,98295.56,12.06,177.07,,01/11/2021
11/2021,170021,9701030535001,04/08/2017,406988.10,91.74,2437.31,,01/11/2021
11/2021,193004,1719000025004,02/05/2019,631911.68,84.51,1349.72,,01/11/2021
11/2021,193124,8847000025004,11/11/2021,134208.93,0.12,0.12,,01/11/2021
11/2021,255004,0291000035005,18/05/2017,8942.67,2.12,58.98,,01/11/2021
11/2021,170021,9701051575002,27/10/2020,1145276.36,63.38,437.95,,01/11/2021
11/2021,783602,2357000045008,05/11/2020,250000.00,7.53,50.87,,01/11/2021
11/2021,110404,9701049875002,15/03/2019,453495.65,63.79,1069.76,,01/11/2021
11/2021,200119,8815000755004,30/01/2013,235147.04,60.60,3273.58,,01/11/2021
11/2021,170036,1123000025004,02/05/2016,746542.46,217.66,7447.79,,01/11/2021
11/2021,158416,5705001965002,10/12/2018,10360494.24,890.58,16345.37,,01/11/2021
11/2021,373031,0639000505009,09/08/2001,10312.68,11.00,1363.04,,01/11/2021
11/2021,255022,0035000065008,30/11/2015,68885.43,21.61,795.01,,01/11/2021
11/2021,160176,2559000025006,16/04/2013,3115474.33,783.92,41352.33,,01/11/2021
11/2021,170098,5371000085001,05/10/2020,439885.38,25.74,187.27,,01/11/2021
11/2021,762300,5801001145009,31/10/2019,63985.52,6.88,89.01,,01/11/2021
11/2021,110404,9701064595007,28/12/2007,251724.95,183.96,15640.23,,01/11/2021
11/2021,789000,7107002905002,09/02/2021,140000.00,5.63,29.07,,01/11/2021
11/2021,753000,5927000015004,13/04/2021,1948235.32,60.65,249.71,,01/11/2021
11/2021,752000,6001000295001,02/08/2017,1095965.06,247.34,6579.98,,01/11/2021
