REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
06/2024,110404,9701039675000,08/08/2023,408533.11,18.37,104.93,123210101
06/2024,120260,9701085055001,30/03/2016,276481.00,119.50,6032.76,123210101
06/2024,120260,9701077565004,30/03/2016,116971.38,50.55,2552.29,123210101
06/2024,373052,3241000225009,25/10/2023,60115.56,1.13,4.99,123210109
06/2024,120260,9701262535000,30/03/2016,502998.34,217.40,10975.32,123210101
06/2024,154040,9701016935006,28/11/2022,1021598.21,83.19,825.47,123210101
06/2024,373052,3123000145000,23/10/2023,521739.06,9.88,43.97,123210109
06/2024,153045,1389009995001,31/12/2014,471942.40,130.84,7597.18,123210107
06/2024,170083,3727000575006,17/04/2023,190441.81,5.18,39.36,123210104
06/2024,154040,9701022445007,29/11/2022,139979.49,6.33,62.77,123210124
06/2024,154040,9701355705003,21/10/2022,69973.35,6.08,64.19,123210101
06/2024,787000,9701306655006,12/06/2019,54791.28,14.45,447.99,123210101
06/2024,787000,9701317655002,07/05/2019,224676.89,60.42,1909.41,123210101
06/2024,250033,8801000055002,30/03/2019,1771283.00,486.04,15667.59,123210102
06/2024,160488,6645000055000,30/07/2007,4931454.22,2440.15,251945.51,123210105
06/2024,153045,1389013025003,01/10/2016,5212134.90,1177.19,55800.26,123210107
06/2024,170127,6001005745005,16/03/2015,8270.54,4.02,228.83,123210101
06/2024,778000,6001044545003,06/12/2023,2514960.56,38.75,144.15,123210126
06/2024,373055,4553001655005,20/11/2023,250119.38,4.18,16.64,123210109
06/2024,120260,9701256185001,30/03/2016,502735.19,217.29,10969.58,123210101
06/2024,373053,3549000255000,21/11/2023,59966.58,0.99,3.95,123210109
06/2024,160014,0107000165003,03/01/2014,2123669.50,1167.91,74864.42,123210101
06/2024,154359,8713000595004,24/04/2020,242167.62,29.41,756.34,123210107
06/2024,200090,2419000435004,20/02/2006,126322.40,121.79,13640.87,123210102
06/2024,170183,6065000045001,19/03/2019,543222.00,149.92,4860.22,123210102
06/2024,154040,9701061525008,28/11/2022,698548.20,56.88,564.44,123210101
06/2024,170127,6001009205005,28/02/2015,18045.34,8.83,504.01,123210101
06/2024,120260,9701261535007,30/03/2016,395960.63,171.14,8639.78,123210101
06/2024,120260,9701088115005,30/03/2016,115835.03,50.07,2527.50,123210101
06/2024,160014,0283001415005,20/01/2020,82355.00,19.08,521.06,123210101
06/2024,170199,9221002405002,19/06/2024,269327.73,0.08,0.08,123210102
06/2024,120260,9701082555003,30/03/2016,156055.53,67.45,3405.10,123210101
06/2024,373048,2327001135009,24/10/2023,87571.42,1.65,7.32,123210109
06/2024,200366,7563007805002,13/05/2024,15400000.00,40.79,47.46,123210118
06/2024,787000,9701287455000,17/06/2019,70040.31,18.42,569.57,123210101
06/2024,110096,3105000635000,29/04/2022,9658.58,0.60,8.12,123210122
06/2024,393012,8673000235005,10/08/2019,81033.66,11.52,345.77,123210108
06/2024,154040,9701243255006,29/11/2022,2238820.83,181.97,1802.77,123210101
06/2024,170067,2731000045000,13/12/2022,3611495.93,159.42,1542.19,123210107
06/2024,173030,6001017785007,31/12/2000,15000.00,10.31,1477.82,123210122
06/2024,742030,7145005195009,12/12/2011,215087.23,141.63,10855.96,123210101
06/2024,400081,8047000045004,01/04/2014,1326335.36,712.60,44633.12,123210102
06/2024,373047,2123000015004,31/10/2023,4662.48,0.09,0.37,123210109
06/2024,787000,9701306715009,12/06/2019,54791.28,14.45,447.99,123210101
06/2024,170151,7071007805001,30/12/2012,237936.86,143.51,10081.49,123210101
06/2024,090013,4123003725003,09/01/2020,28276540.92,6597.58,181340.40,123210102
06/2024,200116,5879000095004,18/06/2018,1360852.99,239.09,8842.78,123210118
06/2024,080026,9063000845008,20/11/2023,1169549.66,35.06,139.70,123210102
06/2024,170067,2785005455000,08/09/2020,66235.61,7.32,171.44,123210124
06/2024,787000,9701314655001,04/04/2019,973953.58,266.55,8570.11,123210101
06/2024,120265,1153000845003,26/09/2018,52562.57,8.81,311.26,123210112
06/2024,785810,8873000055000,23/11/2013,386618.46,119.68,7753.68,123210112
06/2024,255018,2283000015004,20/07/2016,40775.64,9.45,459.36,123210116
06/2024,170173,8177000065003,07/07/2017,382927.19,77.91,3330.82,123210109
06/2024,153045,1389011185003,31/12/2014,5424305.05,1503.75,87318.73,123210107
06/2024,787000,9701286975000,14/06/2019,70040.31,18.45,571.43,123210101
06/2024,193121,0007000105004,10/09/2020,79951.82,15.83,370.51,123210101
06/2024,373046,1713000225004,26/10/2023,512365.50,9.58,42.15,123210109
06/2024,170156,7535002015008,19/09/2023,2890823.06,112.49,564.00,123210102
06/2024,158458,8291000925004,28/04/2023,472000.33,15.68,116.20,123210107
06/2024,160065,9701268915000,28/12/2000,150000.00,185.27,26554.38,123210101
06/2024,158461,8083000475005,06/09/2023,19724.17,0.44,2.34,123210107
06/2024,170173,8161000155006,31/08/2015,7420735.14,1912.47,103307.13,123210119
06/2024,160047,1455000085004,07/12/2018,2670665.46,432.34,14751.00,123210105
06/2024,110404,9701063885001,28/12/2007,75957.82,65.84,6631.74,123210101
06/2024,160065,9701273405006,28/12/2000,167485.51,206.86,29649.82,123210101
06/2024,113801,2621000175007,03/03/2023,1806141.11,122.34,1020.47,123210101
06/2024,373053,3371000025008,24/11/2023,99289.44,1.63,6.37,123210109
06/2024,160219,7565000125002,06/06/2022,228515.73,24.37,312.88,123210101
06/2024,170083,3879000205003,17/05/2016,170361.67,72.45,3599.80,123210101
06/2024,154040,9701017815004,28/11/2022,1292707.31,105.26,1044.53,123210101
06/2024,154040,9701060625009,29/11/2022,911115.00,74.06,733.66,123210101
06/2024,160065,9701301785009,28/12/2000,214811.71,265.31,38027.94,123210101
06/2024,373052,3209000065008,24/10/2023,98548.12,1.86,8.24,123210109
06/2024,160163,0605000325006,25/04/2016,2476785.88,1061.19,53114.59,123210101
06/2024,787000,9701308445009,28/02/2019,640268.03,178.46,5841.84,123210101
06/2024,255004,0241000195006,17/06/2017,80017.96,29.47,1269.46,123210101
06/2024,791540,5851001435003,12/02/2019,453885.03,127.56,4209.55,123210101
06/2024,762300,5801001185000,17/01/2023,63985.52,4.75,43.17,123210101
06/2024,170021,9701349675009,20/06/2022,189248.32,19.80,249.59,123210101
06/2024,158466,2327001255004,22/12/2022,126574.58,9.87,93.99,123210101
06/2024,194035,9701007525003,21/08/2019,2755000.00,389.17,11611.09,123210126
06/2024,120260,9701084285003,30/03/2016,276481.00,119.50,6032.76,123210101
06/2024,787000,9701320765000,17/05/2019,249990.06,66.87,2102.01,123210101
06/2024,170098,4267000615000,26/08/2022,3090.89,0.29,3.37,123210101
06/2024,782802,3713000055002,27/03/2024,9402.63,0.06,0.11,123210112
06/2024,152254,8047000595004,27/04/2021,1913039.85,175.81,3443.46,123210107
06/2024,153031,7107002525005,20/09/2022,140869.90,12.87,142.52,123210101
06/2024,170021,9701349875008,21/06/2022,189248.32,19.77,248.92,123210101
06/2024,373048,0548000105003,26/10/2023,185105.25,3.46,15.23,123210109
06/2024,160065,9701279475006,28/12/2000,161530.46,199.50,28595.60,123210101
06/2024,120260,9701076025006,30/03/2016,216984.75,93.78,4734.56,123210101
06/2024,193124,8713000745006,27/11/2020,49265.15,4.09,90.39,123210104
