REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
03/2021,183023,8841003085009,19/03/2021,207383.43,0.07,0.07,,01/03/2021
03/2021,183023,8801005445003,24/03/2021,104442.78,0.01,0.01,,01/03/2021
03/2021,080002,0241000275000,04/09/2020,554305.38,15.89,57.60,,01/03/2021
03/2021,786810,9063000145006,16/09/2020,2036.45,0.03,0.10,,01/03/2021
03/2021,120259,8371000125000,30/08/2018,338050.68,26.03,402.98,,01/03/2021
03/2021,160065,9701028585005,28/12/2000,71393.82,78.49,9385.42,,01/03/2021
03/2021,785810,8849000135000,23/11/2013,436454.10,96.63,4209.03,,01/03/2021
03/2021,255017,2529000025004,03/04/2014,203000.00,42.74,1771.30,,01/03/2021
03/2021,160065,9701006705008,28/12/2000,68100.96,74.87,8952.54,,01/03/2021
03/2021,160392,8841004715006,11/05/2017,4690081.86,436.00,10095.76,,01/03/2021
03/2021,789300,7563007375008,22/11/2013,101627.73,40.42,1761.12,,01/03/2021
03/2021,373048,2531003205005,11/10/2001,117183.53,123.83,14232.86,,01/03/2021
03/2021,160065,9701022855000,28/12/2000,76245.82,83.83,10023.26,,01/03/2021
03/2021,443033,2537000045006,09/10/2001,751919.37,442.61,50889.89,,01/03/2021
03/2021,170021,9701052425004,09/03/2015,155207.55,50.81,1827.39,,01/03/2021
03/2021,193100,0271000025005,03/03/2015,1076.45,0.15,5.66,,01/03/2021
03/2021,170021,9701040125000,31/03/2020,1152531.19,59.99,368.81,,01/03/2021
03/2021,170062,2507000015008,09/07/2015,1232153.24,381.02,12952.46,,01/03/2021
03/2021,120259,8589000435004,18/07/2019,98295.56,8.87,91.34,,01/03/2021
03/2021,170021,9701030535001,04/08/2017,406988.10,79.97,1742.24,,01/03/2021
03/2021,193004,1719000025004,02/05/2019,631911.68,64.32,741.61,,01/03/2021
03/2021,193124,8847000025004,10/07/2019,124589.68,11.41,118.78,,01/03/2021
03/2021,255004,0291000035005,18/05/2017,8942.67,1.87,42.89,,01/03/2021
