REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
08/2024,120260,9701267755009,30/03/2016,548341.38,249.91,12462.00,123210101
08/2024,110404,9701063245002,15/05/2024,541523.80,7.46,15.17,123210101
08/2024,030001,3849008515000,18/12/2023,438760.49,8.79,38.77,123210124
08/2024,120260,9701087835004,30/03/2016,118151.24,53.85,2685.19,123210101
08/2024,070004,0543000085001,13/12/2021,183460.22,26.68,433.64,123210102
08/2024,193028,0255009065008,29/01/2019,79921.12,24.11,799.67,123210101
08/2024,120260,9701088705007,30/03/2016,223490.29,101.86,5079.20,123210101
08/2024,120260,9701084855004,30/03/2016,276481.00,126.01,6283.51,123210101
08/2024,170199,9221000015002,07/11/2022,154891.38,8.32,91.08,123210116
08/2024,110404,9701061995004,15/05/2024,1474274.29,20.30,41.30,123210101
08/2024,373052,3133000125007,23/10/2023,3108321.64,76.69,407.35,123210109
08/2024,742030,7145004555001,05/03/2010,169971.28,133.59,11437.83,123210101
08/2024,170127,6001007465000,18/03/2015,9373.27,4.80,268.60,123210101
08/2024,120259,8589001365000,09/05/2022,407386.59,50.32,698.69,123210101
08/2024,784320,0921002715007,19/05/2005,35000.00,36.64,4171.30,123210101
08/2024,170193,9047000585004,18/10/2018,14532.81,2.56,89.36,123210116
08/2024,158279,2225007755006,24/07/2024,14180570.17,27.39,27.39,123210107
08/2024,742000,7107015275002,10/12/2013,516725.22,300.23,19042.81,123210101
08/2024,170127,6001029375003,23/02/2015,49005.11,25.26,1423.03,123210101
08/2024,120260,9701087955000,30/03/2016,115835.03,52.79,2632.55,123210101
08/2024,373085,9733004455002,23/11/2023,10057.16,0.22,1.07,123210109
08/2024,154040,9701018055003,28/11/2022,1286227.47,120.00,1273.36,123210101
08/2024,160065,9701005955000,28/12/2000,697934.59,897.14,125345.83,123210101
08/2024,154040,9701235045006,29/11/2022,248274.19,23.13,245.03,123210101
08/2024,170098,4877000335003,27/02/2024,1513657.39,55.90,55.90,123210104
08/2024,373048,2377000035007,24/10/2023,136118.75,3.34,17.72,123210109
08/2024,112408,9701002565007,19/12/2017,304996.49,110.44,4386.59,123210101
08/2024,373025,0255005155002,20/04/2022,2467684.60,173.66,2464.18,123210126
08/2024,158740,2551000705001,06/10/2017,13290529.74,2761.72,112990.67,123210107
08/2024,154359,8507000525009,07/05/2024,5363079.47,44.71,96.54,123210107
08/2024,160014,0283001095000,20/01/2020,82355.00,20.47,561.63,123210101
08/2024,070023,9571000245003,11/04/2023,1713401.73,125.66,1062.06,123210102
08/2024,787000,9701321905000,22/05/2019,251415.06,71.61,2244.76,123210101
08/2024,170021,9701346305006,07/04/2020,114917.63,27.23,712.82,123210101
08/2024,120260,9701080175009,30/03/2016,149432.72,68.11,3396.12,123210101
08/2024,170053,2095000165007,03/03/2023,260257.72,11.47,104.17,123210126
08/2024,160014,0283001135002,20/01/2020,82355.00,20.47,561.63,123210101
08/2024,160065,9701287135006,28/12/2000,94891.06,121.98,17042.00,123210101
08/2024,170098,4123003425000,14/01/2021,945126.11,102.65,2219.61,123210107
08/2024,160065,9701284085008,28/12/2000,78656.59,101.11,14126.36,123210101
08/2024,154045,9151000315001,30/11/2022,64653317.44,3348.67,35424.65,123210107
08/2024,158719,1447000455005,26/05/2022,2418466.49,162.97,2217.97,123210107
