REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
10/2023,201035,0157000325007,16/10/2023,122370.00,0.07,0.07,,01/10/2023
10/2023,373073,0127000125006,23/10/2023,889802.10,0.08,0.08,,01/10/2023
10/2023,170112,9107000785000,17/08/2023,530000.00,7.16,7.16,,01/10/2023
10/2023,373073,9189000045001,27/10/2023,598712.74,0.01,0.01,,01/10/2023
10/2023,373073,0131000085002,26/10/2023,746571.28,0.02,0.02,,01/10/2023
10/2023,373073,9883000165002,26/10/2023,683181.57,0.02,0.02,,01/10/2023
10/2023,373073,9047002565000,25/10/2023,117925.36,0.01,0.01,,01/10/2023
10/2023,373073,9083000105009,27/10/2023,452441.67,0.01,0.01,,01/10/2023
10/2023,373052,3141000545007,23/10/2023,619958.43,0.05,0.05,,01/10/2023
10/2023,373052,3247000155000,25/10/2023,773470.00,0.04,0.04,,01/10/2023
10/2023,373066,6457000075002,24/10/2023,228687.28,0.01,0.01,,01/10/2023
10/2023,373051,2707000225005,26/10/2023,272343.74,0.01,0.01,,01/10/2023
10/2023,373048,2329000065003,24/10/2023,130487.19,0.01,0.01,,01/10/2023
10/2023,373048,2327001235003,24/10/2023,1926711.47,0.13,0.13,,01/10/2023
10/2023,373048,2337000125007,24/10/2023,218396.56,0.01,0.01,,01/10/2023
10/2023,373048,2443000145009,25/10/2023,851622.06,0.04,0.04,,01/10/2023
10/2023,373073,1036000025000,27/10/2023,8149411.27,0.17,0.17,,01/10/2023
10/2023,080002,0241000275000,04/09/2020,554305.38,93.82,1766.93,,01/10/2023
10/2023,786810,9063000145006,16/09/2020,2036.45,0.19,3.54,,01/10/2023
10/2023,120259,8371000125000,09/05/2022,2151932.07,93.61,839.40,,01/10/2023
10/2023,160065,9701028585005,28/12/2000,71393.82,88.53,11933.43,,01/10/2023
10/2023,785810,8849000135000,23/11/2013,436454.10,130.80,7688.95,,01/10/2023
10/2023,255017,2529000025004,27/05/2022,316870.44,13.31,115.50,,01/10/2023
10/2023,160065,9701006705008,28/12/2000,68100.96,84.44,11383.03,,01/10/2023
10/2023,160392,8841004715006,11/05/2017,4690081.86,729.02,27980.60,,01/10/2023
10/2023,789300,7563007375008,22/11/2013,101627.73,54.71,3216.55,,01/10/2023
10/2023,373048,2531003205005,11/10/2001,117183.53,140.30,18262.57,,01/10/2023
10/2023,160065,9701022855000,28/12/2000,76245.82,94.55,12744.44,,01/10/2023
10/2023,443033,2537000045006,09/10/2001,751919.37,501.48,65293.91,,01/10/2023
10/2023,170021,9701052425004,09/03/2015,155207.55,72.63,3717.93,,01/10/2023
10/2023,193100,0271000025005,03/03/2015,1076.45,0.22,11.50,,01/10/2023
10/2023,170021,9701040125000,31/03/2020,1152531.19,222.01,4743.47,,01/10/2023
10/2023,170062,2507000015008,09/07/2015,1232153.24,554.24,27279.25,,01/10/2023
10/2023,120259,8589000435004,09/05/2022,431607.43,33.71,302.30,,01/10/2023
10/2023,170021,9701030535001,04/08/2017,406988.10,137.19,5077.32,,01/10/2023
10/2023,193004,1719000025004,03/03/2023,1812848.87,61.15,255.01,,01/10/2023
10/2023,255004,0291000035005,18/05/2017,8942.67,3.12,119.33,,01/10/2023
10/2023,170021,9701051575002,27/10/2020,1145276.36,184.80,3322.54,,01/10/2023
10/2023,783602,2357000045008,05/11/2020,250000.00,22.28,397.33,,01/10/2023
10/2023,110404,9701049875002,08/08/2023,453495.65,4.63,7.69,,01/10/2023
10/2023,200119,8815000755004,30/01/2013,235147.04,76.26,4848.36,,01/10/2023
10/2023,170036,1123000025004,02/05/2016,746542.46,302.67,13442.67,,01/10/2023
10/2023,158416,5705001965002,29/11/2022,10218964.94,271.63,1543.26,,01/10/2023
10/2023,373031,0639000505009,09/08/2001,10312.68,12.45,1632.43,,01/10/2023
10/2023,255022,0035000065008,30/11/2015,68885.43,29.51,1383.85,,01/10/2023
10/2023,160176,2559000025006,16/04/2013,3115474.33,990.77,61773.22,,01/10/2023
10/2023,170098,5371000085001,05/10/2020,439885.38,72.42,1327.75,,01/10/2023
10/2023,762300,5801001145009,17/01/2023,63985.52,2.59,12.66,,01/10/2023
10/2023,110404,9701064595007,28/12/2007,251724.95,216.32,20241.72,,01/10/2023
10/2023,789000,7107002905002,09/02/2021,140000.00,20.40,332.25,,01/10/2023
10/2023,753000,5927000015004,13/04/2021,1948235.32,265.62,4056.07,,01/10/2023
10/2023,752000,6001000295001,02/08/2017,1095965.06,369.75,13696.56,,01/10/2023
10/2023,110404,9701063135002,28/12/2007,179519.71,154.27,14435.55,,01/10/2023
10/2023,113801,2401003205007,03/03/2023,527214.41,17.78,74.16,,01/10/2023
10/2023,110404,9701063955000,28/12/2007,77053.25,66.22,6196.01,,01/10/2023
10/2023,154046,4921000165001,28/11/2022,192842.34,5.15,29.30,,01/10/2023
10/2023,255013,2897000015002,08/05/2019,10229.31,1.38,36.67,,01/10/2023
10/2023,170199,9221000145003,03/10/2022,1352950.15,42.36,279.53,,01/10/2023
10/2023,193003,1441000675006,03/03/2023,10377736.99,350.05,1459.82,,01/10/2023
10/2023,160488,6861000065000,16/11/2004,1837489.28,1052.66,117806.19,,01/10/2023
10/2023,120260,9701076415009,30/03/2016,332980.30,136.64,6141.24,,01/10/2023
10/2023,153052,9373001305003,22/06/2021,27607737.35,1935.92,27377.37,,01/10/2023
10/2023,080009,5865000435000,27/05/2023,2796000.00,58.92,165.54,,01/10/2023
10/2023,785344,8161000455000,29/11/2015,79873.99,34.23,1605.71,,01/10/2023
10/2023,785344,8161000405002,29/11/2015,100203.85,42.94,2014.40,,01/10/2023
10/2023,193114,0505000145001,23/10/2019,75418.13,16.33,390.92,,01/10/2023
10/2023,170211,0255001855000,04/07/2023,367902.93,5.67,12.51,,01/10/2023
10/2023,160219,8267000015005,08/06/2022,7851.80,0.58,4.91,,01/10/2023
10/2023,400081,8105001645006,04/04/2019,2385507.41,588.12,15999.19,,01/10/2023
10/2023,170053,2211000015007,05/09/2012,52650.00,31.81,2097.93,,01/10/2023
10/2023,170199,9249000045009,27/12/2012,144424.25,84.84,5439.95,,01/10/2023
10/2023,200356,6001016235003,30/06/2023,12000.00,0.10,0.24,,01/10/2023
10/2023,443033,1559000085003,20/08/2001,146879.02,98.57,12913.23,,01/10/2023
10/2023,170164,7731000035001,05/12/2022,14900000.00,310.16,1732.19,,01/10/2023
10/2023,060001,9701049335008,04/12/2014,388376.05,187.25,9871.54,,01/10/2023
10/2023,160065,9701048085008,01/12/2014,337105.08,162.68,8584.17,,01/10/2023
10/2023,170021,9701041605006,23/10/2020,1247307.57,202.01,3644.93,,01/10/2023
10/2023,170021,9701042105007,01/12/2014,280440.04,135.33,7141.23,,01/10/2023
10/2023,170021,9701037275005,25/05/2020,1183130.20,218.22,4468.81,,01/10/2023
10/2023,110404,9701036765009,09/08/2023,685372.45,6.89,11.34,,01/10/2023
10/2023,110001,9701031875000,02/10/2019,408405.57,89.68,2177.85,,01/10/2023
10/2023,170193,9047001995001,04/05/2015,245803.98,62.92,3163.93,,01/10/2023
