REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
02/2020,080002,0241000275000,25/10/2017,459524.59,53.93,810.65,,01/02/2020
02/2020,786810,9063000145006,11/12/2019,2036.45,0.01,0.02,,01/02/2020
02/2020,120259,8371000125000,13/10/2014,338050.68,51.16,1746.07,,01/02/2020
02/2020,160065,9701028585005,28/12/2000,71393.82,69.49,8407.54,,01/02/2020
02/2020,785810,8849000135000,23/11/2013,436454.10,77.02,3059.04,,01/02/2020
02/2020,255017,2529000025004,03/04/2014,203000.00,33.76,1264.60,,01/02/2020
02/2020,160065,9701006705008,28/12/2000,68100.96,66.30,8019.77,,01/02/2020
02/2020,160392,8841004715006,11/05/2017,4690081.86,293.15,5250.03,,01/02/2020
02/2020,200366,7571000155003,22/02/2019,1266992.99,35.14,234.54,,01/02/2020
02/2020,789300,7563007375008,22/11/2013,101627.73,32.22,1280.11,,01/02/2020
02/2020,373048,2531003205005,11/10/2001,117183.53,109.39,12691.79,,01/02/2020
02/2020,160065,9701022855000,28/12/2000,76245.82,74.22,8978.93,,01/02/2020
02/2020,443033,2537000045006,09/10/2001,751919.37,391.01,45381.27,,01/02/2020
02/2020,170021,9701052425004,09/03/2015,155207.55,38.99,1232.15,,01/02/2020
02/2020,193100,0271000025005,03/03/2015,1076.45,0.12,3.82,,01/02/2020
02/2020,170021,9701040125000,01/12/2014,470549.40,124.65,4149.16,,01/02/2020
02/2020,170062,2507000015008,09/07/2015,1232153.24,288.64,8512.96,,01/02/2020
02/2020,120259,8589000435004,18/07/2019,98295.56,2.90,12.06,,01/02/2020
02/2020,170021,9701030535001,04/08/2017,406988.10,52.42,861.94,,01/02/2020
02/2020,193004,1719000025004,02/05/2019,631911.68,25.40,139.35,,01/02/2020
02/2020,193124,8847000025004,10/07/2019,124589.68,3.81,16.39,,01/02/2020
02/2020,255004,0291000035005,18/05/2017,8942.67,1.25,22.22,,01/02/2020
02/2020,170021,9701051575002,03/02/2015,331990.81,84.98,2735.09,,01/02/2020
02/2020,783602,2357000045008,30/10/2018,25537.52,0.93,8.10,,01/02/2020
02/2020,110404,9701049875002,15/03/2019,453495.65,21.26,134.20,,01/02/2020
02/2020,200119,8815000755004,30/01/2013,235147.04,46.91,2103.54,,01/02/2020
02/2020,170036,1123000025004,02/05/2016,746542.46,143.89,3504.56,,01/02/2020
02/2020,158416,5705001965002,10/12/2018,10360494.24,346.85,2756.80,,01/02/2020
02/2020,373031,0639000505009,09/08/2001,10312.68,9.72,1137.99,,01/02/2020
02/2020,255022,0035000065008,30/11/2015,68885.43,14.75,398.54,,01/02/2020
02/2020,160176,2559000025006,16/04/2013,3115474.33,603.20,26255.86,,01/02/2020
02/2020,170098,5371000085001,02/08/2018,439885.38,34.41,350.55,,01/02/2020
02/2020,762300,5801001145009,31/10/2019,63985.52,0.95,2.25,,01/02/2020
02/2020,110404,9701064595007,28/12/2007,251724.95,155.40,11951.69,,01/02/2020
02/2020,789000,7107002905002,11/07/2005,140000.00,103.98,9610.59,,01/02/2020
02/2020,753000,5927000015004,06/08/2018,1778356.04,138.12,1397.57,,01/02/2020
02/2020,752000,6001000295001,02/08/2017,1095965.06,141.46,2330.99,,01/02/2020
02/2020,110404,9701063135002,28/12/2007,179519.71,110.83,8523.45,,01/02/2020
02/2020,113801,2401003205007,01/07/2019,195172.42,6.21,27.68,,01/02/2020
02/2020,110404,9701063955000,28/12/2007,77053.25,47.57,3658.42,,01/02/2020
02/2020,154046,4921000165001,17/06/2016,141118.65,14.65,345.06,,01/02/2020
02/2020,255013,2897000015002,08/05/2019,10229.31,0.23,1.21,,01/02/2020
02/2020,193003,1441000675006,30/05/2018,2134646.59,186.01,2100.15,,01/02/2020
02/2020,160488,6861000065000,16/11/2004,1837489.28,793.87,76615.16,,01/02/2020
02/2020,120260,9701076415009,30/03/2016,332980.30,65.70,1637.80,,01/02/2020
02/2020,153052,9373001305003,31/10/2018,9588744.00,350.78,3029.63,,01/02/2020
02/2020,153052,9373007035008,30/10/2018,12055500.00,441.95,3824.71,,01/02/2020
02/2020,153052,9373007025002,30/10/2018,2434168.00,89.24,772.26,,01/02/2020
02/2020,153052,9373007015007,31/10/2018,1921744.00,70.30,607.19,,01/02/2020
02/2020,080009,5865000435000,23/12/2015,555927.28,117.29,3121.74,,01/02/2020
02/2020,785340,8161000455000,29/11/2015,79873.99,17.12,462.71,,01/02/2020
02/2020,785340,8161000405002,29/11/2015,100203.85,21.48,580.49,,01/02/2020
02/2020,193114,0505000145001,07/07/2017,75418.13,10.01,169.39,,01/02/2020
02/2020,110120,0255001855000,08/04/2019,765249.08,33.32,196.55,,01/02/2020
02/2020,160219,8267000015005,25/06/2019,7214.07,0.23,1.07,,01/02/2020
02/2020,400081,8105001645006,04/04/2019,2385507.41,105.18,627.77,,01/02/2020
02/2020,170053,2211000015007,05/09/2012,52650.00,19.94,944.59,,01/02/2020
