REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
07/2023,373040,0895000085003,04/05/2023,8313.47,0.05,0.09,,01/07/2023
07/2023,200374,9047001945004,26/06/2023,5750000.00,9.30,9.42,,01/07/2023
07/2023,200350,4123007355006,29/12/2022,4253.69,0.13,0.47,,01/07/2023
07/2023,193103,3597000225003,07/08/2014,1000.00,0.27,14.39,,01/07/2023
07/2023,080002,0241000275000,04/09/2020,554305.38,86.22,1495.98,,01/07/2023
07/2023,786810,9063000145006,16/09/2020,2036.45,0.17,2.99,,01/07/2023
07/2023,120259,8371000125000,09/05/2022,2151932.07,77.19,577.75,,01/07/2023
07/2023,160065,9701028585005,28/12/2000,71393.82,87.55,11671.66,,01/07/2023
07/2023,785810,8849000135000,23/11/2013,436454.10,127.47,7304.04,,01/07/2023
07/2023,255017,2529000025004,27/05/2022,316870.44,10.89,78.37,,01/07/2023
07/2023,160065,9701006705008,28/12/2000,68100.96,83.51,11133.34,,01/07/2023
07/2023,160392,8841004715006,11/05/2017,4690081.86,700.47,25845.14,,01/07/2023
07/2023,789300,7563007375008,22/11/2013,101627.73,53.31,3055.57,,01/07/2023
07/2023,373048,2531003205005,11/10/2001,117183.53,138.69,17847.78,,01/07/2023
07/2023,160065,9701022855000,28/12/2000,76245.82,93.50,12464.88,,01/07/2023
07/2023,443033,2537000045006,09/10/2001,751919.37,495.75,63811.29,,01/07/2023
07/2023,170021,9701052425004,09/03/2015,155207.55,70.51,3504.46,,01/07/2023
07/2023,193100,0271000025005,03/03/2015,1076.45,0.21,10.84,,01/07/2023
07/2023,170021,9701040125000,31/03/2020,1152531.19,206.23,4100.14,,01/07/2023
07/2023,170062,2507000015008,09/07/2015,1232153.24,537.35,25651.01,,01/07/2023
07/2023,120259,8589000435004,09/05/2022,431607.43,27.80,208.07,,01/07/2023
07/2023,170021,9701030535001,04/08/2017,406988.10,131.62,4675.67,,01/07/2023
07/2023,193004,1719000025004,03/03/2023,1812848.87,36.31,97.97,,01/07/2023
07/2023,255004,0291000035005,18/05/2017,8942.67,3.00,110.20,,01/07/2023
07/2023,170021,9701051575002,27/10/2020,1145276.36,169.11,2789.55,,01/07/2023
07/2023,783602,2357000045008,05/11/2020,250000.00,20.38,333.09,,01/07/2023
07/2023,110404,9701049875002,15/03/2019,453495.65,106.94,2785.06,,01/07/2023
07/2023,200119,8815000755004,30/01/2013,235147.04,74.47,4623.79,,01/07/2023
