REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
05/2024,789000,7107001725000,10/02/2021,111257.42,19.73,388.68,123210101
05/2024,255013,4123006945004,07/05/2019,120991.86,33.07,995.71,123210102
05/2024,170127,6001007815000,28/02/2015,11301.60,5.67,310.13,123210101
05/2024,160014,0301000125005,16/05/2011,16916.99,11.96,922.21,123210101
05/2024,200203,3105000645005,06/09/2004,1048800.00,1123.22,130847.66,123210102
05/2024,090003,0427003745004,07/02/2019,395531.03,113.35,3575.59,123210101
05/2024,170188,8749000065006,14/08/2015,130000.00,34.48,1795.23,123210106
05/2024,120265,3849002315009,27/03/2017,356909.42,138.54,5893.70,123210101
05/2024,090029,7107010995007,09/11/2022,31303.39,1.44,13.56,123210122
05/2024,158267,8507001785004,29/11/2022,6454482.16,285.59,2602.32,123210126
05/2024,120260,9701255565005,30/03/2016,482989.21,213.51,10329.97,123210101
05/2024,160065,9701283445000,28/12/2000,78656.59,100.02,13827.36,123210101
05/2024,400063,3363000395009,09/07/2019,484389.75,127.86,3719.58,123210101
05/2024,080025,9047001775001,13/12/2022,2520928.11,195.03,1733.13,123210102
05/2024,170219,0501000065005,21/09/2017,75830.63,27.43,1087.96,123210102
05/2024,170067,2785006915005,05/02/2024,1791079.35,26.81,57.89,123210102
05/2024,158516,8175000175007,06/01/2017,10532699.12,2346.80,102864.39,123210107
05/2024,160065,9701028945001,28/12/2000,71393.82,90.79,12550.61,123210101
05/2024,742030,7145000715004,06/09/2005,174586.89,177.49,19630.98,123210101
05/2024,160065,9701301605000,28/12/2000,214811.71,273.18,37762.63,123210101
05/2024,373040,0923000105003,05/05/2023,1132919.58,35.38,232.88,123210109
05/2024,110404,9701032615002,09/08/2023,812609.30,33.94,171.01,123210101
05/2024,158268,8675000995006,29/11/2022,113451.84,5.02,45.74,123210107
05/2024,160065,9701023435005,28/12/2000,58784.85,74.76,10334.03,123210101
05/2024,170127,5911000065005,21/01/2020,22298.86,2.92,75.60,123210106
05/2024,154680,3195000145008,15/12/2021,4870000.00,356.45,5253.35,123210107
05/2024,170083,3873000075003,16/12/2010,2858377.21,1161.49,92367.93,123210120
05/2024,787000,9701287055002,14/06/2019,70040.31,18.75,552.98,123210101
05/2024,373053,3647000095002,23/11/2023,509842.68,7.38,24.62,123210109
05/2024,170211,0255008605009,07/05/2024,875000.00,1.21,1.21,123210102
05/2024,742030,7243000185005,24/10/2013,227231.11,130.50,8182.81,123210101
05/2024,373072,0992000025002,01/11/2023,35369.82,0.58,2.13,123210109
05/2024,160065,9701279955008,28/12/2000,235667.21,299.70,41428.90,123210101
05/2024,010001,9701154505007,21/10/2019,1040020.38,258.42,7084.19,123210101
05/2024,373053,3971000195009,23/11/2023,31289.30,0.45,1.51,123210109
05/2024,020001,9701326075005,30/12/2021,5072161.82,291.23,4221.79,123210104
05/2024,742030,7145002775004,12/12/2011,319848.60,216.18,15932.90,123210101
