REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
03/2022,201032,0601000135000,21/03/2022,122062.13,0.02,0.02,,01/03/2022
03/2022,423034,5133000045004,30/12/2013,1000.00,0.45,21.81,,01/03/2022
03/2022,373044,1109000155000,09/08/2021,24573.00,0.45,1.80,,01/03/2022
03/2022,080002,0241000275000,04/09/2020,554305.38,46.02,437.14,,01/03/2022
03/2022,786810,9063000145006,16/09/2020,2036.45,0.09,0.86,,01/03/2022
03/2022,120259,8371000125000,30/08/2018,338050.68,36.27,774.85,,01/03/2022
03/2022,160065,9701028585005,28/12/2000,71393.82,82.37,10334.37,,01/03/2022
03/2022,785810,8849000135000,23/11/2013,436454.10,109.84,5431.16,,01/03/2022
03/2022,255017,2529000025004,03/04/2014,203000.00,48.88,2313.76,,01/03/2022
03/2022,160065,9701006705008,28/12/2000,68100.96,78.57,9857.72,,01/03/2022
03/2022,160392,8841004715006,11/05/2017,4690081.86,549.29,15952.86,,01/03/2022
03/2022,789300,7563007375008,22/11/2013,101627.73,45.94,2272.27,,01/03/2022
03/2022,373048,2531003205005,11/10/2001,117183.53,130.19,15731.47,,01/03/2022
03/2022,160065,9701022855000,28/12/2000,76245.82,87.97,11036.71,,01/03/2022
03/2022,443033,2537000045006,09/10/2001,751919.37,465.37,56246.67,,01/03/2022
03/2022,170021,9701052425004,09/03/2015,155207.55,59.25,2479.59,,01/03/2022
03/2022,193100,0271000025005,03/03/2015,1076.45,0.18,7.68,,01/03/2022
03/2022,170021,9701040125000,31/03/2020,1152531.19,122.63,1475.24,,01/03/2022
03/2022,170062,2507000015008,09/07/2015,1232153.24,448.00,17866.49,,01/03/2022
03/2022,120259,8589000435004,18/07/2019,98295.56,14.22,230.00,,01/03/2022
03/2022,170021,9701030535001,04/08/2017,406988.10,102.09,2825.16,,01/03/2022
03/2022,193004,1719000025004,02/05/2019,631911.68,98.67,1718.32,,01/03/2022
03/2022,193124,8847000025004,11/11/2021,134208.93,2.49,6.32,,01/03/2022
03/2022,255004,0291000035005,18/05/2017,8942.67,2.34,67.90,,01/03/2022
03/2022,170021,9701051575002,27/10/2020,1145276.36,86.04,743.84,,01/03/2022
03/2022,783602,2357000045008,05/11/2020,250000.00,10.27,87.32,,01/03/2022
03/2022,110404,9701049875002,15/03/2019,453495.65,74.06,1346.94,,01/03/2022
03/2022,200119,8815000755004,30/01/2013,235147.04,64.97,3523.75,,01/03/2022
03/2022,170036,1123000025004,02/05/2016,746542.46,238.31,8358.42,,01/03/2022
03/2022,158416,5705001965002,10/12/2018,10360494.24,1023.81,20190.62,,01/03/2022
03/2022,373031,0639000505009,09/08/2001,10312.68,11.55,1407.87,,01/03/2022
03/2022,255022,0035000065008,30/11/2015,68885.43,23.57,885.20,,01/03/2022
03/2022,160176,2559000025006,16/04/2013,3115474.33,841.18,44590.25,,01/03/2022
03/2022,170098,5371000085001,05/10/2020,439885.38,34.49,310.39,,01/03/2022
03/2022,762300,5801001145009,31/10/2019,63985.52,8.26,119.56,,01/03/2022
03/2022,110404,9701064595007,28/12/2007,251724.95,194.61,16393.27,,01/03/2022
03/2022,789000,7107002905002,09/02/2021,140000.00,8.32,57.91,,01/03/2022
03/2022,753000,5927000015004,13/04/2021,1948235.32,97.63,579.82,,01/03/2022
03/2022,752000,6001000295001,02/08/2017,1095965.06,275.26,7625.71,,01/03/2022
03/2022,110404,9701063135002,28/12/2007,179519.71,138.79,11691.00,,01/03/2022
03/2022,113801,2401003205007,01/07/2019,195172.42,28.73,472.55,,01/03/2022
03/2022,110404,9701063955000,28/12/2007,77053.25,59.57,5018.00,,01/03/2022
03/2022,154046,4921000165001,17/06/2016,141118.65,24.55,842.83,,01/03/2022
03/2022,255013,2897000015002,08/05/2019,10229.31,0.89,15.32,,01/03/2022
03/2022,193003,1441000675006,30/05/2018,2134646.59,440.44,10063.90,,01/03/2022
03/2022,160488,6861000065000,16/11/2004,1837489.28,964.44,98924.95,,01/03/2022
03/2022,120260,9701076415009,30/03/2016,332980.30,107.93,3842.94,,01/03/2022
03/2022,153052,9373001305003,22/06/2021,27607737.35,610.20,2936.86,,01/03/2022
03/2022,080009,5865000435000,23/12/2015,555927.28,188.30,7002.50,,01/03/2022
03/2022,785340,8161000455000,29/11/2015,79873.99,27.34,1027.30,,01/03/2022
03/2022,785340,8161000405002,29/11/2015,100203.85,34.30,1288.77,,01/03/2022
03/2022,193114,0505000145001,23/10/2019,75418.13,9.82,143.49,,01/03/2022
03/2022,110120,0255001855000,30/03/2021,836045.79,43.64,269.00,,01/03/2022
03/2022,160219,8267000015005,22/06/2021,7851.80,0.31,1.50,,01/03/2022
03/2022,400081,8105001645006,04/04/2019,2385507.41,382.43,6832.67,,01/03/2022
03/2022,170053,2211000015007,05/09/2012,52650.00,27.27,1543.86,,01/03/2022
03/2022,170199,9249000045009,27/12/2012,144424.25,72.38,3965.47,,01/03/2022
03/2022,200356,6001016235003,01/09/2021,12000.00,0.19,0.71,,01/03/2022
03/2022,443033,1559000085003,20/08/2001,146879.02,91.52,11134.58,,01/03/2022
03/2022,170164,7731000035001,31/07/2020,8744019.94,342.90,3450.64,,01/03/2022
03/2022,060001,9701049335008,04/12/2014,388376.05,153.76,6670.21,,01/03/2022
03/2022,160065,9701048085008,01/12/2014,337105.08,133.61,5802.65,,01/03/2022
03/2022,170021,9701041605006,23/10/2020,1247307.57,94.45,822.62,,01/03/2022
03/2022,170021,9701042105007,01/12/2014,280440.04,111.15,4827.26,,01/03/2022
03/2022,170021,9701037275005,25/05/2020,1183130.20,116.19,1294.80,,01/03/2022
03/2022,110404,9701036765009,04/08/2017,685372.45,171.93,4757.61,,01/03/2022
03/2022,110001,9701031875000,02/10/2019,408405.57,54.47,814.13,,01/03/2022
03/2022,170021,9701030245003,02/10/2019,244948.20,32.67,488.29,,01/03/2022
03/2022,170193,9047001995001,04/05/2015,245803.98,51.12,2093.04,,01/03/2022
03/2022,160140,9047000305001,09/12/2020,670125.00,25.65,203.96,,01/03/2022
03/2022,170192,9047001865000,10/11/2020,891032.45,36.25,305.18,,01/03/2022
03/2022,170067,2845000055001,10/06/2015,62938.55,23.15,934.29,,01/03/2022
03/2022,158381,2785000515005,14/05/2018,15202007.03,1767.03,40831.50,,01/03/2022
03/2022,153103,1761000105009,19/10/2015,37620988.80,7299.65,279104.42,,01/03/2022
03/2022,120260,9701005405000,24/02/2016,4363071.69,800.26,28945.93,,01/03/2022
03/2022,751500,5851000145001,30/11/2015,6321.89,1.20,45.24,,01/03/2022
03/2022,090006,1389000015004,20/08/2001,2590582.84,2898.28,352631.39,,01/03/2022
03/2022,255006,1537000405007,27/11/2017,79191.26,10.31,266.13,,01/03/2022
03/2022,170127,6001013775007,27/01/2015,2234410.13,482.65,20517.30,,01/03/2022
03/2022,784320,0921002715007,19/05/2005,35000.00,32.02,3190.02,,01/03/2022
03/2022,153045,1389008975007,31/12/2014,291000.00,63.51,2727.44,,01/03/2022
03/2022,153045,1389011945008,31/12/2014,2469970.78,539.07,23150.18,,01/03/2022
03/2022,153045,1389008425007,31/12/2014,2300.00,0.50,21.56,,01/03/2022
03/2022,153045,1389008395000,31/12/2014,3100.00,0.68,29.06,,01/03/2022
03/2022,153045,1389008435002,31/12/2014,56100.00,12.25,525.81,,01/03/2022
03/2022,153045,1389008415001,31/12/2014,45100.00,9.85,422.71,,01/03/2022
03/2022,153045,1389008405006,31/12/2014,2800.00,0.61,26.24,,01/03/2022
03/2022,153045,1389008385005,31/12/2014,11840.00,2.58,110.97,,01/03/2022
03/2022,153045,1389008375000,31/12/2014,253300.00,55.28,2374.09,,01/03/2022
03/2022,153045,1389008365004,31/12/2014,74200.00,16.19,695.45,,01/03/2022
03/2022,153045,1389008355009,31/12/2014,19800.00,4.32,185.58,,01/03/2022
03/2022,153045,1389008345003,31/12/2014,10700.00,2.34,100.29,,01/03/2022
03/2022,393018,5637000045009,12/09/2012,39659.11,11.42,645.06,,01/03/2022
03/2022,255002,2833000125006,16/01/2020,63997.58,7.52,99.61,,01/03/2022
03/2022,120260,9701075255008,30/03/2016,216984.75,70.33,2504.23,,01/03/2022
03/2022,160065,9701023065003,28/12/2000,76245.82,87.97,11036.71,,01/03/2022
03/2022,154043,5403000315009,27/10/2004,432048.15,227.48,23407.07,,01/03/2022
03/2022,170021,9701039735003,01/12/2014,232830.94,92.28,4007.76,,01/03/2022
03/2022,154040,9701016945001,22/05/2018,694145.98,144.05,3310.07,,01/03/2022
03/2022,153063,0411003485006,30/12/2005,1429066.80,701.59,67336.20,,01/03/2022
03/2022,784000,0803000295006,23/03/2016,172104.34,55.96,1998.97,,01/03/2022
03/2022,160298,5819000125007,29/06/2015,304.51,0.11,4.45,,01/03/2022
03/2022,170098,5219000015009,10/01/2022,685184.53,3.67,5.87,,01/03/2022
03/2022,120260,9701092935003,30/03/2016,150142.10,48.67,1732.80,,01/03/2022
03/2022,120260,9701090005009,30/03/2016,223490.29,72.44,2579.31,,01/03/2022
03/2022,170127,6001034785001,25/03/2015,15325.47,5.81,241.81,,01/03/2022
03/2022,120260,9701089295007,30/03/2016,120116.31,38.93,1386.27,,01/03/2022
03/2022,120260,9701088345000,30/03/2016,204528.68,66.30,2360.48,,01/03/2022
03/2022,130074,8841003235000,23/11/2020,5372.92,0.39,3.14,,01/03/2022
03/2022,130074,8841000345000,23/11/2020,187281.89,13.31,109.33,,01/03/2022
03/2022,201033,0017000145003,19/06/2017,121586.99,31.34,890.31,,01/03/2022
03/2022,154040,9701017935000,15/05/2018,904700.72,188.69,4357.08,,01/03/2022
03/2022,154040,9701020765004,19/09/2015,192434.99,37.82,1464.25,,01/03/2022
03/2022,154040,9701022385004,19/09/2015,183260.00,36.02,1394.44,,01/03/2022
03/2022,154040,9701024875009,19/09/2015,669096.33,236.11,9141.76,,01/03/2022
03/2022,154040,9701026005001,19/09/2015,660520.25,233.07,9024.58,,01/03/2022
03/2022,154040,9701026705003,19/09/2015,637960.40,225.11,8716.35,,01/03/2022
03/2022,154040,9701027645004,19/09/2015,629066.90,221.98,8594.84,,01/03/2022
03/2022,170036,1069000015000,24/12/2004,112944.23,105.80,10787.88,,01/03/2022
03/2022,154040,9701060335000,19/09/2015,549117.87,193.77,7502.51,,01/03/2022
03/2022,154040,9701061275001,11/05/2018,479834.30,100.36,2323.98,,01/03/2022
03/2022,160298,5893000015006,26/10/2015,177.36,0.04,1.31,,01/03/2022
03/2022,120260,9701081315009,30/03/2016,159675.76,51.76,1842.83,,01/03/2022
03/2022,120260,9701082415007,30/03/2016,156055.53,50.58,1801.04,,01/03/2022
03/2022,120260,9701084265002,30/03/2016,276481.00,89.61,3190.88,,01/03/2022
03/2022,120260,9701085665004,21/05/2021,38456.80,1.71,9.11,,01/03/2022
03/2022,120260,9701086725000,30/03/2016,255072.34,82.67,2943.80,,01/03/2022
03/2022,160065,9701028985003,28/12/2000,71393.82,82.37,10334.37,,01/03/2022
03/2022,789000,7107001705000,10/02/2021,296445.18,17.59,122.04,,01/03/2022
03/2022,130067,6469000085001,31/05/2010,304480.20,195.28,13661.33,,01/03/2022
03/2022,170043,1559003735009,20/06/2018,64556.33,13.12,295.30,,01/03/2022
03/2022,010001,9701154605001,21/10/2019,974047.56,127.14,1861.55,,01/03/2022
03/2022,170151,6953000035000,27/01/2020,479045.23,30.93,403.99,,01/03/2022
