REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
08/2020,170104,5655000335005,17/07/2020,1350000.00,3.31,3.66,,01/08/2020
08/2020,170127,5879001855002,17/08/2018,5660.00,0.62,7.55,,01/08/2020
08/2020,080002,0241000275000,25/10/2017,459524.59,70.18,1196.12,,01/08/2020
08/2020,786810,9063000145006,11/12/2019,2036.45,0.04,0.19,,01/08/2020
08/2020,120259,8371000125000,30/08/2018,338050.68,20.09,242.30,,01/08/2020
08/2020,160065,9701028585005,28/12/2000,71393.82,76.24,8855.22,,01/08/2020
08/2020,785810,8849000135000,23/11/2013,436454.10,88.95,3570.60,,01/08/2020
08/2020,255017,2529000025004,03/04/2014,203000.00,39.16,1489.44,,01/08/2020
08/2020,160065,9701006705008,28/12/2000,68100.96,72.72,8446.79,,01/08/2020
08/2020,160392,8841004715006,11/05/2017,4690081.86,370.17,7306.27,,01/08/2020
08/2020,789300,7563007375008,22/11/2013,101627.73,37.21,1494.09,,01/08/2020
08/2020,373048,2531003205005,11/10/2001,117183.53,120.12,13396.86,,01/08/2020
08/2020,160065,9701022855000,28/12/2000,76245.82,81.42,9457.03,,01/08/2020
08/2020,443033,2537000045006,09/10/2001,751919.37,429.38,47901.59,,01/08/2020
08/2020,170021,9701052425004,09/03/2015,155207.55,45.92,1494.19,,01/08/2020
08/2020,193100,0271000025005,03/03/2015,1076.45,0.14,4.63,,01/08/2020
08/2020,170021,9701040125000,31/03/2020,1152531.19,23.60,64.80,,01/08/2020
08/2020,170062,2507000015008,09/07/2015,1232153.24,342.12,10460.31,,01/08/2020
08/2020,120259,8589000435004,18/07/2019,98295.56,5.78,39.69,,01/08/2020
08/2020,170021,9701030535001,04/08/2017,406988.10,67.13,1232.84,,01/08/2020
08/2020,193004,1719000025004,02/05/2019,631911.68,44.37,359.98,,01/08/2020
08/2020,193124,8847000025004,10/07/2019,124589.68,7.47,52.29,,01/08/2020
08/2020,255004,0291000035005,18/05/2017,8942.67,1.58,30.98,,01/08/2020
08/2020,170021,9701051575002,03/02/2015,331990.81,99.90,3305.57,,01/08/2020
08/2020,783602,2357000045008,30/10/2018,25537.52,1.39,15.38,,01/08/2020
