REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
08/2021,789000,7107006735004,10/02/2021,7000.00,0.11,0.38,,01/08/2021
08/2021,170098,4985000235006,24/08/2021,93894.29,0.01,0.01,,01/08/2021
08/2021,170164,7565000315006,27/08/2021,520661.67,0.02,0.02,,01/08/2021
08/2021,373047,2125000355006,11/07/2021,61842.00,0.19,0.22,,01/08/2021
08/2021,080002,0241000275000,04/09/2020,554305.38,28.52,173.51,,01/08/2021
08/2021,786810,9063000145006,16/09/2020,2036.45,0.05,0.33,,01/08/2021
08/2021,120259,8371000125000,30/08/2018,338050.68,30.32,544.19,,01/08/2021
08/2021,160065,9701028585005,28/12/2000,71393.82,80.12,9777.64,,01/08/2021
08/2021,785810,8849000135000,23/11/2013,436454.10,102.17,4702.38,,01/08/2021
08/2021,255017,2529000025004,03/04/2014,203000.00,45.31,1989.88,,01/08/2021
08/2021,160065,9701006705008,28/12/2000,68100.96,76.43,9326.67,,01/08/2021
08/2021,160392,8841004715006,11/05/2017,4690081.86,483.48,12388.52,,01/08/2021
08/2021,789300,7563007375008,22/11/2013,101627.73,42.74,1967.47,,01/08/2021
08/2021,373048,2531003205005,11/10/2001,117183.53,126.50,14851.92,,01/08/2021
08/2021,160065,9701022855000,28/12/2000,76245.82,85.56,10442.13,,01/08/2021
08/2021,443033,2537000045006,09/10/2001,751919.37,452.15,53102.71,,01/08/2021
08/2021,170021,9701052425004,09/03/2015,155207.55,54.35,2088.69,,01/08/2021
08/2021,193100,0271000025005,03/03/2015,1076.45,0.17,6.47,,01/08/2021
08/2021,170021,9701040125000,31/03/2020,1152531.19,86.25,742.81,,01/08/2021
08/2021,170062,2507000015008,09/07/2015,1232153.24,409.10,14916.32,,01/08/2021
08/2021,120259,8589000435004,18/07/2019,98295.56,11.12,141.81,,01/08/2021
08/2021,170021,9701030535001,04/08/2017,406988.10,89.25,2164.47,,01/08/2021
08/2021,193004,1719000025004,02/05/2019,631911.68,78.72,1101.79,,01/08/2021
08/2021,193124,8847000025004,10/07/2019,124589.68,14.24,183.47,,01/08/2021
08/2021,255004,0291000035005,18/05/2017,8942.67,2.07,52.68,,01/08/2021
08/2021,170021,9701051575002,27/10/2020,1145276.36,49.89,260.96,,01/08/2021
08/2021,783602,2357000045008,05/11/2020,250000.00,5.88,29.90,,01/08/2021
08/2021,110404,9701049875002,15/03/2019,453495.65,59.73,882.31,,01/08/2021
08/2021,200119,8815000755004,30/01/2013,235147.04,60.84,3091.50,,01/08/2021
08/2021,170036,1123000025004,02/05/2016,746542.46,214.73,6797.52,,01/08/2021
08/2021,158416,5705001965002,10/12/2018,10360494.24,841.64,13720.85,,01/08/2021
08/2021,373031,0639000505009,09/08/2001,10312.68,11.23,1329.81,,01/08/2021
08/2021,255022,0035000065008,30/11/2015,68885.43,21.39,730.37,,01/08/2021
08/2021,160176,2559000025006,16/04/2013,3115474.33,786.40,38997.59,,01/08/2021
08/2021,170098,5371000085001,05/10/2020,439885.38,20.60,115.06,,01/08/2021
08/2021,762300,5801001145009,31/10/2019,63985.52,6.24,68.99,,01/08/2021
08/2021,110404,9701064595007,28/12/2007,251724.95,186.67,15085.56,,01/08/2021
08/2021,789000,7107002905002,09/02/2021,140000.00,3.91,13.86,,01/08/2021
08/2021,753000,5927000015004,13/04/2021,1948235.32,36.12,91.72,,01/08/2021
08/2021,752000,6001000295001,02/08/2017,1095965.06,240.65,5844.31,,01/08/2021
08/2021,110404,9701063135002,28/12/2007,179519.71,133.12,10758.39,,01/08/2021
08/2021,113801,2401003205007,01/07/2019,195172.42,22.57,294.06,,01/08/2021
08/2021,110404,9701063955000,28/12/2007,77053.25,57.14,4617.71,,01/08/2021
08/2021,154046,4921000165001,17/06/2016,141118.65,22.07,682.19,,01/08/2021
08/2021,255013,2897000015002,08/05/2019,10229.31,0.70,9.79,,01/08/2021
08/2021,193003,1441000675006,30/05/2018,2134646.59,373.05,7248.60,,01/08/2021
08/2021,160488,6861000065000,16/11/2004,1837489.28,932.13,92423.79,,01/08/2021
08/2021,120260,9701076415009,30/03/2016,332980.30,97.42,3135.55,,01/08/2021
08/2021,153052,9373001305003,22/06/2021,27607737.35,124.79,180.96,,01/08/2021
08/2021,080009,5865000435000,23/12/2015,555927.28,170.75,5765.98,,01/08/2021
08/2021,785340,8161000455000,29/11/2015,79873.99,24.82,847.69,,01/08/2021
08/2021,785340,8161000405002,29/11/2015,100203.85,31.13,1063.44,,01/08/2021
08/2021,193114,0505000145001,23/10/2019,75418.13,7.44,83.27,,01/08/2021
08/2021,110120,0255001855000,30/03/2021,836045.79,17.25,47.63,,01/08/2021
08/2021,160219,8267000015005,22/06/2021,7851.80,0.06,0.09,,01/08/2021
08/2021,400081,8105001645006,04/04/2019,2385507.41,307.11,4437.21,,01/08/2021
08/2021,170053,2211000015007,05/09/2012,52650.00,25.62,1362.20,,01/08/2021
