REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
06/2020,160219,7657000125008,15/06/2020,63595.03,0.02,0.02,,01/06/2020
06/2020,170098,5371000305001,20/04/2020,50000.00,0.41,0.61,,01/06/2020
06/2020,170098,5371000295006,20/04/2020,50000.00,0.41,0.61,,01/06/2020
06/2020,170533,7107002035008,26/06/2020,18220529.00,0.31,0.31,,01/06/2020
06/2020,170098,4147000015002,13/04/2020,1200000.00,10.90,17.54,,01/06/2020
06/2020,080002,0241000275000,25/10/2017,459524.59,63.85,1057.89,,01/06/2020
06/2020,786810,9063000145006,11/12/2019,2036.45,0.03,0.11,,01/06/2020
06/2020,120259,8371000125000,30/08/2018,338050.68,17.78,203.00,,01/06/2020
06/2020,160065,9701028585005,28/12/2000,71393.82,73.14,8703.07,,01/06/2020
06/2020,785810,8849000135000,23/11/2013,436454.10,83.93,3393.81,,01/06/2020
06/2020,255017,2529000025004,03/04/2014,203000.00,36.91,1411.63,,01/06/2020
06/2020,160065,9701006705008,28/12/2000,68100.96,69.77,8301.67,,01/06/2020
06/2020,160392,8841004715006,11/05/2017,4690081.86,339.76,6575.54,,01/06/2020
06/2020,789300,7563007375008,22/11/2013,101627.73,35.11,1420.14,,01/06/2020
06/2020,373048,2531003205005,11/10/2001,117183.53,115.21,13157.15,,01/06/2020
06/2020,160065,9701022855000,28/12/2000,76245.82,78.11,9294.54,,01/06/2020
06/2020,443033,2537000045006,09/10/2001,751919.37,411.83,47044.75,,01/06/2020
06/2020,170021,9701052425004,09/03/2015,155207.55,43.05,1403.07,,01/06/2020
06/2020,193100,0271000025005,03/03/2015,1076.45,0.13,4.35,,01/06/2020
06/2020,170021,9701040125000,31/03/2020,1152531.19,12.62,22.92,,01/06/2020
06/2020,170062,2507000015008,09/07/2015,1232153.24,320.16,9781.75,,01/06/2020
06/2020,120259,8589000435004,18/07/2019,98295.56,4.71,28.59,,01/06/2020
06/2020,170021,9701030535001,04/08/2017,406988.10,61.36,1100.47,,01/06/2020
06/2020,193004,1719000025004,02/05/2019,631911.68,37.34,274.16,,01/06/2020
06/2020,193124,8847000025004,10/07/2019,124589.68,6.13,37.93,,01/06/2020
06/2020,255004,0291000035005,18/05/2017,8942.67,1.45,27.87,,01/06/2020
06/2020,170021,9701051575002,03/02/2015,331990.81,93.73,3107.31,,01/06/2020
06/2020,783602,2357000045008,30/10/2018,25537.52,1.22,12.67,,01/06/2020
06/2020,110404,9701049875002,15/03/2019,453495.65,29.93,243.70,,01/06/2020
06/2020,200119,8815000755004,30/01/2013,235147.04,50.82,2306.70,,01/06/2020
06/2020,170036,1123000025004,02/05/2016,746542.46,161.93,4142.92,,01/06/2020
06/2020,158416,5705001965002,10/12/2018,10360494.24,459.84,4471.28,,01/06/2020
06/2020,373031,0639000505009,09/08/2001,10312.68,10.24,1179.33,,01/06/2020
06/2020,255022,0035000065008,30/11/2015,68885.43,16.47,463.66,,01/06/2020
06/2020,160176,2559000025006,16/04/2013,3115474.33,654.38,28870.25,,01/06/2020
06/2020,170098,5371000085001,02/08/2018,439885.38,43.30,514.77,,01/06/2020
06/2020,762300,5801001145009,31/10/2019,63985.52,2.11,9.08,,01/06/2020
06/2020,110404,9701064595007,28/12/2007,251724.95,165.17,12616.61,,01/06/2020
06/2020,789000,7107002905002,11/07/2005,140000.00,110.02,10054.24,,01/06/2020
06/2020,753000,5927000015004,06/08/2018,1778356.04,174.02,2057.32,,01/06/2020
06/2020,752000,6001000295001,02/08/2017,1095965.06,165.53,2974.59,,01/06/2020
06/2020,110404,9701063135002,28/12/2007,179519.71,117.79,8997.64,,01/06/2020
06/2020,113801,2401003205007,01/07/2019,195172.42,9.85,62.46,,01/06/2020
06/2020,110404,9701063955000,28/12/2007,77053.25,50.56,3861.96,,01/06/2020
06/2020,154046,4921000165001,17/06/2016,141118.65,16.52,410.14,,01/06/2020
06/2020,255013,2897000015002,08/05/2019,10229.31,0.33,2.40,,01/06/2020
06/2020,193003,1441000675006,30/05/2018,2134646.59,229.81,2977.15,,01/06/2020
