REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
07/2024,070020,8291000225002,15/06/2023,740192.28,43.71,301.79,123210102
07/2024,120260,9701088245006,30/03/2016,223490.29,100.83,4977.34,123210101
07/2024,158269,8725000635000,19/12/2022,163247.60,7.78,76.02,123210107
07/2024,158718,0483004675000,06/06/2023,3964941.58,133.34,940.06,123210107
07/2024,160065,9701024225004,28/12/2000,76245.82,97.65,13595.39,123210101
07/2024,254420,6001060175002,30/12/2023,35537593.53,585.05,2177.06,123210107
07/2024,170021,9701345785004,30/03/2020,117495.79,27.44,708.10,123210101
07/2024,787000,9701314395000,03/04/2019,578072.82,5258.14,5258.14,123210101
07/2024,373053,3411000205009,21/11/2023,12518106.10,246.57,1071.85,123210109
07/2024,153045,1389010975000,31/12/2014,7196147.08,2079.62,117920.89,123210107
07/2024,373057,5669000145001,01/11/2023,681620.40,14.56,67.96,123210109
07/2024,080014,8569000125000,15/08/2022,1819815.65,189.85,2240.88,123210102
07/2024,153056,5815000985003,22/11/2022,142070.48,7.09,72.35,123210107
07/2024,120260,9701079875000,30/03/2016,149432.72,67.42,3328.01,123210101
07/2024,170164,7629000245008,20/07/2021,491255.16,44.47,805.30,123210101
07/2024,170021,9701344015000,03/03/2019,138357.13,40.42,1298.91,123210101
07/2024,201035,0107002085007,06/10/2023,777175.00,32.81,166.89,123210102
07/2024,120260,9701091665002,30/03/2016,551854.91,248.98,12290.34,123210101
07/2024,070019,8461000125009,20/04/2021,677935.54,119.38,2337.04,123210102
07/2024,154040,9701336795000,23/11/2022,265801.34,13.24,134.92,123210107
07/2024,257022,0155000025007,18/08/2022,142830.00,14.84,174.41,123210102
07/2024,170127,6001030215006,22/11/2017,29463.48,10.65,422.37,123210101
07/2024,170021,9701044895005,31/03/2020,1352363.46,315.69,8139.91,123210101
07/2024,160065,9701269175000,28/12/2000,150000.00,192.11,26746.49,123210101
07/2024,120260,9701075765006,30/03/2016,216984.75,97.90,4832.46,123210101
07/2024,170127,6001007555009,18/03/2015,9373.27,4.76,263.80,123210101
07/2024,373031,0639000135007,09/08/2001,12439.72,15.52,2104.29,123210101
07/2024,255005,3443000125003,01/10/2010,42083.68,17.58,1436.80,123210116
07/2024,154040,9701016275006,28/11/2022,1021598.21,90.60,916.07,123210101
07/2024,170021,9701352545005,04/07/2022,190359.61,21.05,262.71,123210101
07/2024,413001,1389000285001,27/07/2023,2317315.59,122.34,762.00,123210102
07/2024,170048,1795000015004,25/09/2015,2718101.48,725.10,37980.71,123210120
07/2024,380007,5705005965007,12/05/2015,169995.67,47.27,2579.51,123210124
07/2024,787000,9701288555009,17/06/2019,70040.31,19.35,588.92,123210101
07/2024,080008,4033000145007,24/03/2023,2904771.07,207.42,1709.57,123210102
07/2024,160065,9701280015005,28/12/2000,235667.21,301.84,42021.81,123210101
07/2024,742030,7145003975007,05/03/2010,169971.28,132.80,11304.24,123210101
07/2024,170098,4963000025000,18/06/2019,92031.20,14.16,430.50,123210116
07/2024,373055,4939000605004,21/11/2023,426012.18,8.39,36.48,123210109
07/2024,255011,8979000035004,13/12/2022,796352.56,38.34,378.40,123210116
07/2024,020001,9701156875006,22/09/2022,2344781.46,231.33,2588.96,123210101
07/2024,200090,2381000515007,07/04/2015,5052337.80,2548.77,140533.73,123210102
07/2024,373053,3653000105002,23/11/2023,94544.46,1.85,7.97,123210109
07/2024,160065,9701050975007,01/07/2014,127670.52,69.73,4159.66,123210101
07/2024,120260,9701313185001,30/03/2016,367871.70,8192.85,8192.85,123210101
07/2024,120260,9701087855005,30/03/2016,115835.03,52.26,2579.76,123210101
07/2024,154040,9701248065000,24/11/2022,772261.81,68.94,701.58,123210101
07/2024,154040,9701021785009,29/11/2022,140064.93,6.91,69.72,123210124
07/2024,153079,7535000215000,11/11/2022,56702085.97,2880.41,29913.90,123210107
07/2024,771100,6001000175006,02/03/2023,1355985.57,45.01,386.92,123210104
07/2024,201033,0977000275005,03/08/2017,25948.76,9.81,406.56,123210101
