REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
01/2020,786810,9063000185008,11/12/2019,2036.45,0.01,0.01,,01/01/2020
01/2020,154502,9073001835003,24/06/2019,16650000.00,1087.81,1087.81,,01/01/2020
01/2020,080002,0241000275000,25/10/2017,459524.59,739.20,756.72,,01/01/2020
01/2020,786810,9063000145006,11/12/2019,2036.45,0.01,0.01,,01/01/2020
01/2020,120259,8371000125000,13/10/2014,338050.68,1006.31,1694.91,,01/01/2020
01/2020,160065,9701028585005,28/12/2000,71393.82,1594.35,8338.05,,01/01/2020
01/2020,785810,8849000135000,23/11/2013,436454.10,1564.83,2982.02,,01/01/2020
01/2020,255017,2529000025004,03/04/2014,203000.00,677.87,1230.84,,01/01/2020
01/2020,160065,9701006705008,28/12/2000,68100.96,1520.80,7953.47,,01/01/2020
01/2020,160392,8841004715006,11/05/2017,4690081.86,4527.05,4956.88,,01/01/2020
01/2020,200366,7571000155003,22/02/2019,1266992.99,199.40,199.40,,01/01/2020
01/2020,789300,7563007375008,22/11/2013,101627.73,654.60,1247.89,,01/01/2020
01/2020,373048,2531003205005,11/10/2001,117183.53,2503.48,12582.40,,01/01/2020
01/2020,160065,9701022855000,28/12/2000,76245.82,1702.70,8904.71,,01/01/2020
01/2020,443033,2537000045006,09/10/2001,751919.37,8949.05,44990.26,,01/01/2020
01/2020,170021,9701052425004,09/03/2015,155207.55,752.67,1193.16,,01/01/2020
01/2020,193100,0271000025005,03/03/2015,1076.45,2.33,3.70,,01/01/2020
01/2020,170021,9701040125000,01/12/2014,470549.40,2437.40,4024.51,,01/01/2020
01/2020,170062,2507000015008,09/07/2015,1232153.24,5468.29,8224.32,,01/01/2020
01/2020,120259,8589000435004,18/07/2019,98295.56,9.16,9.16,,01/01/2020
01/2020,170021,9701030535001,04/08/2017,406988.10,767.23,809.52,,01/01/2020
01/2020,193004,1719000025004,02/05/2019,631911.68,113.95,113.95,,01/01/2020
01/2020,193124,8847000025004,10/07/2019,124589.68,12.58,12.58,,01/01/2020
01/2020,255004,0291000035005,18/05/2017,8942.67,20.97,20.97,,01/01/2020
01/2020,170021,9701051575002,03/02/2015,331990.81,1648.03,2650.11,,01/01/2020
01/2020,783602,2357000045008,30/10/2018,25537.52,7.17,7.17,,01/01/2020
01/2020,110404,9701049875002,15/03/2019,453495.65,112.94,112.94,,01/01/2020
01/2020,200119,8815000755004,30/01/2013,235147.04,974.24,2056.63,,01/01/2020
01/2020,170036,1123000025004,02/05/2016,746542.46,3360.67,3360.67,,01/01/2020
01/2020,158416,5705001965002,10/12/2018,10360494.24,2409.95,2409.95,,01/01/2020
01/2020,373031,0639000505009,09/08/2001,10312.68,222.51,1128.27,,01/01/2020
01/2020,255022,0035000065008,30/11/2015,68885.43,272.26,383.79,,01/01/2020
01/2020,160176,2559000025006,16/04/2013,3115474.33,12463.09,25652.66,,01/01/2020
01/2020,170098,5371000085001,02/08/2018,439885.38,316.14,316.14,,01/01/2020
01/2020,762300,5801001145009,31/10/2019,63985.52,1.30,1.30,,01/01/2020
01/2020,110404,9701064595007,28/12/2007,251724.95,3451.64,11796.29,,01/01/2020
01/2020,789000,7107002905002,11/07/2005,140000.00,2344.59,9506.61,,01/01/2020
01/2020,753000,5927000015004,06/08/2018,1778356.04,1259.45,1259.45,,01/01/2020
01/2020,752000,6001000295001,02/08/2017,1095965.06,2073.44,2189.53,,01/01/2020
01/2020,110404,9701063135002,28/12/2007,179519.71,2461.56,8412.62,,01/01/2020
01/2020,113801,2401003205007,01/07/2019,195172.42,21.47,21.47,,01/01/2020
01/2020,110404,9701063955000,28/12/2007,77053.25,1056.54,3610.85,,01/01/2020
01/2020,154046,4921000165001,17/06/2016,141118.65,257.61,330.41,,01/01/2020
01/2020,255013,2897000015002,08/05/2019,10229.31,0.98,0.98,,01/01/2020
01/2020,193003,1441000675006,30/05/2018,2134646.59,1914.14,1914.14,,01/01/2020
01/2020,160488,6861000065000,16/11/2004,1837489.28,17955.61,75821.29,,01/01/2020
01/2020,120260,9701076415009,30/03/2016,332980.30,1180.20,1572.10,,01/01/2020
01/2020,153052,9373007035008,30/10/2018,12055500.00,3382.76,3382.76,,01/01/2020
01/2020,153052,9373007025002,30/10/2018,2434168.00,683.02,683.02,,01/01/2020
01/2020,153052,9373001305003,31/10/2018,9588744.00,2678.85,2678.85,,01/01/2020
01/2020,153052,9373007015007,31/10/2018,1921744.00,536.89,536.89,,01/01/2020
01/2020,080009,5865000435000,23/12/2015,555927.28,2154.12,3004.45,,01/01/2020
01/2020,785340,8161000455000,29/11/2015,79873.99,315.96,445.59,,01/01/2020
01/2020,785340,8161000405002,29/11/2015,100203.85,396.38,559.01,,01/01/2020
01/2020,193114,0505000145001,07/07/2017,75418.13,149.29,159.38,,01/01/2020
01/2020,110120,0255001855000,08/04/2019,765249.08,163.23,163.23,,01/01/2020
01/2020,160219,8267000015005,25/06/2019,7214.07,0.84,0.84,,01/01/2020
