REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
12/2023,782802,3849000295000,14/10/2021,2190.00,0.14,1.91,
12/2023,373053,3641001305001,23/11/2023,81938.00,0.15,0.16,
12/2023,513001,9701347575007,31/12/2020,19999.00,3.22,57.60,
12/2023,080002,0241000275000,04/09/2020,554305.38,98.85,1959.00,
12/2023,786810,9063000145006,16/09/2020,2036.45,0.20,3.93,
12/2023,120259,8371000125000,09/05/2022,2151932.07,104.50,1039.76,
12/2023,160065,9701028585005,28/12/2000,71393.82,89.18,12108.59,
12/2023,785810,8849000135000,23/11/2013,436454.10,133.01,7949.61,
12/2023,255017,2529000025004,27/05/2022,316870.44,14.91,144.07,
12/2023,160065,9701006705008,28/12/2000,68100.96,85.06,11550.11,
12/2023,160392,8841004715006,11/05/2017,4690081.86,747.97,29443.25,
12/2023,789300,7563007375008,22/11/2013,101627.73,55.63,3325.56,
12/2023,373048,2531003205005,11/10/2001,117183.53,141.36,18540.22,
12/2023,160065,9701022855000,28/12/2000,76245.82,95.23,12931.50,
12/2023,443033,2537000045006,09/10/2001,751919.37,505.29,66286.34,
12/2023,170021,9701052425004,09/03/2015,155207.55,74.04,3862.95,
12/2023,193100,0271000025005,03/03/2015,1076.45,0.23,11.95,
12/2023,170021,9701040125000,31/03/2020,1152531.19,232.48,5195.87,
12/2023,170062,2507000015008,09/07/2015,1232153.24,565.44,28386.47,
12/2023,120259,8589000435004,09/05/2022,431607.43,37.64,374.46,
12/2023,170021,9701030535001,04/08/2017,406988.10,140.89,5352.76,
12/2023,193004,1719000025004,03/03/2023,1812848.87,77.62,399.77,
12/2023,255004,0291000035005,18/05/2017,8942.67,3.20,125.59,
12/2023,170021,9701051575002,27/10/2020,1145276.36,195.20,3701.61,
12/2023,783602,2357000045008,05/11/2020,250000.00,23.54,443.04,
12/2023,110404,9701049875002,08/08/2023,453495.65,8.74,22.90,
12/2023,200119,8815000755004,30/01/2013,235147.04,77.45,5000.19,
12/2023,170036,1123000025004,02/05/2016,746542.46,309.45,14048.32,
12/2023,158416,5705001965002,29/11/2022,10218964.94,323.33,2154.48,
12/2023,373031,0639000505009,09/08/2001,10312.68,12.54,1657.05,
12/2023,255022,0035000065008,30/11/2015,68885.43,30.13,1442.84,
12/2023,160176,2559000025006,16/04/2013,3115474.33,1006.54,63746.22,
12/2023,170098,5371000085001,05/10/2020,439885.38,76.42,1476.18,
12/2023,762300,5801001145009,17/01/2023,63985.52,3.17,18.61,
12/2023,110404,9701064595007,28/12/2007,251724.95,218.60,20670.77,
12/2023,789000,7107002905002,09/02/2021,140000.00,21.67,374.28,
12/2023,753000,5927000015004,13/04/2021,1948235.32,283.31,4604.99,
12/2023,752000,6001000295001,02/08/2017,1095965.06,379.71,14438.92,
12/2023,110404,9701063135002,28/12/2007,179519.71,155.90,14741.53,
12/2023,113801,2401003205007,03/03/2023,527214.41,22.57,116.26,
12/2023,110404,9701063955000,28/12/2007,77053.25,66.91,6327.34,
12/2023,154046,4921000165001,28/11/2022,192842.34,6.12,40.86,
12/2023,255013,2897000015002,08/05/2019,10229.31,1.42,39.45,
12/2023,170199,9221000145003,03/10/2022,1352950.15,49.20,373.03,
12/2023,193003,1441000675006,03/03/2023,10377736.99,444.33,2288.51,
12/2023,160488,6861000065000,16/11/2004,1837489.28,1061.98,119891.38,
12/2023,120260,9701076415009,30/03/2016,332980.30,139.67,6414.60,
