REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
08/2023,373051,2869000295000,15/08/2023,158862.60,0.05,0.05,,01/08/2023
08/2023,080002,0241000275000,04/09/2020,554305.38,88.78,1584.76,,01/08/2023
08/2023,786810,9063000145006,16/09/2020,2036.45,0.18,3.17,,01/08/2023
08/2023,120259,8371000125000,09/05/2022,2151932.07,82.72,660.47,,01/08/2023
08/2023,160065,9701028585005,28/12/2000,71393.82,87.88,11759.54,,01/08/2023
08/2023,785810,8849000135000,23/11/2013,436454.10,128.60,7432.64,,01/08/2023
08/2023,255017,2529000025004,27/05/2022,316870.44,11.71,90.08,,01/08/2023
08/2023,160065,9701006705008,28/12/2000,68100.96,83.82,11217.16,,01/08/2023
08/2023,160392,8841004715006,11/05/2017,4690081.86,710.09,26555.23,,01/08/2023
08/2023,789300,7563007375008,22/11/2013,101627.73,53.78,3109.35,,01/08/2023
08/2023,373048,2531003205005,11/10/2001,117183.53,139.24,17987.02,,01/08/2023
08/2023,160065,9701022855000,28/12/2000,76245.82,93.85,12558.73,,01/08/2023
08/2023,443033,2537000045006,09/10/2001,751919.37,497.67,64308.96,,01/08/2023
08/2023,170021,9701052425004,09/03/2015,155207.55,71.23,3575.69,,01/08/2023
08/2023,193100,0271000025005,03/03/2015,1076.45,0.22,11.06,,01/08/2023
08/2023,170021,9701040125000,31/03/2020,1152531.19,211.54,4311.68,,01/08/2023
08/2023,170062,2507000015008,09/07/2015,1232153.24,543.06,26194.07,,01/08/2023
08/2023,120259,8589000435004,09/05/2022,431607.43,29.79,237.86,,01/08/2023
08/2023,170021,9701030535001,04/08/2017,406988.10,133.49,4809.16,,01/08/2023
08/2023,193004,1719000025004,03/03/2023,1812848.87,44.68,142.65,,01/08/2023
08/2023,255004,0291000035005,18/05/2017,8942.67,3.03,113.23,,01/08/2023
08/2023,170021,9701051575002,27/10/2020,1145276.36,174.39,2963.94,,01/08/2023
