REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
11/2020,130074,8801002265004,23/11/2020,1210987.53,0.08,0.08,,01/11/2020
11/2020,170062,2531004005000,18/11/2020,99558.00,0.02,0.02,,01/11/2020
11/2020,130074,8849000085003,23/11/2020,305916.28,0.04,0.04,,01/11/2020
11/2020,090017,7107009515005,12/02/2020,8041.00,0.18,0.92,,01/11/2020
11/2020,080002,0241000275000,04/09/2020,554305.38,5.75,10.08,,01/11/2020
11/2020,786810,9063000145006,16/09/2020,2036.45,0.01,0.02,,01/11/2020
11/2020,120259,8371000125000,30/08/2018,338050.68,21.92,306.29,,01/11/2020
11/2020,160065,9701028585005,28/12/2000,71393.82,74.72,9080.92,,01/11/2020
11/2020,785810,8849000135000,23/11/2013,436454.10,89.30,3838.22,,01/11/2020
11/2020,255017,2529000025004,03/04/2014,203000.00,39.40,1607.44,,01/11/2020
11/2020,160065,9701006705008,28/12/2000,68100.96,71.27,8662.08,,01/11/2020
11/2020,160392,8841004715006,11/05/2017,4690081.86,385.73,8448.52,,01/11/2020
11/2020,789300,7563007375008,22/11/2013,101627.73,37.35,1606.02,,01/11/2020
11/2020,373048,2531003205005,11/10/2001,117183.53,117.79,13752.61,,01/11/2020
11/2020,160065,9701022855000,28/12/2000,76245.82,79.79,9698.06,,01/11/2020
11/2020,443033,2537000045006,09/10/2001,751919.37,421.06,49173.23,,01/11/2020
11/2020,170021,9701052425004,09/03/2015,155207.55,46.48,1633.11,,01/11/2020
11/2020,193100,0271000025005,03/03/2015,1076.45,0.14,5.06,,01/11/2020
11/2020,170021,9701040125000,31/03/2020,1152531.19,38.03,164.81,,01/11/2020
11/2020,170062,2507000015008,09/07/2015,1232153.24,347.34,11497.47,,01/11/2020
11/2020,120259,8589000435004,18/07/2019,98295.56,6.88,59.26,,01/11/2020
11/2020,170021,9701030535001,04/08/2017,406988.10,70.32,1440.73,,01/11/2020
11/2020,193004,1719000025004,02/05/2019,631911.68,51.27,507.08,,01/11/2020
11/2020,193124,8847000025004,10/07/2019,124589.68,8.87,77.53,,01/11/2020
11/2020,255004,0291000035005,18/05/2017,8942.67,1.65,35.86,,01/11/2020
11/2020,170021,9701051575002,03/02/2015,331990.81,101.05,3607.66,,01/11/2020
11/2020,783602,2357000045008,05/11/2020,250000.00,0.21,0.21,,01/11/2020
11/2020,110404,9701049875002,15/03/2019,453495.65,39.93,426.86,,01/11/2020
11/2020,200119,8815000755004,30/01/2013,235147.04,53.71,2574.72,,01/11/2020
11/2020,170036,1123000025004,02/05/2016,746542.46,178.39,5018.93,,01/11/2020
11/2020,158416,5705001965002,10/12/2018,10360494.24,587.07,7204.53,,01/11/2020
11/2020,373031,0639000505009,09/08/2001,10312.68,10.46,1232.21,,01/11/2020
11/2020,255022,0035000065008,30/11/2015,68885.43,17.99,552.29,,01/11/2020
11/2020,160176,2559000025006,16/04/2013,3115474.33,692.65,32324.31,,01/11/2020
