REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
11/2022,154040,9701233085000,28/11/2022,1292707.31,0.01,0.01,,01/11/2022
11/2022,153056,5819000865000,21/11/2022,791974.55,0.09,0.09,,01/11/2022
11/2022,154040,9701016125004,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701016135000,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701016145005,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701016155000,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701016165006,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701061245005,28/11/2022,679552.52,0.01,0.01,,01/11/2022
11/2022,154040,9701061265006,28/11/2022,679552.52,0.01,0.01,,01/11/2022
11/2022,154040,9701061515002,28/11/2022,698548.20,0.01,0.01,,01/11/2022
11/2022,154040,9701016955007,28/11/2022,1021598.21,0.01,0.01,,01/11/2022
11/2022,154040,9701016965002,25/11/2022,1021598.21,0.06,0.06,,01/11/2022
11/2022,154040,9701016975008,25/11/2022,1021598.21,0.06,0.06,,01/11/2022
11/2022,154040,9701016985003,25/11/2022,1021598.21,0.06,0.06,,01/11/2022
11/2022,154040,9701026185000,28/11/2022,1397116.30,0.01,0.01,,01/11/2022
11/2022,154040,9701026195005,28/11/2022,1397116.30,0.01,0.01,,01/11/2022
11/2022,154040,9701026205000,28/11/2022,930001.08,0.01,0.01,,01/11/2022
11/2022,154040,9701026215006,28/11/2022,1604222.53,0.02,0.02,,01/11/2022
11/2022,154040,9701026225001,28/11/2022,1242586.68,0.01,0.01,,01/11/2022
11/2022,154040,9701060905001,28/11/2022,679552.52,0.01,0.01,,01/11/2022
11/2022,154040,9701018945009,28/11/2022,1292707.31,0.01,0.01,,01/11/2022
11/2022,154040,9701018955004,28/11/2022,1292707.31,0.01,0.01,,01/11/2022
11/2022,154040,9701018965000,28/11/2022,1292707.31,0.01,0.01,,01/11/2022
11/2022,158719,1385000455001,23/11/2022,3173992.44,0.21,0.21,,01/11/2022
11/2022,158719,1385000425005,23/11/2022,522606.94,0.03,0.03,,01/11/2022
11/2022,158719,1385000415000,23/11/2022,1845110.86,0.12,0.12,,01/11/2022
11/2022,154040,9701249935009,25/11/2022,782100.56,0.05,0.05,,01/11/2022
11/2022,154040,9701249975000,25/11/2022,922884.19,0.06,0.06,,01/11/2022
11/2022,154040,9701250255008,25/11/2022,2125300.28,0.13,0.13,,01/11/2022
11/2022,200374,9067002405008,03/06/2022,30800000.00,732.41,2396.96,,01/11/2022
11/2022,080002,0241000275000,04/09/2020,554305.38,64.06,888.70,,01/11/2022
11/2022,786810,9063000145006,16/09/2020,2036.45,0.13,1.77,,01/11/2022
11/2022,120259,8371000125000,09/05/2022,2151932.07,32.81,120.97,,01/11/2022
11/2022,160065,9701028585005,28/12/2000,71393.82,82.23,10994.22,,01/11/2022
11/2022,785810,8849000135000,23/11/2013,436454.10,114.86,6334.91,,01/11/2022
11/2022,255017,2529000025004,27/05/2022,316870.44,4.37,14.82,,01/11/2022
11/2022,160065,9701006705008,28/12/2000,68100.96,78.43,10487.14,,01/11/2022
11/2022,160392,8841004715006,11/05/2017,4690081.86,605.03,20612.29,,01/11/2022
11/2022,789300,7563007375008,22/11/2013,101627.73,48.04,2650.25,,01/11/2022
11/2022,373048,2531003205005,11/10/2001,117183.53,130.12,16775.11,,01/11/2022
11/2022,160065,9701022855000,28/12/2000,76245.82,87.82,11741.40,,01/11/2022
11/2022,443033,2537000045006,09/10/2001,751919.37,465.12,59977.11,,01/11/2022
11/2022,170021,9701052425004,09/03/2015,155207.55,62.81,2970.97,,01/11/2022
11/2022,193100,0271000025005,03/03/2015,1076.45,0.20,9.20,,01/11/2022
11/2022,170021,9701040125000,31/03/2020,1152531.19,159.29,2626.24,,01/11/2022
11/2022,170062,2507000015008,09/07/2015,1232153.24,476.97,21591.27,,01/11/2022
11/2022,120259,8589000435004,09/05/2022,431607.43,11.82,43.57,,01/11/2022
11/2022,170021,9701030535001,04/08/2017,406988.10,113.14,3694.35,,01/11/2022
11/2022,193004,1719000025004,02/05/2019,631911.68,117.76,2596.79,,01/11/2022
11/2022,255004,0291000035005,18/05/2017,8942.67,2.59,87.82,,01/11/2022
11/2022,170021,9701051575002,27/10/2020,1145276.36,123.63,1605.69,,01/11/2022
11/2022,783602,2357000045008,05/11/2020,250000.00,14.85,190.63,,01/11/2022
11/2022,110404,9701049875002,15/03/2019,453495.65,87.64,2002.89,,01/11/2022
11/2022,200119,8815000755004,30/01/2013,235147.04,67.49,4056.25,,01/11/2022
11/2022,170036,1123000025004,02/05/2016,746542.46,256.92,10354.43,,01/11/2022
11/2022,158416,5705001965002,29/11/2022,20209377.93,0.03,0.03,,01/11/2022
11/2022,373031,0639000505009,09/08/2001,10312.68,11.55,1500.48,,01/11/2022
11/2022,255022,0035000065008,30/11/2015,68885.43,25.23,1081.81,,01/11/2022
11/2022,160176,2559000025006,16/04/2013,3115474.33,875.18,51490.78,,01/11/2022
11/2022,170098,5371000085001,05/10/2020,439885.38,48.87,652.75,,01/11/2022
11/2022,762300,5801001145009,31/10/2019,63985.52,10.24,194.86,,01/11/2022
11/2022,110404,9701064595007,28/12/2007,251724.95,197.21,17965.65,,01/11/2022
