REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
09/2024,787000,9701322045004,22/05/2019,251415.06,70.40,2315.16,123210101
09/2024,170021,9701346485004,07/04/2020,117495.79,27.46,756.28,123210101
09/2024,154043,5403000455005,28/12/2022,18221966.72,917.00,10046.62,123210107
09/2024,762300,5801000035005,01/12/2020,419679.00,83.70,1972.95,123210101
09/2024,373080,9377000985003,28/11/2023,274453.44,6.43,34.60,123210109
09/2024,030001,9067004615000,18/12/2023,52022.69,1.13,5.73,123210122
09/2024,255018,1153000315004,19/07/2016,23474.01,5.62,281.67,123210116
09/2024,080020,9511001975001,14/03/2023,1022705.66,81.21,786.95,123210102
09/2024,170127,6001029495009,23/02/2015,38567.88,19.41,1139.36,123210101
09/2024,201035,0139005125008,06/03/2024,14775127.45,410.96,1535.40,123210102
09/2024,170188,8667000015000,19/08/2015,90000.00,43.00,2397.15,123210101
09/2024,255022,0015000015006,09/12/2015,302308.56,77.72,4187.72,123210116
09/2024,255001,0151000565009,25/09/2012,47393.15,29.87,2191.86,123210102
09/2024,170021,9701227225009,28/01/2015,107028.15,54.26,3208.85,123210101
09/2024,170062,2489000015006,13/07/2015,31806.44,15.37,866.10,123210101
09/2024,373031,0639000405004,09/08/2001,12439.72,15.12,2134.99,123210101
09/2024,010001,9701157695001,21/10/2019,1161888.12,299.90,9102.57,123210101
09/2024,120265,3849002295008,26/06/2024,988909.13,21.89,21.89,123210102
09/2024,120260,9701089575000,30/03/2016,204528.68,91.11,4739.38,123210101
09/2024,120260,9701075115001,30/03/2016,216984.75,96.66,5028.01,123210101
09/2024,373055,4589000165005,20/11/2023,38939.17,0.94,5.17,123210109
09/2024,201039,9247000015006,05/11/2018,190000.00,58.62,2121.36,123210102
09/2024,170098,5213000295002,10/08/2020,41480.21,8.95,227.78,123210101
09/2024,120260,9701259355005,30/03/2016,502998.34,224.06,11655.57,123210101
09/2024,200008,9701155985002,29/10/2020,675546.34,137.95,3327.40,123210101
09/2024,255015,1931000185003,24/04/2013,1931000.00,645.04,45067.75,123210116
09/2024,120260,9701091125008,30/03/2016,551854.91,245.83,12787.69,123210101
09/2024,170021,9701045755002,04/11/2014,305214.85,158.48,9596.37,123210101
09/2024,170062,2531008185002,27/03/2024,30576.34,0.42,1.43,123210124
09/2024,160163,0483000325005,14/04/2016,2121568.34,523.78,27115.00,123210101
09/2024,170127,5819000415005,18/12/2019,98268.58,24.54,721.21,123210101
09/2024,160163,0427001395006,15/04/2024,240579476.88,9083.05,9083.05,123210105
09/2024,160065,9701282065000,28/12/2000,54625.55,68.19,9878.69,123210101
09/2024,513001,9701348485001,31/12/2020,19999.00,3.90,90.03,123210101
09/2024,240021,9707000585000,02/06/2020,7280000.00,915.02,24341.64,123210113
09/2024,170021,9701345395001,25/03/2020,115662.98,27.26,756.36,123210101
09/2024,170211,0283000635001,03/02/2014,21494.54,12.01,782.06,123210101
09/2024,120260,9701328995004,24/06/2015,66825.66,32.47,1840.27,123210101
09/2024,787000,9701320645004,17/05/2019,249990.06,70.18,2313.81,123210101
09/2024,070023,9297000045009,05/04/2023,650000.00,49.56,462.04,123210102
09/2024,373052,3133000165009,23/10/2023,58260.18,1.53,9.17,123210109
09/2024,240013,9701005075000,20/12/2000,532677.60,370.67,53747.56,123210110
09/2024,170211,0255001865005,04/07/2023,324209.88,20.51,160.51,123210101
09/2024,158458,8291000575003,28/04/2023,1939071.37,78.75,704.08,123210107
09/2024,030001,3849008255008,18/12/2023,434978.07,9.50,47.93,123210124
09/2024,200392,1389000305002,28/08/2024,371096.87,0.96,0.97,123210102
09/2024,154040,9701027465006,29/11/2022,1330988.30,125.84,1439.41,123210101
09/2024,154040,9701061145000,29/11/2022,679552.52,64.25,734.91,123210101
09/2024,373053,3765000045000,22/11/2023,63355.79,1.51,8.30,123210109
09/2024,373085,9237000295001,20/11/2023,646076.26,15.56,85.76,123210109
09/2024,153045,1389011285008,31/12/2014,8297745.59,2361.57,140753.33,123210107
09/2024,373047,0486000025006,31/10/2023,106145.07,2.72,15.93,123210109
09/2024,791540,5851002115002,25/03/2019,455677.78,131.40,4448.39,123210101
09/2024,154040,9701239815000,29/11/2022,1507598.54,142.53,1630.40,123210101
09/2024,160065,9701276225009,28/12/2000,214812.00,268.16,38847.40,123210101
09/2024,160176,2531001545003,08/05/2013,145209.24,48.34,3366.37,123210116
09/2024,154039,0225000375002,31/03/2023,5366243.10,229.99,2163.56,123210107
09/2024,170151,7115000215000,24/01/2018,306862.36,107.29,4391.81,123210101
09/2024,090006,1389005995007,31/10/2007,712529.72,632.96,65343.68,123210102
09/2024,782802,3669000105009,24/04/2024,1618680.72,18.71,54.74,123210105
09/2024,153045,1515006015005,31/12/2014,36481.52,18.64,1111.17,123210101
09/2024,112408,9701245115007,05/03/2018,126534.21,43.51,1752.09,123210101
09/2024,160065,9701297145004,28/12/2000,113501.60,141.69,20526.05,123210101
09/2024,170048,1713000525008,22/04/2021,76898.63,13.77,291.85,123210101
09/2024,120260,9701080685007,30/03/2016,113095.34,50.38,2620.67,123210101
09/2024,160014,0283002855009,20/01/2020,65478.56,16.05,462.59,123210101
09/2024,113801,2401003055005,03/03/2023,119986.73,9.72,95.95,123210101
09/2024,373085,0191000065005,23/11/2023,1242500.00,29.61,161.79,123210109
09/2024,158493,9831000335002,16/08/2022,198237.37,12.10,159.68,123210126
09/2024,170127,5879001915005,04/05/2024,43616.10,0.85,2.33,123210101
09/2024,153056,5925000015008,06/12/2022,6602846.95,343.94,3894.23,123210107
09/2024,787000,9701313225003,01/04/2019,578072.82,166.12,5604.11,123210101
09/2024,373058,9011000585003,20/11/2023,455018.60,10.96,60.40,123210109
09/2024,154040,9701019015005,28/11/2022,1292707.31,122.40,1402.18,123210101
09/2024,130074,8531001475008,17/11/2022,151.68,0.01,0.17,123210101
09/2024,787000,9701287535004,17/06/2019,70040.31,19.35,627.95,123210101
09/2024,170127,6001029615004,23/02/2015,42726.59,21.51,1262.22,123210101
09/2024,170021,9701341835007,29/12/2017,352726.01,124.64,5156.32,123210101
09/2024,120257,6001061935000,24/05/2024,44131686.60,982.39,982.39,123210116
09/2024,154039,0213000555007,31/01/2023,498485.87,23.73,246.50,123210107
09/2024,154699,7667001595005,06/12/2018,11373012.72,1926.04,68698.63,123210107
09/2024,373053,3045000125004,23/11/2023,41608.45,0.99,5.42,123210109
09/2024,154040,9701016795000,28/11/2022,1021598.21,96.73,1108.11,123210101
09/2024,112408,9701245515005,19/12/2017,340481.67,120.81,5017.76,123210101
09/2024,742030,7145004835004,26/07/2012,282648.08,180.61,13438.01,123210101
09/2024,173030,6001017295000,31/12/2000,15000.00,10.43,1509.68,123210122
09/2024,170219,0471002035000,21/09/2017,254470.26,93.55,4024.52,123210102
09/2024,154040,9701017105007,25/11/2022,1021598.21,97.18,1118.03,123210101
09/2024,154039,0255010425004,19/01/2023,2971847.35,144.30,1528.14,123210107
09/2024,158503,8951001525005,19/12/2019,726802.46,101.04,2967.27,123210107
09/2024,154040,9701247145000,29/11/2022,2246829.07,212.42,2429.85,123210101
09/2024,170127,6001033015008,28/02/2015,9005.09,4.53,265.27,123210101
09/2024,170021,9701041725001,28/10/2020,1245555.17,254.54,6143.55,123210101
09/2024,120260,9701255545004,30/03/2016,482989.21,215.16,11191.92,123210101
09/2024,160065,9701278875000,28/12/2000,161530.46,201.64,29211.77,123210101
09/2024,160014,0283002795006,20/01/2020,82355.00,20.18,581.81,123210101
09/2024,160140,9063000395002,25/02/2009,10053252.00,4583.88,436316.02,123210105
09/2024,762300,5801000845007,17/01/2023,63985.52,5.60,59.46,123210101
09/2024,120260,9701256185001,30/03/2016,502735.19,223.95,11649.48,123210101
09/2024,170036,1219002155000,22/10/2014,3942308.15,1144.15,69527.67,123210126
09/2024,120265,2531000405003,26/06/2024,472520.84,10.46,10.46,123210102
