REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
08/2022,443033,0070000025004,23/11/2016,5000.00,0.86,29.69,,01/08/2022
08/2022,080002,0241000275000,04/09/2020,554305.38,58.65,701.76,,01/08/2022
08/2022,786810,9063000145006,16/09/2020,2036.45,0.12,1.39,,01/08/2022
08/2022,120259,8371000125000,09/05/2022,2151932.07,17.58,37.41,,01/08/2022
08/2022,160065,9701028585005,28/12/2000,71393.82,83.99,10745.74,,01/08/2022
08/2022,785810,8849000135000,23/11/2013,436454.10,115.38,5989.73,,01/08/2022
08/2022,255017,2529000025004,27/05/2022,316870.44,2.12,3.91,,01/08/2022
08/2022,160065,9701006705008,28/12/2000,68100.96,80.12,10250.12,,01/08/2022
08/2022,160392,8841004715006,11/05/2017,4690081.86,596.78,18804.84,,01/08/2022
08/2022,789300,7563007375008,22/11/2013,101627.73,48.26,2505.89,,01/08/2022
08/2022,373048,2531003205005,11/10/2001,117183.53,132.87,16381.97,,01/08/2022
08/2022,160065,9701022855000,28/12/2000,76245.82,89.71,11476.04,,01/08/2022
08/2022,443033,2537000045006,09/10/2001,751919.37,474.91,58571.83,,01/08/2022
08/2022,170021,9701052425004,09/03/2015,155207.55,62.79,2782.52,,01/08/2022
08/2022,193100,0271000025005,03/03/2015,1076.45,0.19,8.61,,01/08/2022
08/2022,170021,9701040125000,31/03/2020,1152531.19,148.89,2158.43,,01/08/2022
08/2022,170062,2507000015008,09/07/2015,1232153.24,476.07,20160.90,,01/08/2022
08/2022,120259,8589000435004,09/05/2022,431607.43,6.33,13.47,,01/08/2022
08/2022,170021,9701030535001,04/08/2017,406988.10,111.37,3356.58,,01/08/2022
08/2022,193004,1719000025004,02/05/2019,631911.68,113.07,2248.03,,01/08/2022
08/2022,255004,0291000035005,18/05/2017,8942.67,2.55,80.09,,01/08/2022
08/2022,170021,9701051575002,27/10/2020,1145276.36,112.14,1245.96,,01/08/2022
08/2022,783602,2357000045008,05/11/2020,250000.00,13.45,147.45,,01/08/2022
08/2022,110404,9701049875002,15/03/2019,453495.65,84.38,1743.08,,01/08/2022
08/2022,200119,8815000755004,30/01/2013,235147.04,67.96,3853.28,,01/08/2022
08/2022,170036,1123000025004,02/05/2016,746542.46,255.31,9585.05,,01/08/2022
08/2022,158416,5705001965002,10/12/2018,10360494.24,1155.27,25633.79,,01/08/2022
08/2022,373031,0639000505009,09/08/2001,10312.68,11.79,1465.60,,01/08/2022
08/2022,255022,0035000065008,30/11/2015,68885.43,25.13,1006.18,,01/08/2022
08/2022,160176,2559000025006,16/04/2013,3115474.33,880.72,48859.20,,01/08/2022
08/2022,170098,5371000085001,05/10/2020,439885.38,44.52,510.36,,01/08/2022
08/2022,762300,5801001145009,31/10/2019,63985.52,9.72,164.64,,01/08/2022
08/2022,110404,9701064595007,28/12/2007,251724.95,200.35,17370.81,,01/08/2022
08/2022,789000,7107002905002,09/02/2021,140000.00,11.52,108.49,,01/08/2022
08/2022,753000,5927000015004,13/04/2021,1948235.32,142.02,1193.41,,01/08/2022
08/2022,752000,6001000295001,02/08/2017,1095965.06,300.23,9058.34,,01/08/2022
08/2022,110404,9701063135002,28/12/2007,179519.71,142.88,12388.14,,01/08/2022
08/2022,113801,2401003205007,01/07/2019,195172.42,33.18,627.55,,01/08/2022
08/2022,110404,9701063955000,28/12/2007,77053.25,61.33,5317.22,,01/08/2022
08/2022,154046,4921000165001,17/06/2016,141118.65,26.34,969.30,,01/08/2022
08/2022,255013,2897000015002,08/05/2019,10229.31,1.02,20.07,,01/08/2022
08/2022,170199,9221000145003,03/08/2021,1352950.15,42.36,279.53,,01/08/2022
08/2022,193003,1441000675006,30/05/2018,2134636.54,489.07,12381.98,,01/08/2022
08/2022,160488,6861000065000,16/11/2004,1837489.28,987.75,103754.08,,01/08/2022
08/2022,120260,9701076415009,30/03/2016,332980.30,115.51,4398.13,,01/08/2022
