REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
09/2023,170199,9473000015008,05/04/2023,710000.00,16.68,54.03,,01/09/2023
09/2023,080002,0241000275000,04/09/2020,554305.38,88.35,1673.11,,01/09/2023
09/2023,786810,9063000145006,16/09/2020,2036.45,0.18,3.35,,01/09/2023
09/2023,120259,8371000125000,09/05/2022,2151932.07,85.32,745.79,,01/09/2023
09/2023,160065,9701028585005,28/12/2000,71393.82,85.36,11844.90,,01/09/2023
09/2023,785810,8849000135000,23/11/2013,436454.10,125.51,7558.15,,01/09/2023
09/2023,255017,2529000025004,27/05/2022,316870.44,12.11,102.19,,01/09/2023
09/2023,160065,9701006705008,28/12/2000,68100.96,81.43,11298.59,,01/09/2023
09/2023,160392,8841004715006,11/05/2017,4690081.86,696.35,27251.58,,01/09/2023
09/2023,789300,7563007375008,22/11/2013,101627.73,52.49,3161.84,,01/09/2023
09/2023,373048,2531003205005,11/10/2001,117183.53,135.25,18122.27,,01/09/2023
09/2023,160065,9701022855000,28/12/2000,76245.82,91.16,12649.89,,01/09/2023
09/2023,443033,2537000045006,09/10/2001,751919.37,483.47,64792.43,,01/09/2023
09/2023,170021,9701052425004,09/03/2015,155207.55,69.61,3645.30,,01/09/2023
09/2023,193100,0271000025005,03/03/2015,1076.45,0.22,11.28,,01/09/2023
09/2023,170021,9701040125000,31/03/2020,1152531.19,209.78,4521.46,,01/09/2023
09/2023,170062,2507000015008,09/07/2015,1232153.24,530.94,26725.01,,01/09/2023
09/2023,120259,8589000435004,09/05/2022,431607.43,30.73,268.59,,01/09/2023
09/2023,170021,9701030535001,04/08/2017,406988.10,130.97,4940.13,,01/09/2023
09/2023,193004,1719000025004,03/03/2023,1812848.87,51.21,193.86,,01/09/2023
09/2023,255004,0291000035005,18/05/2017,8942.67,2.98,116.21,,01/09/2023
09/2023,170021,9701051575002,27/10/2020,1145276.36,173.80,3137.74,,01/09/2023
09/2023,783602,2357000045008,05/11/2020,250000.00,20.95,375.05,,01/09/2023
09/2023,110404,9701049875002,08/08/2023,453495.65,2.48,3.06,,01/09/2023
09/2023,200119,8815000755004,30/01/2013,235147.04,73.23,4772.10,,01/09/2023
09/2023,170036,1123000025004,02/05/2016,746542.46,289.63,13140.00,,01/09/2023
09/2023,158416,5705001965002,29/11/2022,10218964.94,237.85,1271.63,,01/09/2023
09/2023,373031,0639000505009,09/08/2001,10312.68,11.99,1619.98,,01/09/2023
09/2023,255022,0035000065008,30/11/2015,68885.43,28.26,1354.34,,01/09/2023
09/2023,160176,2559000025006,16/04/2013,3115474.33,951.20,60782.45,,01/09/2023
09/2023,170098,5371000085001,05/10/2020,439885.38,68.15,1255.33,,01/09/2023
09/2023,762300,5801001145009,17/01/2023,63985.52,2.22,10.07,,01/09/2023
09/2023,110404,9701064595007,28/12/2007,251724.95,208.24,20025.40,,01/09/2023
09/2023,789000,7107002905002,09/02/2021,140000.00,19.13,311.85,,01/09/2023
09/2023,753000,5927000015004,13/04/2021,1948235.32,248.48,3790.45,,01/09/2023
09/2023,752000,6001000295001,02/08/2017,1095965.06,353.02,13326.81,,01/09/2023
09/2023,110404,9701063135002,28/12/2007,179519.71,148.51,14281.28,,01/09/2023
09/2023,113801,2401003205007,03/03/2023,527214.41,14.89,56.38,,01/09/2023
