REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
02/2021,789000,7107003155007,09/02/2021,120000.00,0.10,0.10,,01/02/2021
02/2021,158009,7535007615003,26/02/2021,5771741.84,0.03,0.03,,01/02/2021
02/2021,080002,0241000275000,04/09/2020,554305.38,12.15,41.71,,01/02/2021
02/2021,786810,9063000145006,16/09/2020,2036.45,0.02,0.07,,01/02/2021
02/2021,120259,8371000125000,30/08/2018,338050.68,22.77,376.95,,01/02/2021
02/2021,160065,9701028585005,28/12/2000,71393.82,70.62,9306.93,,01/02/2021
02/2021,785810,8849000135000,23/11/2013,436454.10,86.32,4112.40,,01/02/2021
02/2021,255017,2529000025004,03/04/2014,203000.00,38.15,1728.56,,01/02/2021
02/2021,160065,9701006705008,28/12/2000,68100.96,67.36,8877.67,,01/02/2021
02/2021,160392,8841004715006,11/05/2017,4690081.86,385.52,9659.76,,01/02/2021
02/2021,789300,7563007375008,22/11/2013,101627.73,36.10,1720.70,,01/02/2021
02/2021,373048,2531003205005,11/10/2001,117183.53,111.37,14109.03,,01/02/2021
02/2021,160065,9701022855000,28/12/2000,76245.82,75.41,9939.43,,01/02/2021
02/2021,443033,2537000045006,09/10/2001,751919.37,398.12,50447.28,,01/02/2021
02/2021,170021,9701052425004,09/03/2015,155207.55,45.28,1776.58,,01/02/2021
02/2021,193100,0271000025005,03/03/2015,1076.45,0.14,5.51,,01/02/2021
02/2021,170021,9701040125000,31/03/2020,1152531.19,49.61,308.82,,01/02/2021
02/2021,170062,2507000015008,09/07/2015,1232153.24,339.26,12571.44,,01/02/2021
02/2021,120259,8589000435004,18/07/2019,98295.56,7.63,82.47,,01/02/2021
02/2021,170021,9701030535001,04/08/2017,406988.10,70.62,1662.27,,01/02/2021
02/2021,193004,1719000025004,02/05/2019,631911.68,55.59,677.29,,01/02/2021
02/2021,193124,8847000025004,10/07/2019,124589.68,9.80,107.37,,01/02/2021
02/2021,255004,0291000035005,18/05/2017,8942.67,1.64,41.02,,01/02/2021
02/2021,170021,9701051575002,03/02/2015,331990.81,98.38,3919.42,,01/02/2021
02/2021,783602,2357000045008,05/11/2020,250000.00,1.89,4.42,,01/02/2021
02/2021,110404,9701049875002,15/03/2019,453495.65,42.82,558.42,,01/02/2021
02/2021,200119,8815000755004,30/01/2013,235147.04,51.74,2739.26,,01/02/2021
02/2021,170036,1123000025004,02/05/2016,746542.46,175.63,5573.44,,01/02/2021
02/2021,158416,5705001965002,10/12/2018,10360494.24,618.56,9115.42,,01/02/2021
02/2021,373031,0639000505009,09/08/2001,10312.68,9.89,1263.85,,01/02/2021
02/2021,255022,0035000065008,30/11/2015,68885.43,17.64,608.05,,01/02/2021
02/2021,160176,2559000025006,16/04/2013,3115474.33,667.70,34447.24,,01/02/2021
02/2021,170098,5371000085001,05/10/2020,439885.38,7.81,22.52,,01/02/2021
02/2021,762300,5801001145009,31/10/2019,63985.52,4.06,36.30,,01/02/2021
02/2021,110404,9701064595007,28/12/2007,251724.95,162.42,13994.62,,01/02/2021
02/2021,789000,7107002905002,09/02/2021,140000.00,0.12,0.12,,01/02/2021
02/2021,753000,5927000015004,06/08/2018,1778356.04,220.79,3750.27,,01/02/2021
02/2021,752000,6001000295001,02/08/2017,1095965.06,190.46,4490.01,,01/02/2021
02/2021,110404,9701063135002,28/12/2007,179519.71,115.83,9980.38,,01/02/2021
02/2021,113801,2401003205007,01/07/2019,195172.42,15.60,173.30,,01/02/2021
02/2021,110404,9701063955000,28/12/2007,77053.25,49.72,4283.77,,01/02/2021
02/2021,154046,4921000165001,17/06/2016,141118.65,18.00,556.52,,01/02/2021
02/2021,255013,2897000015002,08/05/2019,10229.31,0.50,6.00,,01/02/2021
02/2021,193003,1441000675006,30/05/2018,2134646.59,284.55,5178.72,,01/02/2021
