REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
04/2021,789000,7107006635000,10/02/2021,7000.00,0.04,0.06,,01/04/2021
04/2021,789000,7107006895001,10/02/2021,7000.00,0.04,0.06,,01/04/2021
04/2021,789000,7107006995006,10/02/2021,7000.00,0.04,0.06,,01/04/2021
04/2021,789000,7107003035001,09/02/2021,120000.00,1.12,1.84,,01/04/2021
04/2021,753000,5927000105003,13/04/2021,806419.34,0.31,0.31,,01/04/2021
04/2021,373044,1151000045000,19/04/2021,882784.97,0.14,0.14,,01/04/2021
04/2021,080002,0241000275000,04/09/2020,554305.38,17.82,75.42,,01/04/2021
04/2021,786810,9063000145006,16/09/2020,2036.45,0.04,0.14,,01/04/2021
04/2021,120259,8371000125000,30/08/2018,338050.68,26.02,429.00,,01/04/2021
04/2021,160065,9701028585005,28/12/2000,71393.82,76.27,9461.69,,01/04/2021
04/2021,785810,8849000135000,23/11/2013,436454.10,94.58,4303.61,,01/04/2021
04/2021,255017,2529000025004,03/04/2014,203000.00,41.86,1813.16,,01/04/2021
04/2021,160065,9701006705008,28/12/2000,68100.96,72.75,9025.29,,01/04/2021
04/2021,160392,8841004715006,11/05/2017,4690081.86,431.08,10526.84,,01/04/2021
04/2021,789300,7563007375008,22/11/2013,101627.73,39.56,1800.68,,01/04/2021
04/2021,373048,2531003205005,11/10/2001,117183.53,120.35,14353.21,,01/04/2021
04/2021,160065,9701022855000,28/12/2000,76245.82,81.46,10104.72,,01/04/2021
04/2021,443033,2537000045006,09/10/2001,751919.37,430.18,51320.07,,01/04/2021
04/2021,170021,9701052425004,09/03/2015,155207.55,49.86,1877.25,,01/04/2021
04/2021,193100,0271000025005,03/03/2015,1076.45,0.16,5.82,,01/04/2021
04/2021,170021,9701040125000,31/03/2020,1152531.19,63.12,431.93,,01/04/2021
04/2021,170062,2507000015008,09/07/2015,1232153.24,374.15,13326.61,,01/04/2021
04/2021,120259,8589000435004,18/07/2019,98295.56,9.03,100.37,,01/04/2021
04/2021,170021,9701030535001,04/08/2017,406988.10,79.18,1821.42,,01/04/2021
04/2021,193004,1719000025004,02/05/2019,631911.68,65.02,806.63,,01/04/2021
04/2021,193124,8847000025004,10/07/2019,124589.68,11.58,130.36,,01/04/2021
04/2021,255004,0291000035005,18/05/2017,8942.67,1.84,44.73,,01/04/2021
04/2021,170021,9701051575002,03/02/2015,331990.81,108.28,4138.07,,01/04/2021
04/2021,783602,2357000045008,05/11/2020,250000.00,3.23,10.36,,01/04/2021
04/2021,110404,9701049875002,15/03/2019,453495.65,49.81,657.63,,01/04/2021
04/2021,200119,8815000755004,30/01/2013,235147.04,56.56,2853.67,,01/04/2021
04/2021,170036,1123000025004,02/05/2016,746542.46,194.63,5965.80,,01/04/2021
04/2021,158416,5705001965002,10/12/2018,10360494.24,712.64,10538.24,,01/04/2021
04/2021,373031,0639000505009,09/08/2001,10312.68,10.68,1285.53,,01/04/2021
04/2021,255022,0035000065008,30/11/2015,68885.43,19.49,647.36,,01/04/2021
04/2021,160176,2559000025006,16/04/2013,3115474.33,730.40,35924.52,,01/04/2021
04/2021,170098,5371000085001,05/10/2020,439885.38,12.17,45.27,,01/04/2021
04/2021,762300,5801001145009,31/10/2019,63985.52,4.91,45.99,,01/04/2021
04/2021,110404,9701064595007,28/12/2007,251724.95,176.21,14351.76,,01/04/2021
04/2021,789000,7107002905002,09/02/2021,140000.00,1.31,2.15,,01/04/2021
04/2021,753000,5927000015004,13/04/2021,1948235.32,1.35,1.35,,01/04/2021
04/2021,752000,6001000295001,02/08/2017,1095965.06,213.54,4919.24,,01/04/2021
04/2021,110404,9701063135002,28/12/2007,179519.71,125.66,10235.07,,01/04/2021
04/2021,113801,2401003205007,01/07/2019,195172.42,18.39,209.81,,01/04/2021
04/2021,110404,9701063955000,28/12/2007,77053.25,53.94,4393.09,,01/04/2021
04/2021,154046,4921000165001,17/06/2016,141118.65,19.96,596.76,,01/04/2021
04/2021,255013,2897000015002,08/05/2019,10229.31,0.58,7.15,,01/04/2021
04/2021,193003,1441000675006,30/05/2018,2134646.59,323.33,5826.46,,01/04/2021
04/2021,160488,6861000065000,16/11/2004,1837489.28,883.99,88753.17,,01/04/2021
04/2021,120260,9701076415009,30/03/2016,332980.30,88.40,2758.08,,01/04/2021
04/2021,153052,9373001305003,31/10/2018,27455506.00,1976.64,30547.36,,01/04/2021
04/2021,080009,5865000435000,23/12/2015,555927.28,155.43,5103.59,,01/04/2021
04/2021,785340,8161000455000,29/11/2015,79873.99,22.61,751.38,,01/04/2021
04/2021,785340,8161000405002,29/11/2015,100203.85,28.36,942.63,,01/04/2021
04/2021,193114,0505000145001,23/10/2019,75418.13,5.87,55.80,,01/04/2021
04/2021,110120,0255001855000,30/03/2021,836045.79,1.93,1.93,,01/04/2021
04/2021,160219,8267000015005,08/06/2020,7377.55,0.33,1.88,,01/04/2021
04/2021,400081,8105001645006,04/04/2019,2385507.41,255.10,3283.50,,01/04/2021
04/2021,170053,2211000015007,05/09/2012,52650.00,23.86,1262.01,,01/04/2021
04/2021,170199,9249000045009,27/12/2012,144424.25,63.09,3218.58,,01/04/2021
04/2021,200356,6001016235003,07/03/2017,91055.05,10.97,279.57,,01/04/2021
04/2021,443033,1559000085003,20/08/2001,146879.02,84.62,10165.64,,01/04/2021
04/2021,170164,7731000035001,31/07/2020,8744019.94,144.50,695.69,,01/04/2021
04/2021,060001,9701049335008,04/12/2014,388376.05,130.08,5103.61,,01/04/2021
04/2021,160065,9701048085008,01/12/2014,337105.08,113.05,4441.23,,01/04/2021
04/2021,170021,9701041605006,01/12/2014,352026.95,118.05,4637.82,,01/04/2021
04/2021,170021,9701042105007,01/12/2014,280440.04,94.05,3694.69,,01/04/2021
04/2021,170021,9701037275005,25/05/2020,1183130.20,55.41,328.51,,01/04/2021
04/2021,110404,9701036765009,04/08/2017,685372.45,133.35,3067.30,,01/04/2021
04/2021,110001,9701031875000,02/10/2019,408405.57,33.02,325.46,,01/04/2021
04/2021,170021,9701030245003,02/10/2019,244948.20,19.80,195.20,,01/04/2021
04/2021,130077,9047001995001,04/05/2015,245803.98,42.87,1574.12,,01/04/2021
04/2021,160140,9047000305001,09/12/2020,670125.00,6.84,18.08,,01/04/2021
04/2021,170067,2845000055001,10/06/2015,62938.55,19.38,699.46,,01/04/2021
04/2021,158381,2785000515005,14/05/2018,15202007.03,1301.88,23807.30,,01/04/2021
04/2021,153103,1761000105009,19/10/2015,37620988.80,6054.13,205346.67,,01/04/2021
04/2021,120260,9701005405000,24/02/2016,4363071.69,657.30,20892.45,,01/04/2021
04/2021,751500,5851000145001,30/11/2015,6321.89,1.00,33.09,,01/04/2021
04/2021,090006,1389000015004,20/08/2001,2590582.84,2679.87,321945.12,,01/04/2021
04/2021,255006,1537000405007,27/11/2017,79191.26,7.85,165.52,,01/04/2021
04/2021,170127,6001013775007,27/01/2015,2234410.13,407.09,15605.94,,01/04/2021
04/2021,784320,0921002715007,19/05/2005,35000.00,29.31,2852.49,,01/04/2021
04/2021,153045,1389008975007,31/12/2014,291000.00,53.65,2080.77,,01/04/2021
04/2021,153045,1389011945008,31/12/2014,1977700.00,364.61,14141.35,,01/04/2021
