REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
02/2024,200366,7493000385003,10/11/2023,1100000.00,14.78,32.55,
02/2024,403201,6001012395006,19/02/2024,1701865.59,0.41,0.41,
02/2024,373055,5221000065008,21/11/2023,5700.00,0.04,0.08,
02/2024,170112,9809000175009,22/02/2024,700000.00,0.05,0.05,
02/2024,373040,0939000125000,01/11/2023,812.00,0.01,0.02,
02/2024,80002,0241000275000,04/09/2020,554305.38,97.19,2157.60,
02/2024,786810,9063000145006,16/09/2020,2036.45,0.20,4.33,
02/2024,120259,8371000125000,09/05/2022,2151932.07,107.94,1257.73,
02/2024,160065,9701028585005,28/12/2000,71393.82,84.03,12282.13,
02/2024,785810,8849000135000,23/11/2013,436454.10,126.49,8210.24,
02/2024,255017,2529000025004,27/05/2022,316870.44,15.45,175.25,
02/2024,160065,9701006705008,28/12/2000,68100.96,80.15,11715.64,
02/2024,160392,8841004715006,11/05/2017,4690081.86,717.42,30918.25,
02/2024,789300,7563007375008,22/11/2013,101627.73,52.91,3434.56,
02/2024,373048,2531003205005,11/10/2001,117183.53,133.24,18815.36,
02/2024,160065,9701022855000,28/12/2000,76245.82,89.74,13116.83,
02/2024,443033,2537000045006,09/10/2001,751919.37,476.25,67269.80,
02/2024,170021,9701052425004,09/03/2015,155207.55,70.59,4008.30,
02/2024,193100,0271000025005,03/03/2015,1076.45,0.22,12.40,
02/2024,170021,9701040125000,31/03/2020,1152531.19,227.28,5660.95,
02/2024,170062,2507000015008,09/07/2015,1232153.24,539.43,29497.02,
02/2024,120259,8589000435004,09/05/2022,431607.43,38.88,452.96,
02/2024,170021,9701030535001,04/08/2017,406988.10,135.26,5630.78,
02/2024,193004,1719000025004,03/03/2023,1812848.87,88.01,573.77,
02/2024,255004,0291000035005,18/05/2017,8942.67,3.07,131.90,
02/2024,170021,9701051575002,27/10/2020,1145276.36,192.34,4094.44,
02/2024,783602,2357000045008,05/11/2020,250000.00,23.21,490.44,
02/2024,110404,9701049875002,08/08/2023,453495.65,12.04,45.78,
02/2024,200119,8815000755004,30/01/2013,235147.04,73.57,5151.82,
02/2024,170036,1123000025004,02/05/2016,746542.46,295.84,14657.07,
02/2024,158416,5705001965002,29/11/2022,10218964.94,350.83,2854.92,
02/2024,373031,0639000505009,09/08/2001,10312.68,11.81,1681.45,
02/2024,255022,0035000065008,30/11/2015,68885.43,28.78,1502.07,
02/2024,160176,2559000025006,16/04/2013,3115474.33,956.35,65717.13,
02/2024,170098,5371000085001,05/10/2020,439885.38,75.23,1629.85,
02/2024,762300,5801001145009,17/01/2023,63985.52,3.50,25.58,
02/2024,110404,9701064595007,28/12/2007,251724.95,206.64,21097.18,
02/2024,789000,7107002905002,09/02/2021,140000.00,21.46,418.06,
02/2024,753000,5927000015004,13/04/2021,1948235.32,281.60,5178.90,
02/2024,752000,6001000295001,02/08/2017,1095965.06,364.53,15188.22,
02/2024,110404,9701063135002,28/12/2007,179519.71,147.37,15045.63,
02/2024,113801,2401003205007,03/03/2023,527214.41,25.59,166.86,
02/2024,110404,9701063955000,28/12/2007,77053.25,63.26,6457.87,
02/2024,154046,4921000165001,28/11/2022,192842.34,6.63,54.11,
02/2024,255013,2897000015002,08/05/2019,10229.31,1.38,42.29,
02/2024,170199,9221000145003,03/10/2022,1352950.15,52.43,478.15,
02/2024,193003,1441000675006,03/03/2023,10377736.99,503.86,3284.59,
02/2024,160488,6861000065000,16/11/2004,1837489.28,1002.15,121960.21,
02/2024,120260,9701076415009,30/03/2016,332980.30,133.48,6689.28,
02/2024,153052,9373001305003,22/06/2021,27607737.35,2072.35,35612.99,
02/2024,80009,5865000435000,27/05/2023,2796000.00,102.64,519.03,
02/2024,785344,8161000455000,29/11/2015,79873.99,33.37,1742.83,
02/2024,785344,8161000405002,29/11/2015,100203.85,41.87,2186.43,
02/2024,170211,0255001855000,04/07/2023,367902.93,11.56,50.90,
02/2024,160219,8267000015005,08/06/2022,7851.80,0.68,7.51,
02/2024,400081,8105001645006,04/04/2019,2385507.41,590.73,18400.14,
02/2024,170053,2211000015007,05/09/2012,52650.00,30.65,2224.43,
02/2024,170199,9249000045009,27/12/2012,144424.25,81.82,5777.47,
02/2024,200356,6001016235003,20/12/2023,12000.00,0.05,0.08,
02/2024,443033,1559000085003,20/08/2001,146879.02,93.60,13301.57,
02/2024,170164,7731000035001,05/12/2022,14900000.00,402.70,3235.35,
02/2024,60001,9701049335008,04/12/2014,388376.05,181.77,10619.57,
02/2024,160065,9701048085008,01/12/2014,337105.08,157.92,9234.04,
02/2024,170021,9701041605006,23/10/2020,1247307.57,210.17,4488.49,
02/2024,170021,9701042105007,01/12/2014,280440.04,131.37,7681.86,
02/2024,170021,9701037275005,25/05/2020,1183130.20,224.25,5372.82,
02/2024,110404,9701036765009,09/08/2023,685372.45,18.09,68.51,
