REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
07/2020,153045,1515006395002,31/12/2014,240.00,0.04,1.33,,01/07/2020
07/2020,080002,0241000275000,25/10/2017,459524.59,68.05,1125.94,,01/07/2020
07/2020,786810,9063000145006,11/12/2019,2036.45,0.04,0.15,,01/07/2020
07/2020,120259,8371000125000,30/08/2018,338050.68,19.21,222.21,,01/07/2020
07/2020,160065,9701028585005,28/12/2000,71393.82,75.91,8778.98,,01/07/2020
07/2020,785810,8849000135000,23/11/2013,436454.10,87.84,3481.65,,01/07/2020
07/2020,255017,2529000025004,03/04/2014,203000.00,38.65,1450.28,,01/07/2020
07/2020,160065,9701006705008,28/12/2000,68100.96,72.40,8374.07,,01/07/2020
07/2020,160392,8841004715006,11/05/2017,4690081.86,360.56,6936.10,,01/07/2020
07/2020,789300,7563007375008,22/11/2013,101627.73,36.74,1456.88,,01/07/2020
07/2020,373048,2531003205005,11/10/2001,117183.53,119.59,13276.74,,01/07/2020
07/2020,160065,9701022855000,28/12/2000,76245.82,81.07,9375.61,,01/07/2020
07/2020,443033,2537000045006,09/10/2001,751919.37,427.46,47472.21,,01/07/2020
07/2020,170021,9701052425004,09/03/2015,155207.55,45.20,1448.27,,01/07/2020
07/2020,193100,0271000025005,03/03/2015,1076.45,0.14,4.49,,01/07/2020
07/2020,170021,9701040125000,31/03/2020,1152531.19,18.28,41.20,,01/07/2020
07/2020,170062,2507000015008,09/07/2015,1232153.24,336.44,10118.19,,01/07/2020
07/2020,120259,8589000435004,18/07/2019,98295.56,5.32,33.91,,01/07/2020
07/2020,170021,9701030535001,04/08/2017,406988.10,65.24,1165.71,,01/07/2020
07/2020,193004,1719000025004,02/05/2019,631911.68,41.45,315.61,,01/07/2020
07/2020,193124,8847000025004,10/07/2019,124589.68,6.89,44.82,,01/07/2020
07/2020,255004,0291000035005,18/05/2017,8942.67,1.53,29.40,,01/07/2020
07/2020,170021,9701051575002,03/02/2015,331990.81,98.36,3205.67,,01/07/2020
07/2020,783602,2357000045008,30/10/2018,25537.52,1.32,13.99,,01/07/2020
07/2020,110404,9701049875002,15/03/2019,453495.65,32.99,276.69,,01/07/2020
07/2020,200119,8815000755004,30/01/2013,235147.04,53.12,2359.82,,01/07/2020
07/2020,170036,1123000025004,02/05/2016,746542.46,170.70,4313.62,,01/07/2020
07/2020,158416,5705001965002,10/12/2018,10360494.24,501.38,4972.66,,01/07/2020
07/2020,373031,0639000505009,09/08/2001,10312.68,10.62,1189.95,,01/07/2020
07/2020,255022,0035000065008,30/11/2015,68885.43,17.33,480.99,,01/07/2020
07/2020,160176,2559000025006,16/04/2013,3115474.33,684.08,29554.33,,01/07/2020
07/2020,170098,5371000085001,02/08/2018,439885.38,46.74,561.51,,01/07/2020
07/2020,762300,5801001145009,31/10/2019,63985.52,2.46,11.54,,01/07/2020
07/2020,110404,9701064595007,28/12/2007,251724.95,171.82,12788.43,,01/07/2020
07/2020,789000,7107002905002,11/07/2005,140000.00,114.33,10168.57,,01/07/2020
07/2020,753000,5927000015004,06/08/2018,1778356.04,187.90,2245.22,,01/07/2020
07/2020,752000,6001000295001,02/08/2017,1095965.06,176.03,3150.62,,01/07/2020
07/2020,110404,9701063135002,28/12/2007,179519.71,122.54,9120.18,,01/07/2020
07/2020,113801,2401003205007,01/07/2019,195172.42,11.05,73.51,,01/07/2020
07/2020,110404,9701063955000,28/12/2007,77053.25,52.59,3914.55,,01/07/2020
07/2020,154046,4921000165001,17/06/2016,141118.65,17.43,427.57,,01/07/2020
07/2020,255013,2897000015002,08/05/2019,10229.31,0.37,2.77,,01/07/2020
07/2020,193003,1441000675006,30/05/2018,2134646.59,247.16,3224.31,,01/07/2020
07/2020,160488,6861000065000,16/11/2004,1837489.28,871.77,80871.91,,01/07/2020
07/2020,120260,9701076415009,30/03/2016,332980.30,77.78,2006.75,,01/07/2020
07/2020,153052,9373001305003,31/10/2018,9588744.00,495.85,5237.43,,01/07/2020
07/2020,153052,9373007015007,31/10/2018,1921744.00,99.38,1049.67,,01/07/2020
07/2020,153052,9373007035008,30/10/2018,12055500.00,624.40,6605.41,,01/07/2020
07/2020,153052,9373007025002,30/10/2018,2434168.00,126.07,1333.72,,01/07/2020
07/2020,080009,5865000435000,23/12/2015,555927.28,137.97,3777.76,,01/07/2020
07/2020,785340,8161000455000,29/11/2015,79873.99,20.11,558.38,,01/07/2020
07/2020,785340,8161000405002,29/11/2015,100203.85,25.23,700.50,,01/07/2020
07/2020,193114,0505000145001,07/07/2017,75418.13,12.41,227.24,,01/07/2020
07/2020,110120,0255001855000,08/04/2019,765249.08,52.94,423.50,,01/07/2020
07/2020,160219,8267000015005,08/06/2020,7377.55,0.04,0.05,,01/07/2020
07/2020,400081,8105001645006,04/04/2019,2385507.41,166.44,1342.26,,01/07/2020
07/2020,170053,2211000015007,05/09/2012,52650.00,22.51,1053.31,,01/07/2020
07/2020,170199,9249000045009,27/12/2012,144424.25,59.31,2667.50,,01/07/2020
07/2020,200356,6001016235003,07/03/2017,91055.05,9.26,187.89,,01/07/2020
07/2020,443033,1559000085003,20/08/2001,146879.02,84.10,9408.63,,01/07/2020
07/2020,170164,7731000035001,31/08/2017,5879198.48,408.38,7118.67,,01/07/2020
07/2020,060001,9701049335008,04/12/2014,388376.05,118.60,3981.78,,01/07/2020
07/2020,160065,9701048085008,01/12/2014,337105.08,103.09,3466.18,,01/07/2020
07/2020,170021,9701041605006,01/12/2014,352026.95,107.65,3619.60,,01/07/2020
07/2020,170021,9701042105007,01/12/2014,280440.04,85.76,2883.53,,01/07/2020
07/2020,170021,9701037275005,25/05/2020,1183130.20,12.76,12.76,,01/07/2020
07/2020,110404,9701036765009,04/08/2017,685372.45,109.87,1963.07,,01/07/2020
07/2020,110001,9701031875000,02/10/2019,408405.57,17.48,90.06,,01/07/2020
07/2020,110001,9701030245003,02/10/2019,244948.20,10.49,54.02,,01/07/2020
07/2020,130077,9047001995001,04/05/2015,245803.98,38.73,1205.82,,01/07/2020
07/2020,170192,9047001865000,24/04/2018,1866885.25,125.95,1716.25,,01/07/2020
07/2020,160140,9047000305001,17/03/2009,670125.00,230.01,15468.33,,01/07/2020
07/2020,170067,2845000055001,10/06/2015,62938.55,17.46,533.18,,01/07/2020
07/2020,158381,2785000515005,14/05/2018,15202007.03,1000.44,13309.22,,01/07/2020
07/2020,153103,1761000105009,19/10/2015,37620988.80,5402.52,153592.71,,01/07/2020
07/2020,120260,9701005405000,24/02/2016,4363071.69,580.24,15298.21,,01/07/2020
07/2020,751500,5851000145001,30/11/2015,6321.89,0.88,24.58,,01/07/2020
07/2020,090006,1389000015004,20/08/2001,2590582.84,2663.68,297970.94,,01/07/2020
07/2020,255006,1537000405007,27/11/2017,79191.26,6.32,101.12,,01/07/2020
07/2020,170127,6001013775007,27/01/2015,2234410.13,369.98,12099.67,,01/07/2020
07/2020,784320,0921002715007,19/05/2005,35000.00,28.86,2591.38,,01/07/2020
07/2020,153045,1389008975007,31/12/2014,291000.00,48.84,1618.39,,01/07/2020
07/2020,153045,1389011945008,31/12/2014,1977700.00,331.90,10998.91,,01/07/2020
07/2020,153045,1389008345003,31/12/2014,10700.00,1.80,59.51,,01/07/2020
07/2020,153045,1389008395000,31/12/2014,3100.00,0.52,17.24,,01/07/2020
07/2020,153045,1389008425007,31/12/2014,2300.00,0.38,12.79,,01/07/2020
07/2020,153045,1389008435002,31/12/2014,56100.00,9.42,312.00,,01/07/2020
07/2020,153045,1389008415001,31/12/2014,45100.00,7.57,250.82,,01/07/2020
07/2020,153045,1389008405006,31/12/2014,2800.00,0.47,15.57,,01/07/2020
07/2020,153045,1389008385005,31/12/2014,11840.00,1.99,65.85,,01/07/2020
07/2020,153045,1389008375000,31/12/2014,253300.00,42.51,1408.72,,01/07/2020
07/2020,153045,1389008365004,31/12/2014,74200.00,12.45,412.66,,01/07/2020
07/2020,153045,1389008355009,31/12/2014,19800.00,3.33,110.12,,01/07/2020
07/2020,393018,5637000045009,12/09/2012,39659.11,9.41,439.72,,01/07/2020
07/2020,255002,2833000125006,16/01/2020,63997.58,1.73,5.97,,01/07/2020
07/2020,120260,9701075255008,30/03/2016,216984.75,50.69,1307.69,,01/07/2020
07/2020,160065,9701023065003,28/12/2000,76245.82,81.07,9375.61,,01/07/2020
07/2020,154043,5403000315009,27/10/2004,432048.15,205.70,19148.22,,01/07/2020
07/2020,170021,9701039735003,01/12/2014,232830.94,71.20,2394.01,,01/07/2020
07/2020,153063,0411003485006,30/12/2005,1429066.80,629.53,54246.61,,01/07/2020
07/2020,784000,0803000295006,23/03/2016,172104.34,40.38,1046.40,,01/07/2020
07/2020,160298,5819000125007,29/06/2015,304.51,0.09,2.53,,01/07/2020
07/2020,170098,5219000015009,19/11/2018,196179.75,9.84,100.88,,01/07/2020
07/2020,120260,9701092935003,30/03/2016,150142.10,35.07,904.85,,01/07/2020
07/2020,120260,9701090005009,30/03/2016,223490.29,52.20,1346.89,,01/07/2020
07/2020,170127,6001034785001,25/03/2015,15325.47,4.42,140.69,,01/07/2020
07/2020,120260,9701089295007,30/03/2016,120116.31,28.06,723.90,,01/07/2020
07/2020,120260,9701088345000,30/03/2016,204528.68,47.78,1232.62,,01/07/2020
07/2020,130074,8841003235000,26/11/2018,4283.81,0.38,3.87,,01/07/2020
07/2020,130074,8841000345000,26/11/2018,179171.97,15.95,161.72,,01/07/2020
07/2020,201033,0017000145003,19/06/2017,121586.99,20.32,378.21,,01/07/2020
07/2020,154040,9701016945001,22/05/2018,694145.98,81.20,1069.75,,01/07/2020
07/2020,154040,9701017935000,15/05/2018,904700.72,106.77,1418.70,,01/07/2020
07/2020,154040,9701020765004,19/09/2015,192434.99,28.12,812.86,,01/07/2020
07/2020,154040,9701022385004,19/09/2015,183260.00,26.77,774.10,,01/07/2020
07/2020,154040,9701024875009,19/09/2015,669096.33,175.52,5074.90,,01/07/2020
07/2020,154040,9701026005001,19/09/2015,660520.25,173.27,5009.86,,01/07/2020
07/2020,154040,9701026705003,19/09/2015,637960.40,167.36,4838.75,,01/07/2020
07/2020,154040,9701027645004,19/09/2015,629066.90,165.02,4771.29,,01/07/2020
07/2020,170036,1069000015000,24/12/2004,112944.23,95.58,8807.92,,01/07/2020
07/2020,154040,9701060335000,19/09/2015,549117.87,144.05,4164.90,,01/07/2020
07/2020,154040,9701061275001,11/05/2018,479834.30,56.92,759.92,,01/07/2020
07/2020,160298,5893000015006,26/10/2015,177.36,0.03,0.72,,01/07/2020
07/2020,120260,9701081315009,30/03/2016,159675.76,37.30,962.31,,01/07/2020
07/2020,120260,9701082415007,30/03/2016,156055.53,36.45,940.49,,01/07/2020
07/2020,120260,9701084265002,30/03/2016,276481.00,64.58,1666.25,,01/07/2020
07/2020,120260,9701085665004,30/03/2016,56243.95,13.14,338.96,,01/07/2020
07/2020,120260,9701086725000,30/03/2016,255072.34,59.58,1537.23,,01/07/2020
07/2020,160065,9701028985003,28/12/2000,71393.82,75.91,8778.98,,01/07/2020
07/2020,789000,7107001705000,06/09/2005,296445.18,239.56,21087.53,,01/07/2020
07/2020,130067,6469000085001,31/05/2010,304480.20,167.71,10088.05,,01/07/2020
