REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
07/2021,158322,1595000085000,24/04/2019,124284.81,8.39,114.26,,01/07/2021
07/2021,154628,8723000175002,22/05/2018,850592.81,81.16,1546.94,,01/07/2021
07/2021,373044,1123000095002,05/05/2021,64946.70,0.39,0.66,,01/07/2021
07/2021,373085,0359000285004,25/05/2018,132848.81,12.65,240.37,,01/07/2021
07/2021,373044,1115002675005,05/05/2021,13993.66,0.08,0.14,,01/07/2021
07/2021,373080,9433000535002,23/05/2018,430730.26,41.06,782.01,,01/07/2021
07/2021,373044,1007000425004,31/05/2021,2413.44,0.01,0.01,,01/07/2021
07/2021,373044,0268000085008,27/05/2021,49708.00,0.20,0.28,,01/07/2021
07/2021,373085,0183000065004,28/05/2018,33473.59,3.18,60.25,,01/07/2021
07/2021,373085,9237000195007,28/05/2018,861783.27,81.80,1551.20,,01/07/2021
07/2021,373044,1037000235002,05/05/2021,7213.04,0.04,0.07,,01/07/2021
07/2021,373044,1037000255003,25/04/2018,63823.19,6.23,121.51,,01/07/2021
07/2021,373044,1005000325003,04/05/2021,102956.17,0.62,1.07,,01/07/2021
07/2021,373085,9409000135001,28/05/2018,4704.00,0.45,8.47,,01/07/2021
07/2021,373085,9719000105001,28/05/2018,140113.09,13.30,252.20,,01/07/2021
07/2021,373080,9571003125009,10/05/2018,81916.38,7.90,152.06,,01/07/2021
07/2021,373044,1123000115003,18/06/2021,13394.22,0.03,0.03,,01/07/2021
07/2021,373044,1215001865001,10/06/2021,2636.51,0.01,0.01,,01/07/2021
07/2021,373044,1007000485007,31/05/2021,63664.18,0.24,0.32,,01/07/2021
07/2021,373053,3799000025003,28/05/2018,56500.55,5.36,101.70,,01/07/2021
07/2021,373053,3353000325003,28/05/2018,119867.97,11.38,215.76,,01/07/2021
07/2021,373085,9243000475004,28/05/2018,545381.26,51.77,981.68,,01/07/2021
07/2021,373085,9409000155002,25/05/2018,63678.31,6.06,115.21,,01/07/2021
07/2021,373085,9243000495005,28/05/2018,103117.83,9.79,185.61,,01/07/2021
07/2021,373053,3949000285001,05/09/2018,722078.00,62.55,1085.30,,01/07/2021
07/2021,373053,3717000095007,28/05/2018,249618.17,23.69,449.31,,01/07/2021
07/2021,373053,3943000585006,28/05/2018,239913.90,22.77,431.84,,01/07/2021
07/2021,373085,0167000155001,25/05/2018,108806.89,10.36,196.87,,01/07/2021
07/2021,373085,9239000045001,28/05/2018,69597.81,6.61,125.28,,01/07/2021
07/2021,373053,3779000105002,29/05/2018,106069.96,10.06,190.60,,01/07/2021
07/2021,170098,4931000025002,13/08/2020,48258.49,1.35,8.00,,01/07/2021
07/2021,373044,1179000045000,10/06/2021,44448.00,0.13,0.15,,01/07/2021
07/2021,373085,9719000125002,25/05/2018,537482.00,51.15,972.47,,01/07/2021
07/2021,373085,9243000515006,25/05/2018,102209.50,9.73,184.93,,01/07/2021
