REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
09/2021,201035,0139003075003,11/05/2021,180000.00,3.30,8.72,,01/09/2021
09/2021,153115,6001000695000,23/09/2021,4882290.85,0.32,0.32,,01/09/2021
09/2021,153115,6001000715000,24/09/2021,6131715.75,0.30,0.30,,01/09/2021
09/2021,158268,8675000645005,01/10/2018,9848.03,0.86,15.80,,01/09/2021
09/2021,170151,7099006405000,24/09/2021,1010947.56,0.05,0.05,,01/09/2021
09/2021,170151,7099006425000,24/09/2021,206814.20,0.01,0.01,,01/09/2021
09/2021,170151,7099006445001,24/09/2021,184024.50,0.01,0.01,,01/09/2021
09/2021,170151,7099006465002,24/09/2021,184024.50,0.01,0.01,,01/09/2021
09/2021,170098,4877000325008,20/09/2021,1980099.00,0.21,0.21,,01/09/2021
09/2021,170070,3105003755006,24/09/2021,704939.01,0.03,0.03,,01/09/2021
09/2021,080002,0241000275000,04/09/2020,554305.38,30.04,203.55,,01/09/2021
09/2021,786810,9063000145006,16/09/2020,2036.45,0.06,0.39,,01/09/2021
09/2021,120259,8371000125000,30/08/2018,338050.68,30.17,574.36,,01/09/2021
09/2021,160065,9701028585005,28/12/2000,71393.82,77.84,9855.48,,01/09/2021
09/2021,785810,8849000135000,23/11/2013,436454.10,99.94,4802.32,,01/09/2021
09/2021,255017,2529000025004,03/04/2014,203000.00,44.35,2034.23,,01/09/2021
09/2021,160065,9701006705008,28/12/2000,68100.96,74.25,9400.92,,01/09/2021
09/2021,160392,8841004715006,11/05/2017,4690081.86,477.06,12865.58,,01/09/2021
09/2021,789300,7563007375008,22/11/2013,101627.73,41.80,2009.27,,01/09/2021
09/2021,373048,2531003205005,11/10/2001,117183.53,122.93,14974.85,,01/09/2021
09/2021,160065,9701022855000,28/12/2000,76245.82,83.14,10525.27,,01/09/2021
09/2021,443033,2537000045006,09/10/2001,751919.37,439.41,53542.12,,01/09/2021
09/2021,170021,9701052425004,09/03/2015,155207.55,53.28,2141.97,,01/09/2021
09/2021,193100,0271000025005,03/03/2015,1076.45,0.17,6.64,,01/09/2021
09/2021,170021,9701040125000,31/03/2020,1152531.19,88.53,831.34,,01/09/2021
09/2021,170062,2507000015008,09/07/2015,1232153.24,401.32,15317.64,,01/09/2021
09/2021,120259,8589000435004,18/07/2019,98295.56,11.19,153.00,,01/09/2021
09/2021,170021,9701030535001,04/08/2017,406988.10,88.16,2252.63,,01/09/2021
09/2021,193004,1719000025004,02/05/2019,631911.68,78.96,1180.75,,01/09/2021
09/2021,193124,8847000025004,10/07/2019,124589.68,14.33,197.80,,01/09/2021
09/2021,255004,0291000035005,18/05/2017,8942.67,2.03,54.71,,01/09/2021
09/2021,170021,9701051575002,27/10/2020,1145276.36,53.31,314.27,,01/09/2021
09/2021,783602,2357000045008,05/11/2020,250000.00,6.30,36.20,,01/09/2021
09/2021,110404,9701049875002,15/03/2019,453495.65,59.80,942.11,,01/09/2021
09/2021,200119,8815000755004,30/01/2013,235147.04,59.45,3150.95,,01/09/2021
09/2021,170036,1123000025004,02/05/2016,746542.46,211.09,7008.61,,01/09/2021
09/2021,158416,5705001965002,10/12/2018,10360494.24,839.87,14560.72,,01/09/2021
09/2021,373031,0639000505009,09/08/2001,10312.68,10.91,1340.72,,01/09/2021
09/2021,255022,0035000065008,30/11/2015,68885.43,21.01,751.38,,01/09/2021
09/2021,160176,2559000025006,16/04/2013,3115474.33,768.66,39766.25,,01/09/2021
09/2021,170098,5371000085001,05/10/2020,439885.38,21.87,136.93,,01/09/2021
09/2021,762300,5801001145009,31/10/2019,63985.52,6.32,75.31,,01/09/2021
09/2021,110404,9701064595007,28/12/2007,251724.95,181.75,15267.31,,01/09/2021
09/2021,789000,7107002905002,09/02/2021,140000.00,4.40,18.26,,01/09/2021
09/2021,753000,5927000015004,13/04/2021,1948235.32,43.52,135.24,,01/09/2021
09/2021,752000,6001000295001,02/08/2017,1095965.06,237.72,6082.03,,01/09/2021
09/2021,110404,9701063135002,28/12/2007,179519.71,129.62,10888.01,,01/09/2021
09/2021,113801,2401003205007,01/07/2019,195172.42,22.70,316.76,,01/09/2021
09/2021,110404,9701063955000,28/12/2007,77053.25,55.63,4673.34,,01/09/2021
09/2021,154046,4921000165001,17/06/2016,141118.65,21.70,703.89,,01/09/2021
09/2021,255013,2897000015002,08/05/2019,10229.31,0.71,10.50,,01/09/2021
09/2021,193003,1441000675006,30/05/2018,2134646.59,370.39,7618.99,,01/09/2021
09/2021,160488,6861000065000,16/11/2004,1837489.28,906.55,93330.34,,01/09/2021
09/2021,120260,9701076415009,30/03/2016,332980.30,95.73,3231.28,,01/09/2021
09/2021,153052,9373001305003,22/06/2021,27607737.35,188.35,369.31,,01/09/2021
09/2021,080009,5865000435000,23/12/2015,555927.28,167.69,5933.67,,01/09/2021
09/2021,785340,8161000455000,29/11/2015,79873.99,24.37,872.06,,01/09/2021
09/2021,785340,8161000405002,29/11/2015,100203.85,30.57,1094.01,,01/09/2021
09/2021,193114,0505000145001,23/10/2019,75418.13,7.53,90.80,,01/09/2021
09/2021,110120,0255001855000,30/03/2021,836045.79,20.36,67.99,,01/09/2021
09/2021,160219,8267000015005,22/06/2021,7851.80,0.10,0.19,,01/09/2021
09/2021,400081,8105001645006,04/04/2019,2385507.41,307.70,4744.91,,01/09/2021
09/2021,170053,2211000015007,05/09/2012,52650.00,25.01,1387.21,,01/09/2021
09/2021,170199,9249000045009,27/12/2012,144424.25,66.27,3550.04,,01/09/2021
09/2021,200356,6001016235003,01/09/2021,12000.00,0.01,0.01,,01/09/2021
