REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
04/2022,193113,9909000015008,31/08/2021,8064.00,0.15,0.63,,01/04/2022
04/2022,080002,0241000275000,04/09/2020,554305.38,46.97,484.11,,01/04/2022
04/2022,786810,9063000145006,16/09/2020,2036.45,0.09,0.95,,01/04/2022
04/2022,120259,8371000125000,30/08/2018,338050.68,35.92,810.77,,01/04/2022
04/2022,160065,9701028585005,28/12/2000,71393.82,80.03,10414.40,,01/04/2022
04/2022,785810,8849000135000,23/11/2013,436454.10,107.37,5538.53,,01/04/2022
04/2022,255017,2529000025004,03/04/2014,203000.00,47.81,2361.57,,01/04/2022
04/2022,160065,9701006705008,28/12/2000,68100.96,76.34,9934.06,,01/04/2022
04/2022,160392,8841004715006,11/05/2017,4690081.86,540.74,16493.60,,01/04/2022
04/2022,789300,7563007375008,22/11/2013,101627.73,44.91,2317.18,,01/04/2022
04/2022,373048,2531003205005,11/10/2001,117183.53,126.51,15857.98,,01/04/2022
04/2022,160065,9701022855000,28/12/2000,76245.82,85.46,11122.17,,01/04/2022
04/2022,443033,2537000045006,09/10/2001,751919.37,452.21,56698.88,,01/04/2022
04/2022,170021,9701052425004,09/03/2015,155207.55,58.02,2537.61,,01/04/2022
04/2022,193100,0271000025005,03/03/2015,1076.45,0.18,7.86,,01/04/2022
04/2022,170021,9701040125000,31/03/2020,1152531.19,123.74,1598.98,,01/04/2022
04/2022,170062,2507000015008,09/07/2015,1232153.24,438.97,18305.46,,01/04/2022
04/2022,120259,8589000435004,18/07/2019,98295.56,14.20,244.20,,01/04/2022
04/2022,170021,9701030535001,04/08/2017,406988.10,100.60,2925.76,,01/04/2022
04/2022,193004,1719000025004,02/05/2019,631911.68,98.26,1816.58,,01/04/2022
04/2022,193124,8847000025004,11/11/2021,134208.93,3.00,9.32,,01/04/2022
04/2022,255004,0291000035005,18/05/2017,8942.67,2.31,70.21,,01/04/2022
04/2022,170021,9701051575002,27/10/2020,1145276.36,88.31,832.15,,01/04/2022
04/2022,783602,2357000045008,05/11/2020,250000.00,10.56,97.88,,01/04/2022
04/2022,110404,9701049875002,15/03/2019,453495.65,73.65,1420.59,,01/04/2022
04/2022,200119,8815000755004,30/01/2013,235147.04,63.46,3587.21,,01/04/2022
04/2022,170036,1123000025004,02/05/2016,746542.46,233.90,8592.32,,01/04/2022
04/2022,158416,5705001965002,10/12/2018,10360494.24,1016.15,21206.77,,01/04/2022
04/2022,373031,0639000505009,09/08/2001,10312.68,11.23,1419.10,,01/04/2022
04/2022,255022,0035000065008,30/11/2015,68885.43,23.11,908.31,,01/04/2022
04/2022,160176,2559000025006,16/04/2013,3115474.33,821.68,45411.93,,01/04/2022
04/2022,170098,5371000085001,05/10/2020,439885.38,35.31,345.70,,01/04/2022
04/2022,762300,5801001145009,31/10/2019,63985.52,8.27,127.83,,01/04/2022
04/2022,110404,9701064595007,28/12/2007,251724.95,189.45,16582.72,,01/04/2022
04/2022,789000,7107002905002,09/02/2021,140000.00,8.68,66.59,,01/04/2022
04/2022,753000,5927000015004,13/04/2021,1948235.32,103.04,682.86,,01/04/2022
04/2022,752000,6001000295001,02/08/2017,1095965.06,271.19,7896.90,,01/04/2022
04/2022,110404,9701063135002,28/12/2007,179519.71,135.10,11826.10,,01/04/2022
04/2022,113801,2401003205007,01/07/2019,195172.42,28.66,501.21,,01/04/2022
04/2022,110404,9701063955000,28/12/2007,77053.25,57.99,5075.99,,01/04/2022
04/2022,154046,4921000165001,17/06/2016,141118.65,24.10,866.93,,01/04/2022
04/2022,255013,2897000015002,08/05/2019,10229.31,0.88,16.20,,01/04/2022
04/2022,193003,1441000675006,30/05/2018,2134646.59,435.62,10499.52,,01/04/2022
04/2022,160488,6861000065000,16/11/2004,1837489.28,937.82,99862.77,,01/04/2022
04/2022,120260,9701076415009,30/03/2016,332980.30,105.91,3948.85,,01/04/2022
04/2022,153052,9373001305003,22/06/2021,27607737.35,658.11,3594.97,,01/04/2022
