REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
05/2021,080002,0241000275000,04/09/2020,554305.38,20.92,96.34,,01/05/2021
05/2021,786810,9063000145006,16/09/2020,2036.45,0.04,0.18,,01/05/2021
05/2021,120259,8371000125000,30/08/2018,338050.68,27.74,456.74,,01/05/2021
05/2021,160065,9701028585005,28/12/2000,71393.82,79.14,9540.83,,01/05/2021
05/2021,785810,8849000135000,23/11/2013,436454.10,98.84,4402.45,,01/05/2021
05/2021,255017,2529000025004,03/04/2014,203000.00,43.76,1856.92,,01/05/2021
05/2021,160065,9701006705008,28/12/2000,68100.96,75.49,9100.78,,01/05/2021
05/2021,160392,8841004715006,11/05/2017,4690081.86,454.93,10981.77,,01/05/2021
05/2021,789300,7563007375008,22/11/2013,101627.73,41.34,1842.02,,01/05/2021
05/2021,373048,2531003205005,11/10/2001,117183.53,124.88,14478.09,,01/05/2021
05/2021,160065,9701022855000,28/12/2000,76245.82,84.51,10189.23,,01/05/2021
05/2021,443033,2537000045006,09/10/2001,751919.37,446.42,51766.49,,01/05/2021
05/2021,170021,9701052425004,09/03/2015,155207.55,52.23,1929.48,,01/05/2021
05/2021,193100,0271000025005,03/03/2015,1076.45,0.16,5.98,,01/05/2021
05/2021,170021,9701040125000,31/03/2020,1152531.19,70.45,502.38,,01/05/2021
05/2021,170062,2507000015008,09/07/2015,1232153.24,392.22,13718.83,,01/05/2021
05/2021,120259,8589000435004,18/07/2019,98295.56,9.77,110.14,,01/05/2021
05/2021,170021,9701030535001,04/08/2017,406988.10,83.68,1905.10,,01/05/2021
05/2021,193004,1719000025004,02/05/2019,631911.68,70.06,876.69,,01/05/2021
05/2021,193124,8847000025004,10/07/2019,124589.68,12.53,142.89,,01/05/2021
05/2021,255004,0291000035005,18/05/2017,8942.67,1.94,46.67,,01/05/2021
05/2021,170021,9701051575002,03/02/2015,331990.81,113.39,4251.46,,01/05/2021
05/2021,783602,2357000045008,05/11/2020,250000.00,3.97,14.33,,01/05/2021
05/2021,110404,9701049875002,15/03/2019,453495.65,53.52,711.15,,01/05/2021
05/2021,200119,8815000755004,30/01/2013,235147.04,59.05,2912.72,,01/05/2021
05/2021,170036,1123000025004,02/05/2016,746542.46,204.50,6170.30,,01/05/2021
05/2021,158416,5705001965002,10/12/2018,10360494.24,762.60,11300.84,,01/05/2021
05/2021,373031,0639000505009,09/08/2001,10312.68,11.09,1296.62,,01/05/2021
05/2021,255022,0035000065008,30/11/2015,68885.43,20.45,667.81,,01/05/2021
05/2021,160176,2559000025006,16/04/2013,3115474.33,762.62,36687.14,,01/05/2021
05/2021,170098,5371000085001,05/10/2020,439885.38,14.58,59.85,,01/05/2021
05/2021,762300,5801001145009,31/10/2019,63985.52,5.36,51.35,,01/05/2021
05/2021,110404,9701064595007,28/12/2007,251724.95,183.22,14534.98,,01/05/2021
05/2021,789000,7107002905002,09/02/2021,140000.00,1.99,4.14,,01/05/2021
05/2021,753000,5927000015004,13/04/2021,1948235.32,9.43,10.78,,01/05/2021
05/2021,752000,6001000295001,02/08/2017,1095965.06,225.64,5144.88,,01/05/2021
05/2021,110404,9701063135002,28/12/2007,179519.71,130.67,10365.74,,01/05/2021
05/2021,113801,2401003205007,01/07/2019,195172.42,19.90,229.71,,01/05/2021
05/2021,110404,9701063955000,28/12/2007,77053.25,56.08,4449.17,,01/05/2021
05/2021,154046,4921000165001,17/06/2016,141118.65,20.99,617.75,,01/05/2021
05/2021,255013,2897000015002,08/05/2019,10229.31,0.63,7.78,,01/05/2021
05/2021,193003,1441000675006,30/05/2018,2134646.59,343.80,6170.26,,01/05/2021
05/2021,160488,6861000065000,16/11/2004,1837489.28,918.10,89671.27,,01/05/2021
05/2021,120260,9701076415009,30/03/2016,332980.30,92.85,2850.93,,01/05/2021
05/2021,153052,9373001305003,31/10/2018,27455506.00,2111.99,32659.35,,01/05/2021
05/2021,080009,5865000435000,23/12/2015,555927.28,163.14,5266.73,,01/05/2021
05/2021,785340,8161000455000,29/11/2015,79873.99,23.73,775.11,,01/05/2021
05/2021,785340,8161000405002,29/11/2015,100203.85,29.76,972.39,,01/05/2021
05/2021,193114,0505000145001,23/10/2019,75418.13,6.41,62.21,,01/05/2021
05/2021,110120,0255001855000,30/03/2021,836045.79,5.79,7.72,,01/05/2021
05/2021,160219,8267000015005,08/06/2020,7377.55,0.38,2.26,,01/05/2021
05/2021,400081,8105001645006,04/04/2019,2385507.41,274.43,3557.93,,01/05/2021
05/2021,170053,2211000015007,05/09/2012,52650.00,24.89,1286.90,,01/05/2021
05/2021,170199,9249000045009,27/12/2012,144424.25,65.85,3284.43,,01/05/2021
05/2021,200356,6001016235003,07/03/2017,91055.05,11.55,291.12,,01/05/2021
05/2021,443033,1559000085003,20/08/2001,146879.02,87.81,10253.45,,01/05/2021
05/2021,170164,7731000035001,31/07/2020,8744019.94,166.97,862.66,,01/05/2021
05/2021,060001,9701049335008,04/12/2014,388376.05,136.17,5239.78,,01/05/2021
05/2021,160065,9701048085008,01/12/2014,337105.08,118.35,4559.58,,01/05/2021
05/2021,170021,9701041605006,01/12/2014,352026.95,123.59,4761.41,,01/05/2021
05/2021,170021,9701042105007,01/12/2014,280440.04,98.46,3793.15,,01/05/2021
05/2021,170021,9701037275005,25/05/2020,1183130.20,62.64,391.15,,01/05/2021
05/2021,110404,9701036765009,04/08/2017,685372.45,140.90,3208.20,,01/05/2021
05/2021,110001,9701031875000,02/10/2019,408405.57,35.98,361.44,,01/05/2021
05/2021,170021,9701030245003,02/10/2019,244948.20,21.58,216.78,,01/05/2021
05/2021,130077,9047001995001,04/05/2015,245803.98,44.92,1619.04,,01/05/2021
05/2021,170192,9047001865000,10/11/2020,891032.45,13.79,48.64,,01/05/2021
05/2021,160140,9047000305001,09/12/2020,670125.00,8.75,26.83,,01/05/2021
05/2021,170067,2845000055001,10/06/2015,62938.55,20.30,719.76,,01/05/2021
05/2021,158381,2785000515005,14/05/2018,15202007.03,1383.73,25191.03,,01/05/2021
05/2021,153103,1761000105009,19/10/2015,37620988.80,6351.04,211697.71,,01/05/2021
05/2021,120260,9701005405000,24/02/2016,4363071.69,690.24,21582.69,,01/05/2021
05/2021,751500,5851000145001,30/11/2015,6321.89,1.04,34.13,,01/05/2021
05/2021,090006,1389000015004,20/08/2001,2590582.84,2780.99,324726.11,,01/05/2021
05/2021,255006,1537000405007,27/11/2017,79191.26,8.31,173.83,,01/05/2021
05/2021,170127,6001013775007,27/01/2015,2234410.13,426.31,16032.25,,01/05/2021
05/2021,784320,0921002715007,19/05/2005,35000.00,30.44,2882.93,,01/05/2021
05/2021,153045,1389008975007,31/12/2014,291000.00,56.17,2136.94,,01/05/2021
05/2021,153045,1389008435002,31/12/2014,56100.00,10.83,411.97,,01/05/2021
05/2021,153045,1389008415001,31/12/2014,45100.00,8.71,331.19,,01/05/2021
05/2021,153045,1389008405006,31/12/2014,2800.00,0.54,20.56,,01/05/2021
05/2021,153045,1389008385005,31/12/2014,11840.00,2.29,86.95,,01/05/2021
05/2021,153045,1389008375000,31/12/2014,253300.00,48.89,1860.09,,01/05/2021
05/2021,153045,1389008365004,31/12/2014,74200.00,14.32,544.88,,01/05/2021
05/2021,153045,1389008355009,31/12/2014,19800.00,3.82,145.40,,01/05/2021
05/2021,153045,1389011945008,31/12/2014,1977700.00,381.76,14523.11,,01/05/2021
05/2021,153045,1389008345003,31/12/2014,10700.00,2.06,78.57,,01/05/2021
05/2021,153045,1389008425007,31/12/2014,2300.00,0.44,16.89,,01/05/2021
