REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC
04/2024,120260,9701084435005,30/03/2016,276481.00,117.07,5791.04,123210101
04/2024,070010,2589000125002,13/09/2023,1395332.21,43.24,177.30,123210102
04/2024,373044,1133000145007,24/11/2023,7588.43,0.08,0.25,123210109
04/2024,200246,2051002955003,29/07/2020,303849.46,59.38,1371.82,123210101
04/2024,158516,8183000705007,06/01/2017,11114838.08,2369.40,106073.17,123210107
04/2024,170164,7505000125009,25/07/2020,7173975.78,624.92,14479.28,123210104
04/2024,070018,7107008215008,10/12/2021,1141967.49,141.05,2085.70,123210102
04/2024,170127,6001034635000,25/03/2015,15071.26,7.19,399.98,123210101
04/2024,373073,9905000045001,01/11/2023,75605.79,1.00,3.31,123210109
04/2024,373047,0442000025004,30/10/2023,183746.34,2.48,8.23,123210109
04/2024,200121,9373000855000,01/08/2014,901534.28,256.51,15284.00,123210118
04/2024,158517,8081000775002,31/08/2022,479579.84,22.83,237.15,123210107
04/2024,120260,9701082625001,30/03/2016,156055.53,66.07,3268.66,123210101
04/2024,373044,1167002395005,24/11/2023,12356.41,0.14,0.41,123210109
04/2024,170021,9701037805004,31/03/2020,1237190.59,263.17,6606.27,123210101
04/2024,787000,9701317255004,07/05/2019,138417.39,36.01,1101.28,123210101
04/2024,154040,9701236285000,29/11/2022,971019.03,70.39,625.82,123210101
04/2024,080012,7535008935001,08/02/2019,568652.58,86.40,2769.23,123210124
04/2024,120260,9701252245000,30/03/2016,537904.29,227.76,11266.69,123210101
04/2024,120261,0255003905004,22/06/2022,1252491.57,119.67,1382.92,123210101
04/2024,160219,8183000095004,08/06/2022,39970999.81,2171.88,25604.23,123210105
04/2024,120260,9701091205001,30/03/2016,551854.91,233.67,11558.89,123210101
04/2024,156154,5453000165003,06/12/2018,4580948.69,719.53,23829.99,123210107
04/2024,154045,9151000315001,30/11/2022,64653317.44,2604.94,23116.73,123210107
04/2024,413001,9701228885002,27/07/2023,15509409.63,587.85,2879.05,123210102
04/2024,160065,9373000405004,28/12/2000,27276.23,4760.31,4760.31,123210101
04/2024,154359,8629000255009,28/09/2023,7501613.01,120.42,463.86,123210107
04/2024,154039,0255011605006,26/01/2023,230919.12,8.24,65.36,123210107
04/2024,130122,3615000025006,01/01/2000,101751.30,130.08,19298.20,123210102
04/2024,120259,8105008345008,09/05/2022,2729152.91,154.87,1903.08,123210110
04/2024,194035,9701007505002,07/08/2019,797352.40,196.84,5718.76,123210101
04/2024,373080,9675000285004,28/11/2023,1002429.91,11.18,31.80,123210109
04/2024,170021,9701041355000,31/03/2020,1134546.82,241.34,6058.18,123210101
04/2024,170021,9701345315008,25/03/2020,117495.79,25.10,632.46,123210101
04/2024,170098,4865000225000,11/05/2020,179613.76,20.69,505.16,123210126
04/2024,170062,2531003975005,03/10/2023,73822.00,1.15,4.35,123210124
04/2024,200370,8097000255005,17/10/2022,281817.80,22.18,213.04,123210101
04/2024,120260,9701076235000,30/03/2016,259295.44,109.79,5431.08,123210101
04/2024,373073,9191000225001,23/10/2023,377316.66,5.30,18.22,123210109
04/2024,240021,9707000415007,31/03/2020,56805000.00,6729.46,168926.04,123210113
04/2024,170083,3349000025001,17/10/2013,243956.49,75.05,4832.11,123210107
04/2024,120260,9701089385006,30/03/2016,204528.68,86.60,4283.96,123210101
04/2024,170151,6519000035004,23/08/2011,481683.96,142.51,11042.21,123210104
