REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
02/2022,080002,0241000275000,04/09/2020,554305.38,39.37,391.12,,01/02/2022
02/2022,786810,9063000145006,16/09/2020,2036.45,0.08,0.77,,01/02/2022
02/2022,120259,8371000125000,30/08/2018,338050.68,32.01,738.58,,01/02/2022
02/2022,160065,9701028585005,28/12/2000,71393.82,74.12,10252.00,,01/02/2022
02/2022,785810,8849000135000,23/11/2013,436454.10,98.25,5321.32,,01/02/2022
02/2022,255017,2529000025004,03/04/2014,203000.00,43.71,2264.88,,01/02/2022
02/2022,160065,9701006705008,28/12/2000,68100.96,70.70,9779.15,,01/02/2022
02/2022,160392,8841004715006,11/05/2017,4690081.86,487.87,15403.57,,01/02/2022
02/2022,789300,7563007375008,22/11/2013,101627.73,41.09,2226.33,,01/02/2022
02/2022,373048,2531003205005,11/10/2001,117183.53,117.13,15601.28,,01/02/2022
02/2022,160065,9701022855000,28/12/2000,76245.82,79.16,10948.74,,01/02/2022
02/2022,443033,2537000045006,09/10/2001,751919.37,418.68,55781.30,,01/02/2022
02/2022,170021,9701052425004,09/03/2015,155207.55,52.90,2420.34,,01/02/2022
02/2022,193100,0271000025005,03/03/2015,1076.45,0.17,7.50,,01/02/2022
02/2022,170021,9701040125000,31/03/2020,1152531.19,106.20,1352.61,,01/02/2022
02/2022,170062,2507000015008,09/07/2015,1232153.24,399.75,17418.49,,01/02/2022
02/2022,120259,8589000435004,18/07/2019,98295.56,12.45,215.78,,01/02/2022
02/2022,170021,9701030535001,04/08/2017,406988.10,90.60,2723.07,,01/02/2022
02/2022,193004,1719000025004,02/05/2019,631911.68,86.61,1619.65,,01/02/2022
02/2022,193124,8847000025004,11/11/2021,134208.93,1.71,3.83,,01/02/2022
02/2022,255004,0291000035005,18/05/2017,8942.67,2.09,65.56,,01/02/2022
02/2022,170021,9701051575002,27/10/2020,1145276.36,73.18,657.80,,01/02/2022
02/2022,783602,2357000045008,05/11/2020,250000.00,8.73,77.05,,01/02/2022
