REF,UGE,RIPU,DATA_AVALIA,VBENFEITORIA,VDEPRECMES,VDEPRECACUMU,CC,MES
06/2021,080002,0241000275000,04/09/2020,554305.38,22.69,119.03,,01/06/2021
06/2021,786810,9063000145006,16/09/2020,2036.45,0.04,0.22,,01/06/2021
06/2021,120259,8371000125000,30/08/2018,338050.68,27.67,484.41,,01/06/2021
06/2021,160065,9701028585005,28/12/2000,71393.82,76.90,9617.73,,01/06/2021
06/2021,785810,8849000135000,23/11/2013,436454.10,96.72,4499.17,,01/06/2021
06/2021,255017,2529000025004,03/04/2014,203000.00,42.85,1899.77,,01/06/2021
06/2021,160065,9701006705008,28/12/2000,68100.96,73.36,9174.14,,01/06/2021
06/2021,160392,8841004715006,11/05/2017,4690081.86,449.41,11431.18,,01/06/2021
06/2021,789300,7563007375008,22/11/2013,101627.73,40.45,1882.47,,01/06/2021
06/2021,373048,2531003205005,11/10/2001,117183.53,121.38,14599.47,,01/06/2021
06/2021,160065,9701022855000,28/12/2000,76245.82,82.13,10271.36,,01/06/2021
06/2021,443033,2537000045006,09/10/2001,751919.37,433.85,52200.34,,01/06/2021
06/2021,170021,9701052425004,09/03/2015,155207.55,51.22,1980.70,,01/06/2021
06/2021,193100,0271000025005,03/03/2015,1076.45,0.16,6.14,,01/06/2021
06/2021,170021,9701040125000,31/03/2020,1152531.19,73.25,575.63,,01/06/2021
06/2021,170062,2507000015008,09/07/2015,1232153.24,384.98,14103.81,,01/06/2021
06/2021,120259,8589000435004,18/07/2019,98295.56,9.89,120.03,,01/06/2021
06/2021,170021,9701030535001,04/08/2017,406988.10,82.76,1987.86,,01/06/2021
06/2021,193004,1719000025004,02/05/2019,631911.68,70.58,947.27,,01/06/2021
06/2021,193124,8847000025004,10/07/2019,124589.68,12.68,155.57,,01/06/2021
06/2021,255004,0291000035005,18/05/2017,8942.67,1.92,48.59,,01/06/2021
06/2021,170021,9701051575002,27/10/2020,1145276.36,166.47,166.47,,01/06/2021
06/2021,783602,2357000045008,05/11/2020,250000.00,4.45,18.78,,01/06/2021
06/2021,110404,9701049875002,15/03/2019,453495.65,53.79,764.94,,01/06/2021
06/2021,200119,8815000755004,30/01/2013,235147.04,57.71,2970.43,,01/06/2021
06/2021,170036,1123000025004,02/05/2016,746542.46,201.20,6371.50,,01/06/2021
06/2021,158416,5705001965002,10/12/2018,10360494.24,763.35,12064.19,,01/06/2021
06/2021,373031,0639000505009,09/08/2001,10312.68,10.78,1307.40,,01/06/2021
06/2021,255022,0035000065008,30/11/2015,68885.43,20.09,687.90,,01/06/2021
06/2021,160176,2559000025006,16/04/2013,3115474.33,745.66,37432.80,,01/06/2021
06/2021,170098,5371000085001,05/10/2020,439885.38,16.04,75.89,,01/06/2021
06/2021,762300,5801001145009,31/10/2019,63985.52,5.46,56.81,,01/06/2021
06/2021,110404,9701064595007,28/12/2007,251724.95,178.41,14713.39,,01/06/2021
06/2021,789000,7107002905002,09/02/2021,140000.00,2.55,6.69,,01/06/2021
06/2021,753000,5927000015004,13/04/2021,1948235.32,17.69,28.47,,01/06/2021
06/2021,752000,6001000295001,02/08/2017,1095965.06,223.18,5368.06,,01/06/2021
06/2021,110404,9701063135002,28/12/2007,179519.71,127.23,10492.97,,01/06/2021
06/2021,113801,2401003205007,01/07/2019,195172.42,20.11,249.82,,01/06/2021
06/2021,110404,9701063955000,28/12/2007,77053.25,54.61,4503.78,,01/06/2021
06/2021,154046,4921000165001,17/06/2016,141118.65,20.66,638.41,,01/06/2021
06/2021,255013,2897000015002,08/05/2019,10229.31,0.63,8.41,,01/06/2021
06/2021,193003,1441000675006,30/05/2018,2134646.59,342.09,6512.35,,01/06/2021
06/2021,160488,6861000065000,16/11/2004,1837489.28,892.99,90564.26,,01/06/2021
06/2021,120260,9701076415009,30/03/2016,332980.30,91.32,2942.25,,01/06/2021
06/2021,153052,9373001305003,22/06/2021,27607737.35,2.36,2.36,,01/06/2021
06/2021,080009,5865000435000,23/12/2015,555927.28,160.31,5427.04,,01/06/2021
06/2021,785340,8161000455000,29/11/2015,79873.99,23.31,798.42,,01/06/2021
06/2021,785340,8161000405002,29/11/2015,100203.85,29.24,1001.63,,01/06/2021
06/2021,193114,0505000145001,23/10/2019,75418.13,6.53,68.74,,01/06/2021
06/2021,110120,0255001855000,30/03/2021,836045.79,9.28,17.00,,01/06/2021
06/2021,400081,8105001645006,04/04/2019,2385507.41,276.07,3834.00,,01/06/2021
06/2021,170053,2211000015007,05/09/2012,52650.00,24.32,1311.22,,01/06/2021
06/2021,170199,9249000045009,27/12/2012,144424.25,64.35,3348.78,,01/06/2021
06/2021,200356,6001016235003,07/03/2017,91055.05,11.41,302.53,,01/06/2021
06/2021,443033,1559000085003,20/08/2001,146879.02,85.34,10338.79,,01/06/2021
06/2021,170164,7731000035001,31/07/2020,8744019.94,178.66,1041.32,,01/06/2021
06/2021,060001,9701049335008,04/12/2014,388376.05,133.50,5373.28,,01/06/2021
06/2021,160065,9701048085008,01/12/2014,337105.08,116.02,4675.60,,01/06/2021
06/2021,170021,9701041605006,23/10/2020,1247307.57,187.25,187.25,,01/06/2021
06/2021,170021,9701042105007,01/12/2014,280440.04,96.51,3889.66,,01/06/2021
06/2021,170021,9701037275005,25/05/2020,1183130.20,65.82,456.97,,01/06/2021
06/2021,110404,9701036765009,04/08/2017,685372.45,139.37,3347.57,,01/06/2021
06/2021,110001,9701031875000,02/10/2019,408405.57,36.61,398.05,,01/06/2021
06/2021,170021,9701030245003,02/10/2019,244948.20,21.96,238.74,,01/06/2021
06/2021,160140,9047000305001,09/12/2020,670125.00,10.11,36.94,,01/06/2021
06/2021,130077,9047001995001,04/05/2015,245803.98,44.08,1663.12,,01/06/2021
06/2021,170192,9047001865000,10/11/2020,891032.45,15.51,64.15,,01/06/2021
06/2021,170067,2845000055001,10/06/2015,62938.55,19.93,739.69,,01/06/2021
06/2021,158381,2785000515005,14/05/2018,15202007.03,1376.31,26567.34,,01/06/2021
06/2021,153103,1761000105009,19/10/2015,37620988.80,6238.32,217936.03,,01/06/2021
06/2021,120260,9701005405000,24/02/2016,4363071.69,678.66,22261.35,,01/06/2021
06/2021,751500,5851000145001,30/11/2015,6321.89,1.03,35.16,,01/06/2021
06/2021,090006,1389000015004,20/08/2001,2590582.84,2702.67,327428.78,,01/06/2021
06/2021,255006,1537000405007,27/11/2017,79191.26,8.24,182.07,,01/06/2021
06/2021,170127,6001013775007,27/01/2015,2234410.13,418.04,16450.29,,01/06/2021
06/2021,784320,0921002715007,19/05/2005,35000.00,29.62,2912.55,,01/06/2021
06/2021,153045,1389008975007,31/12/2014,291000.00,55.07,2192.01,,01/06/2021
06/2021,153045,1389008395000,31/12/2014,3100.00,0.59,23.35,,01/06/2021
06/2021,153045,1389008435002,31/12/2014,56100.00,10.61,422.58,,01/06/2021
06/2021,153045,1389008415001,31/12/2014,45100.00,8.53,339.72,,01/06/2021
06/2021,153045,1389008405006,31/12/2014,2800.00,0.53,21.09,,01/06/2021
06/2021,153045,1389008385005,31/12/2014,11840.00,2.24,89.19,,01/06/2021
06/2021,153045,1389008375000,31/12/2014,253300.00,47.94,1908.03,,01/06/2021
